New Privately Owned Housing Units Authorized,,,,,,,,,,,,,,,,
Unadjusted Units by CBSA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
202505,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Current Month,,,,,,,Year to Date,,,,
,,,,,,,,,,,,,,,,
CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
999,10100,"Aberdeen, SD                                                ",5,13,13,0,0,0,0,,116,34,2,0,80,2
999,10140,"Aberdeen, WA                                                ",5,23,23,0,0,0,0,,103,103,0,0,0,0
101,10180,"Abilene, TX                                                 ",2,61,61,0,0,0,0,,351,293,58,0,0,0
999,10220,"Ada, OK                                                     ",5,1,1,0,0,0,0,,14,2,12,0,0,0
220,10300,"Adrian, MI                                                  ",5,24,19,0,0,5,1,,64,59,0,0,5,1
184,10420,"Akron, OH                                                   ",2,83,79,0,4,0,0,,394,289,0,27,78,14
999,10460,"Alamogordo, NM                                              ",5,1,1,0,0,0,0,,5,5,0,0,0,0
999,10480,"Alamosa, CO                                                 ",5,18,16,2,0,0,0,,54,46,8,0,0,0
999,10500,"Albany, GA                                                  ",4,27,17,0,0,10,2,,76,61,0,0,15,3
440,10540,"Albany, OR                                                  ",2,21,14,2,0,5,1,,78,59,14,0,5,1
104,10580,"Albany-Schenectady-Troy, NY                                 ",2,130,110,0,4,16,3,,820,455,4,26,335,19
172,10620,"Albemarle, NC                                               ",5,31,31,0,0,0,0,,155,155,0,0,0,0
999,10660,"Albert Lea, MN                                              ",5,0,0,0,0,0,0,,1,1,0,0,0,0
290,10700,"Albertville, AL                                             ",5,15,15,0,0,0,0,,73,73,0,0,0,0
105,10740,"Albuquerque, NM                                             ",2,218,181,0,4,33,1,,1317,823,30,4,460,12
194,10760,"Alexander City, AL                                          ",5,10,10,0,0,0,0,,101,101,0,0,0,0
999,10780,"Alexandria, LA                                              ",4,21,19,2,0,0,0,,121,111,10,0,0,0
999,10820,"Alexandria, MN                                              ",5,26,26,0,0,0,0,,178,59,0,0,119,3
204,10860,"Alice, TX                                                   ",5,0,0,0,0,0,0,,1,1,0,0,0,0
106,10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",2,194,151,2,0,41,4,,905,525,32,10,338,22
394,10940,"Alma, MI                                                    ",5,4,4,0,0,0,0,,16,14,2,0,0,0
999,10980,"Alpena, MI                                                  ",5,1,1,0,0,0,0,,15,15,0,0,0,0
107,11020,"Altoona, PA                                                 ",2,7,5,2,0,0,0,,45,35,4,6,0,0
999,11060,"Altus, OK                                                   ",5,0,0,0,0,0,0,,13,13,0,0,0,0
108,11100,"Amarillo, TX                                                ",2,38,38,0,0,0,0,,198,196,2,0,0,0
999,11140,"Americus, GA                                                ",5,2,2,0,0,0,0,,19,19,0,0,0,0
218,11180,"Ames, IA                                                    ",2,72,28,4,4,36,6,,237,96,12,12,117,16
521,11200,"Amherst Town-Northampton, MA                                ",2,25,11,2,0,12,2,,104,40,2,0,62,12
104,11220,"Amsterdam, NY                                               ",5,4,4,0,0,0,0,,19,19,0,0,0,0
999,11260,"Anchorage, AK                                               ",4,36,21,6,3,6,1,,119,78,16,6,19,3
450,11360,"Anderson Creek, NC                                          ",5,187,187,0,0,0,0,,1021,1019,2,0,0,0
372,11380,"Andrews, TX                                                 ",5,7,2,0,0,5,1,,24,13,0,0,11,2
258,11420,"Angola, IN                                                  ",5,14,14,0,0,0,0,,46,46,0,0,0,0
220,11460,"Ann Arbor, MI                                               ",2,101,51,0,4,46,2,,470,231,0,4,235,9
999,11500,"Anniston-Oxford, AL                                         ",4,3,3,0,0,0,0,,64,60,4,0,0,0
118,11540,"Appleton, WI                                                ",2,74,64,10,0,0,0,,306,284,22,0,0,0
412,11580,"Arcadia, FL                                                 ",5,11,11,0,0,0,0,,50,50,0,0,0,0
999,11620,"Ardmore, OK                                                 ",5,1,1,0,0,0,0,,31,31,0,0,0,0
999,11660,"Arkadelphia, AR                                             ",5,0,0,0,0,0,0,,4,4,0,0,0,0
556,11680,"Arkansas City-Winfield, KS                                  ",5,3,3,0,0,0,0,,16,12,4,0,0,0
120,11700,"Asheville, NC                                               ",2,290,175,0,0,115,5,,1136,799,6,0,331,12
360,11740,"Ashland, OH                                                 ",5,9,9,0,0,0,0,,29,27,2,0,0,0
999,11820,"Astoria, OR                                                 ",5,38,9,2,0,27,2,,66,37,2,0,27,2
312,11860,"Atchison, KS                                                ",5,1,1,0,0,0,0,,6,6,0,0,0,0
198,11900,"Athens, OH                                                  ",5,51,1,0,0,50,3,,54,4,0,0,50,3
174,11940,"Athens, TN                                                  ",5,11,11,0,0,0,0,,58,56,2,0,0,0
206,11980,"Athens, TX                                                  ",5,24,22,2,0,0,0,,94,86,8,0,0,0
122,12020,"Athens-Clarke County, GA                                    ",2,60,55,0,0,5,1,,807,340,0,0,467,15
122,12060,"Atlanta-Sandy Springs-Roswell, GA                           ",2,2814,1948,22,23,821,68,,14937,10121,78,184,4554,290
428,12100,"Atlantic City-Hammonton, NJ                                 ",2,134,102,16,6,10,2,,653,520,68,20,45,9
258,12140,"Auburn, IN                                                  ",5,10,10,0,0,0,0,,36,36,0,0,0,0
532,12180,"Auburn, NY                                                  ",5,12,12,0,0,0,0,,47,39,0,3,5,1
194,12220,"Auburn-Opelika, AL                                          ",2,113,113,0,0,0,0,,648,636,12,0,0,0
999,12260,"Augusta-Richmond County, GA-SC                              ",4,306,297,0,4,5,1,,1826,1469,0,23,334,9
999,12300,"Augusta-Waterville, ME                                      ",5,30,30,0,0,0,0,,180,145,0,3,32,1
462,12380,"Austin, MN                                                  ",5,5,5,0,0,0,0,,113,11,0,0,102,1
999,12420,"Austin-Round Rock-San Marcos, TX                            ",4,3313,1433,214,6,1660,32,,11620,7166,494,31,3929,84
533,12460,"Bainbridge, GA                                              ",5,12,7,0,0,5,1,,58,33,0,0,25,5
999,12520,"Baker City, OR                                              ",5,9,9,0,0,0,0,,25,23,2,0,0,0
999,12540,"Bakersfield-Delano, CA                                      ",4,252,221,26,0,5,1,,1212,1126,64,7,15,3
548,12580,"Baltimore-Columbia-Towson, MD                               ",2,644,306,0,0,338,3,,3053,1538,14,0,1501,22
999,12620,"Bangor, ME                                                  ",4,36,26,2,3,5,1,,254,136,16,21,81,8
357,12660,"Baraboo, WI                                                 ",5,18,14,4,0,0,0,,102,86,16,0,0,0
148,12700,"Barnstable Town, MA                                         ",2,94,28,8,8,50,1,,298,129,24,11,134,9
162,12740,"Barre, VT                                                   ",5,14,10,4,0,0,0,,58,50,8,0,0,0
538,12780,"Bartlesville, OK                                            ",5,1,1,0,0,0,0,,6,6,0,0,0,0
464,12860,"Batavia, NY                                                 ",5,2,2,0,0,0,0,,18,18,0,0,0,0
999,12900,"Batesville, AR                                              ",5,0,0,0,0,0,0,,9,3,0,0,6,1
132,12940,"Baton Rouge, LA                                             ",2,287,269,8,0,10,2,,1506,1351,14,0,141,19
310,12980,"Battle Creek, MI                                            ",2,5,5,0,0,0,0,,53,53,0,0,0,0
474,13020,"Bay City, MI                                                ",2,5,5,0,0,0,0,,14,14,0,0,0,0
288,13060,"Bay City, TX                                                ",5,21,21,0,0,0,0,,115,115,0,0,0,0
339,13100,"Beatrice, NE                                                ",5,3,3,0,0,0,0,,10,10,0,0,0,0
999,13140,"Beaumont-Port Arthur, TX                                    ",4,87,77,0,0,10,2,,406,364,4,7,31,6
376,13180,"Beaver Dam, WI                                              ",5,23,23,0,0,0,0,,142,83,14,0,45,4
999,13220,"Beckley, WV                                                 ",4,7,7,0,0,0,0,,27,27,0,0,0,0
144,13260,"Bedford, IN                                                 ",5,41,33,8,0,0,0,,56,46,10,0,0,0
999,13300,"Beeville, TX                                                ",5,2,2,0,0,0,0,,6,6,0,0,0,0
198,13340,"Bellefontaine, OH                                           ",5,11,11,0,0,0,0,,46,46,0,0,0,0
999,13380,"Bellingham, WA                                              ",4,58,58,0,0,0,0,,583,280,16,38,249,7
999,13420,"Bemidji, MN                                                 ",5,14,8,0,0,6,1,,55,20,0,0,35,6
999,13460,"Bend, OR                                                    ",4,224,138,2,0,84,3,,906,617,46,6,237,15
999,13540,"Bennington, VT                                              ",5,4,4,0,0,0,0,,28,28,0,0,0,0
266,13660,"Big Rapids, MI                                              ",5,14,14,0,0,0,0,,40,40,0,0,0,0
999,13700,"Big Spring, TX                                              ",5,1,1,0,0,0,0,,4,4,0,0,0,0
999,13740,"Billings, MT                                                ",4,88,74,14,0,0,0,,346,264,82,0,0,0
999,13780,"Binghamton, NY                                              ",4,29,12,0,0,17,3,,139,57,0,0,82,15
142,13820,"Birmingham, AL                                              ",2,310,280,2,0,28,1,,1618,1476,4,4,134,8
999,13860,"Bishop, CA                                                  ",5,1,1,0,0,0,0,,7,7,0,0,0,0
999,13900,"Bismarck, ND                                                ",4,66,62,4,0,0,0,,158,142,6,4,6,1
292,13940,"Blackfoot, ID                                               ",5,17,17,0,0,0,0,,105,101,4,0,0,0
999,13980,"Blacksburg-Christiansburg-Radford, VA                       ",4,41,41,0,0,0,0,,179,177,2,0,0,0
145,14010,"Bloomington, IL                                             ",2,16,16,0,0,0,0,,84,84,0,0,0,0
144,14020,"Bloomington, IN                                             ",2,45,31,6,0,8,1,,524,135,34,3,352,5
146,14100,"Bloomsburg-Berwick, PA                                      ",5,8,8,0,0,0,0,,38,38,0,0,0,0
999,14140,"Bluefield, WV-VA                                            ",5,6,6,0,0,0,0,,8,8,0,0,0,0
999,14180,"Blytheville, AR                                             ",5,6,6,0,0,0,0,,26,26,0,0,0,0
406,14220,"Bogalusa, LA                                                ",5,0,0,0,0,0,0,,2,0,2,0,0,0
147,14260,"Boise City, ID                                              ",2,849,728,28,0,93,11,,4332,3440,96,52,744,37
206,14300,"Bonham, TX                                                  ",5,5,5,0,0,0,0,,19,19,0,0,0,0
999,14380,"Boone, NC                                                   ",5,24,22,2,0,0,0,,356,92,4,0,260,5
108,14420,"Borger, TX                                                  ",5,0,0,0,0,0,0,,2,2,0,0,0,0
