,OM DATA PARSING MAP,,,,,
,Map incoming Offering Memorandum data to underwriting model cells,,,,,
,,,,,,
,INSTRUCTIONS,,,,,
,1. Paste OM data in Column C (Source Value),,,,,
,2. Values automatically map to the Model sheet via formulas,,,,,
,"3. Yellow cells = required inputs, Gray cells = optional",,,,,
,,,,,,
,OM Field Name,Source Value (Paste Here),Data Type,Maps To Cell,Model Section,Notes
,,,,,,
,PROPERTY INFORMATION,,,,,
,Property Name,,Text,Model!D6,Key Metrics,
,Property Address,,Text,Model!D7 (note),Key Metrics,Store in note or separate field
,Total Units,,Number,Model!D7,Key Metrics,Required
,Total Square Feet,,Number,Model!D8,Key Metrics,Building SF
,Year Built,,Number,Model!D22,Assumptions,
,Lot Size (Acres),,Number,-,Reference,Not mapped - for reference
,Zoning,,Text,-,Reference,Not mapped - for reference
,Parking Spaces,,Number,-,Reference,
,,,,,,
,ACQUISITION / PRICING,,,,,
,Asking Price,,Currency,Model!D9,Key Metrics,Purchase Price input
,Price Per Unit,,Currency,-,Calculated,Auto-calculated from Price/Units
,Price Per SF,,Currency,-,Calculated,Auto-calculated
,Current Cap Rate,,Percent,-,Reference,Seller's stated cap
,Pro Forma Cap Rate,,Percent,-,Reference,Seller's pro forma
,Closing Costs,,Currency,Model!D23,Assumptions,Estimate if not provided
,Due Diligence Budget,,Currency,Model!D24,Assumptions,
,CapEx Budget,,Currency,Model!D25,Assumptions,Renovation/deferred maint
,,,,,,
,INCOME (T-12 or Pro Forma),,,,,
,Gross Potential Rent (Annual),,Currency,Model!D63,Revenue,GPR from OM
,Vacancy Loss %,,Percent,Model!H22,Assumptions,Economic vacancy rate
,Loss to Lease (Annual),,Currency,Model!D65,Revenue,Below-market leases
,Concessions (Annual),,Currency,-,Reference,Use % in Model!H24
,Bad Debt %,,Percent,Model!H23,Assumptions,
,Laundry Income,,Currency,Model!C71,Revenue,$/unit/month
,Parking Income,,Currency,Model!C72,Revenue,$/unit/month
,Pet Income,,Currency,Model!C73,Revenue,$/unit/month
,Other Income,,Currency,Model!C74-C76,Revenue,Split across line items
,RUBS/Utility Reimbursement,,Currency,Model!C81-C84,Revenue,If tenant-paid utilities
,,,,,,
,OPERATING EXPENSES (T-12 or Pro Forma),,,,,
,Real Estate Taxes,,Currency,Model!C93,Expenses,Annual or $/unit/mo
,Property Insurance,,Currency,Model!C94,Expenses,Annual or $/unit/mo
,Water/Sewer,,Currency,Model!C95,Expenses,If owner-paid
,Electric (Common Area),,Currency,Model!C96,Expenses,
,Gas,,Currency,Model!C97,Expenses,If owner-paid
,Trash Removal,,Currency,Model!C98,Expenses,If owner-paid
,Repairs & Maintenance,,Currency,Model!C99,Expenses,
,Landscaping,,Currency,Model!C100,Expenses,
,Pest Control,,Currency,Model!C101,Expenses,
