Region,MSA,City,State,Project_Name,Address,Developer,Units,Status,Issue_Date,Estimated_Cost_USD,Cost_Display,Permit_Type,Permit_Number,Building_Class,Class_A_Likely,Net_Absorption_Units_Annual,Absorption_Rate_Pct,Occupancy_Rate_Pct,Vacancy_Rate_Pct,Avg_Effective_Rent_USD,YoY_Rent_Growth_Pct,Total_Units_Under_Construction,Units_Delivered_2024,Units_Delivered_2025,Market_Trend,Concession_Prevalence,Market_Commentary,Description,Latitude,Longitude,Data_Source,Absorption_Data_Source,Retrieved_Date,CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
Midwest,"Chicago, IL",Chicago,IL,370 Morgan Street,370 MORGAN ST,Related Midwest,493.0,Permitted,2025-05-30T00:00:00.000,155000000.0,$155M,PERMIT - NEW CONSTRUCTION,101060198,A,yes,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","31-story residential building with 154 efficiency units and 339 dwelling units, including ground floor retail and parking.",41.88889451243865,-87.65237985121779,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,44th Street Apartments,4809 44TH ST,Related Midwest,110.0,Permitted,2025-10-16T00:00:00.000,46770000.0,$47M,PERMIT - NEW CONSTRUCTION,101061913,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Large multifamily development with 110 units and significant parking.,41.81298230331859,-87.74373180478452,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,21st Place Apartments,1609 21ST PL,Related Midwest,98.0,Permitted,2025-05-09T00:00:00.000,38969525.0,$39M,PERMIT - NEW CONSTRUCTION,101053191,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",8 story apartment building with 98 dwelling units and 20 parking spaces; large multifamily development.,41.85311434647053,-87.66654768482606,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Avers Station,750 AVERS AVE,Related Midwest,60.0,Permitted,2025-01-28T00:00:00.000,30000000.0,$30M,PERMIT - NEW CONSTRUCTION,101061943,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","Four story, sixty unit apartment building with ground floor retail at 750 Avers Ave.",41.89513058121504,-87.72254922611839,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Cicero 4442 Apartments,4442 CICERO AVE,Related Midwest,73.0,Permitted,2025-10-22T00:00:00.000,29936000.0,$30M,PERMIT - NEW CONSTRUCTION,101061910,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Large 6-story multifamily development with 73 units and 40 bike spaces.,41.81181535150828,-87.74341689187739,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Talman Row,1312 TALMAN AVE,Brinshore Development,75.0,Permitted,2024-10-02T00:00:00.000,26500000.0,$26M,PERMIT - NEW CONSTRUCTION,101046154,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","Large multifamily development with 75 dwelling units, 4-story building at 1312 Talman Ave.",41.864276457843,-87.6922889087213,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Pulaski,1539 PULASKI RD,BKB Development,61.0,Permitted,2025-12-10T00:00:00.000,26500000.0,$26M,PERMIT - NEW CONSTRUCTION,101064943,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",6-story multifamily building connected to existing 2-story structure with 26 parking spaces.,41.90928641993488,-87.7263428081553,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Irving,2909 IRVING PARK RD,BKB Development,45.0,Permitted,2025-05-06T00:00:00.000,25944371.0,$26M,PERMIT - NEW CONSTRUCTION,101061450,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","7-story mixed-use building with 45 dwelling units, rooftop green roof and resident terrace, and 16 at-grade parking spaces.",41.95385026345159,-87.70110974120044,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,111 Illinois Street Residential Conversion,111 ILLINOIS ST,Direct Developer Services,153.0,Permitted,2025-07-11T00:00:00.000,25000000.0,$25M,PERMIT - RENOVATION/ALTERATION,101068638,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Conversion of floors 5-10 of existing office building to residential use with 103 dwelling units and 50 efficiency units.,41.890704754245085,-87.63161066165118,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Huron 310 Apartments,310 HURON ST,Direct Developer Services,151.0,Permitted,2025-12-16T00:00:00.000,24000000.0,$24M,PERMIT - NEW CONSTRUCTION,101075524,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",9-story residential building with 101 standard units and 48 efficiency units.,41.89487483054225,-87.63617685298034,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
