"ZIP_Code","City","State","Metro_MSA","County","Total_Population","Total_Housing_Units","MF_Units_5plus_Stock","Renter_Share_Pct","Median_Gross_Rent_Monthly","Median_HH_Income","MF_MedianSalePrice_PerUnit_Latest","MF_MedianSalePrice_PerUnit_12MoAgo","MF_MedianSalePrice_PerUnit_24MoAgo","MF_Price_PerSF","MF_CapRate_At_Sale_Pct","MF_Sale_Volume_Annual_Deals","MF_Avg_Building_Size_Units","MF_YoY_PriceChange_Pct","MF_24Mo_PriceChange_Pct","Market_Type","MF_GrossRentMultiplier","MF_Price_Trend","Data_Source","Data_Period","Note","","","","","","","","","","","","","","","","","","","","","","","",""
"601","","","","","16834","5341","2802","30","401","17526","84000","85496","88347","138","5.55","6","120","-1.75","-4.92","Secondary","17.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"602","","","","","37642","12777","5199","24.6","459","20260","84000","87038","90850","138","5.55","10","120","-3.49","-7.54","Secondary","15.3","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"603","","","","","49075","19624","13275","42.6","448","17703","84000","85986","89144","138","5.55","27","120","-2.31","-5.77","Secondary","15.6","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"606","","","","","5590","1948","886","24.9","394","19603","84000","86714","90313","138","5.55","2","120","-3.13","-6.99","Secondary","17.8","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"610","","","","","25542","8781","3718","27.2","524","22796","84000","87300","91265","138","5.55","7","120","-3.78","-7.96","Secondary","13.4","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"611","","","","","1315","523","459","47.2","432","22525","84000","85714","88701","138","5.55","1","120","-2","-5.3","Secondary","16.2","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"612","","","","","63312","23286","15086","37.7","474","22305","84000","87436","91503","138","5.55","30","120","-3.93","-8.2","Secondary","14.8","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"616","","","","","9625","3150","1980","32.6","580","23652","84000","86831","90507","138","5.55","4","120","-3.26","-7.19","Secondary","12.1","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"617","","","","","22573","8234","3888","26.3","581","20328","84000","87246","91185","138","5.65","8","120","-3.72","-7.88","Secondary","12","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"622","","","","","7577","2996","1514","28.4","565","22818","84000","85322","88078","138","5.55","3","120","-1.55","-4.63","Secondary","12.4","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"623","","","","","39406","14572","6762","25.1","540","23132","84000","86696","90284","138","5.55","14","120","-3.11","-6.96","Secondary","13","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"624","","","","","21648","7344","4370","30.1","492","20101","84000","85741","88739","138","5.55","9","120","-2.03","-5.34","Secondary","14.2","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"627","","","","","32733","11585","5196","24.3","578","23263","84000","87482","91573","138","5.65","10","120","-3.98","-8.27","Secondary","12.1","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"631","","","","","1431","480","340","42.1","326","15658","84000","85003","87564","138","5.55","1","120","-1.18","-4.07","Secondary","21.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"636","","","","","1057","262","258","56.5","336","","140000","141543","145727","230","5.55","1","120","-1.09","-3.93","Secondary","34.7","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"637","","","","","22882","7265","2775","21.8","454","20568","84000","85150","87802","138","5.55","6","120","-1.35","-4.33","Secondary","15.4","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"638","","","","","17605","5814","2821","26.7","371","19796","84000","85201","87875","138","5.55","6","120","-1.41","-4.41","Secondary","18.9","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"641","","","","","24299","8854","6267","40","458","17673","84000","87848","92176","138","5.55","13","120","-4.38","-8.87","Secondary","15.3","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"646","","","","","35926","12006","4471","20.3","664","31330","84000","88161","92695","138","5.55","9","120","-4.72","-9.38","Secondary","10.5","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"647","","","","","4702","1844","982","26.6","336","17143","84000","86804","90468","138","5.55","2","120","-3.23","-7.15","Secondary","20.8","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"650","","","","","13767","5245","3024","31","633","20363","84000","85029","87600","138","5.55","6","120","-1.21","-4.11","Secondary","11.1","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"652","","","","","3924","1412","745","27.6","678","26148","84000","85557","88449","138","5.55","1","120","-1.82","-5.03","Secondary","10.3","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"653","","","","","8980","3627","2027","32","329","13777","84000","86696","90284","138","5.55","4","120","-3.11","-6.96","Secondary","21.3","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"656","","","","","18121","6429","3249","26.9","413","21456","84000","87940","92328","138","5.55","6","120","-4.48","-9.02","Secondary","16.9","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"659","","","","","37066","13061","6146","26.8","541","23899","84000","87318","91304","138","5.55","12","120","-3.8","-8","Secondary","12.9","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"660","","","","","15483","6084","3100","29.4","531","22556","84000","87958","92348","138","5.65","6","120","-4.5","-9.04","Secondary","13.2","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"662","","","","","40480","14067","10476","39.5","512","20283","84000","85375","88152","138","5.55","21","120","-1.61","-4.71","Secondary","13.7","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"664","","","","","14967","5056","3656","41.4","444","17966","84000","86455","89897","138","5.55","7","120","-2.84","-6.56","Secondary","15.8","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"667","","","","","23370","8259","4629","31.1","520","16889","84000","86660","90235","138","5.55","9","120","-3.07","-6.91","Secondary","13.5","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"669","","","","","27529","9997","6380","33.7","483","18838","84000","84686","87056","138","5.65","13","120","-0.81","-3.51","Secondary","14.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"670","","","","","8746","2702","1312","26.4","299","16644","84000","84960","87500","138","5.55","3","120","-1.13","-4","Secondary","23.4","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"674","","","","","39385","14691","6335","26.7","534","20088","84000","86384","89792","138","5.55","13","120","-2.76","-6.45","Secondary","13.1","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"676","","","","","36683","12956","9053","36.8","478","20160","84000","87619","91803","138","5.55","18","120","-4.13","-8.5","Secondary","14.6","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"677","","","","","15304","5741","2264","28.3","572","26404","84000","87218","91136","138","5.55","5","120","-3.69","-7.83","Secondary","12.2","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"678","","","","","25039","9059","5337","34.7","488","19558","84000","85741","88748","138","5.55","11","120","-2.03","-5.35","Secondary","14.3","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"680","","","","","43173","17577","11357","44.4","462","16535","84000","86251","89562","138","5.65","23","120","-2.61","-6.21","Secondary","15.2","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"682","","","","","30414","12077","8225","50.4","418","17385","84000","88180","92736","138","5.55","16","120","-4.74","-9.42","Secondary","16.7","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"683","","","","","29547","10904","5782","32.1","466","18132","84000","87619","91803","138","5.55","12","120","-4.13","-8.5","Secondary","15","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"685","","","","","40346","14312","7689","30.1","440","17481","84000","86233","89543","138","5.55","15","120","-2.59","-6.19","Secondary","15.9","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"687","","","","","28659","9810","5211","29","561","22282","84000","86304","89657","138","5.55","10","120","-2.67","-6.31","Secondary","12.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"688","","","","","11478","3950","2861","36.6","547","17273","84000","86198","89485","138","5.65","6","120","-2.55","-6.13","Secondary","12.8","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"690","","","","","5781","2063","1217","33.6","782","23343","84000","88133","92654","138","5.55","2","120","-4.69","-9.34","Secondary","9","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"692","","","","","33302","11968","6785","31.9","631","25289","84000","87949","92338","138","5.55","14","120","-4.49","-9.03","Secondary","11.1","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
