city,lat,lng,rent_growth_yoy_pct,rent_growth_1yr_prior_pct,rent_growth_3yr_avg_pct,rent_growth_5yr_avg_pct,market_trend,data_source,as_of_date,source_url
New York,40.7128,-74.006,1.83,1.91,1.7,1.51,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Los Angeles,34.0522,-118.2437,2.06,2.0,2.0,1.89,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Chicago,41.8781,-87.6298,2.97,2.48,2.6,2.62,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Houston,29.7604,-95.3698,-0.3,-0.27,-0.27,-0.29,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Phoenix,33.4484,-112.074,-1.26,-1.01,-1.03,-1.03,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Philadelphia,39.9526,-75.1652,2.22,2.94,2.54,2.12,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
San Antonio,29.4241,-98.4936,0.71,0.81,0.7,0.74,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
San Diego,32.7157,-117.1611,2.47,3.56,2.49,2.28,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
DFW,32.7767,-96.797,1.55,1.33,1.41,1.36,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Bay Area,37.7749,-122.4194,1.64,2.32,1.55,1.49,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Austin,30.2672,-97.7431,-2.33,-2.54,-2.17,-2.13,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Jacksonville,30.3322,-81.6557,-2.62,-3.31,-2.53,-2.54,Declining,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Columbus,39.9612,-82.9988,4.22,3.97,3.38,3.72,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Charlotte,35.2271,-80.8431,1.08,1.1,1.03,1.17,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
Indianapolis,39.7684,-86.1581,3.67,3.91,2.97,2.75,Accelerating,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
