city,lat,lng,effective_rent_per_unit,effective_rent_per_sf,asking_rent_per_unit,avg_unit_sf,studio_rent,one_br_rent,two_br_rent,three_br_rent,data_source,as_of_date,source_url
New York,40.7128,-74.006,3134.29,3.16,3196.98,992.0,2257.0,2884.0,3698.0,4545.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Los Angeles,34.0522,-118.2437,2533.35,3.05,2584.02,830.0,1824.0,2331.0,2989.0,3673.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Chicago,41.8781,-87.6298,1808.69,2.34,1844.86,772.0,1302.0,1664.0,2134.0,2623.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Houston,29.7604,-95.3698,1311.84,1.27,1338.08,1031.0,945.0,1207.0,1548.0,1902.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Phoenix,33.4484,-112.074,1594.42,2.01,1626.31,791.0,1148.0,1467.0,1881.0,2312.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Philadelphia,39.9526,-75.1652,1766.92,1.91,1802.26,927.0,1272.0,1626.0,2085.0,2562.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
San Antonio,29.4241,-98.4936,1272.5,1.58,1297.95,806.0,916.0,1171.0,1502.0,1845.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
San Diego,32.7157,-117.1611,2795.14,3.5,2851.04,799.0,2013.0,2572.0,3298.0,4053.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
DFW,32.7767,-96.797,1696.12,1.75,1730.04,970.0,1221.0,1560.0,2001.0,2459.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bay Area,37.7749,-122.4194,3333.82,3.59,3400.5,929.0,2400.0,3067.0,3934.0,4834.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Austin,30.2672,-97.7431,1710.9,2.06,1745.12,832.0,1232.0,1574.0,2019.0,2481.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Jacksonville,30.3322,-81.6557,1557.2,1.79,1588.34,871.0,1121.0,1433.0,1837.0,2258.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Columbus,39.9612,-82.9988,1302.84,1.42,1328.9,917.0,938.0,1199.0,1537.0,1889.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Charlotte,35.2271,-80.8431,1602.54,1.73,1634.59,924.0,1154.0,1474.0,1891.0,2324.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Indianapolis,39.7684,-86.1581,1171.78,1.26,1195.22,931.0,844.0,1078.0,1383.0,1699.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Seattle,47.6062,-122.3321,2438.8,2.39,2487.58,1020.0,1756.0,2244.0,2878.0,3536.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Denver,39.7392,-104.9903,1915.86,1.99,1954.18,962.0,1379.0,1763.0,2261.0,2778.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Nashville,36.1627,-86.7816,1801.32,1.96,1837.35,918.0,1297.0,1657.0,2126.0,2612.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Oklahoma City,35.4676,-97.5164,1093.68,1.12,1115.55,976.0,787.0,1006.0,1291.0,1586.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
El Paso,31.7619,-106.485,964.86,1.16,984.16,831.0,695.0,888.0,1139.0,1399.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
DC Metro,38.9072,-77.0369,2557.09,2.69,2608.23,950.0,1841.0,2353.0,3017.0,3708.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Boston,42.3601,-71.0589,3012.76,3.14,3073.02,959.0,2169.0,2772.0,3555.0,4369.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Las Vegas,36.1699,-115.1398,1525.57,1.99,1556.08,766.0,1098.0,1404.0,1800.0,2212.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Memphis,35.1495,-90.049,1089.31,1.2,1111.1,904.0,784.0,1002.0,1285.0,1579.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Louisville,38.2527,-85.7585,1092.73,1.13,1114.58,971.0,787.0,1005.0,1289.0,1584.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Portland,45.5051,-122.675,1762.48,1.85,1797.73,955.0,1269.0,1621.0,2080.0,2556.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Baltimore,39.2904,-76.6122,1648.86,2.06,1681.84,802.0,1187.0,1517.0,1946.0,2391.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Milwaukee,43.0389,-87.9065,1102.08,1.25,1124.12,880.0,793.0,1014.0,1300.0,1598.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Albuquerque,35.0844,-106.6504,1093.97,1.38,1115.85,792.0,788.0,1006.0,1291.0,1586.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tucson,32.2226,-110.9747,1185.82,1.46,1209.54,812.0,854.0,1091.0,1399.0,1719.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Central Valley,36.7783,-119.4179,1424.27,1.6,1452.76,892.0,1025.0,1310.0,1681.0,2065.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sacramento,38.5816,-121.4944,1861.91,2.01,1899.15,926.0,1341.0,1713.0,2197.0,2700.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kansas City,39.0997,-94.5786,1159.28,1.38,1182.47,837.0,835.0,1067.0,1368.0,1681.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Atlanta,33.749,-84.388,1628.8,1.85,1661.38,881.0,1173.0,1498.0,1922.0,2362.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Omaha,41.2565,-95.9345,1179.73,1.31,1203.32,903.0,849.0,1085.0,1392.0,1711.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Colorado Springs,38.8339,-104.8214,1330.3,1.47,1356.91,908.0,958.0,1224.0,1570.0,1929.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Raleigh-Durham,35.7796,-78.6382,1683.71,1.88,1717.38,894.0,1212.0,1549.0,1987.0,2441.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hampton Roads,36.8529,-75.978,1328.39,1.58,1354.96,839.0,956.0,1222.0,1568.0,1926.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Minneapolis,44.9778,-93.265,1493.76,1.61,1523.64,930.0,1076.0,1374.0,1763.0,2166.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tampa Bay,27.9506,-82.4572,1745.71,2.02,1780.62,865.0,1257.0,1606.0,2060.0,2531.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
New Orleans,29.9511,-90.0715,1319.81,1.47,1346.21,895.0,950.0,1214.0,1557.0,1914.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Richmond,37.5407,-77.436,1432.74,1.76,1461.39,813.0,1032.0,1318.0,1691.0,2077.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Spokane,47.6588,-117.426,1245.62,1.27,1270.53,985.0,897.0,1146.0,1470.0,1806.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Des Moines,41.5868,-93.625,1103.57,1.16,1125.64,951.0,795.0,1015.0,1302.0,1600.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
