city,lat,lng,occupancy_rate_pct,vacancy_rate_pct,physical_occupancy_pct,economic_occupancy_pct,occ_1yr_prior_pct,market_tightness,data_source,as_of_date,source_url
New York,40.7128,-74.006,95.47,4.53,93.4,94.36,97.27,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Los Angeles,34.0522,-118.2437,96.4,3.6,95.52,95.72,97.74,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Chicago,41.8781,-87.6298,92.39,7.61,90.85,92.26,93.53,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Houston,29.7604,-95.3698,90.79,9.21,91.41,88.47,92.55,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Phoenix,33.4484,-112.074,89.3,10.7,90.15,89.68,88.46,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Philadelphia,39.9526,-75.1652,92.14,7.86,92.73,90.12,93.93,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
San Antonio,29.4241,-98.4936,89.24,10.76,88.21,88.68,91.51,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
San Diego,32.7157,-117.1611,97.57,2.43,97.96,95.59,98.78,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
DFW,32.7767,-96.797,91.26,8.74,91.27,88.76,91.83,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Bay Area,37.7749,-122.4194,94.38,5.62,95.34,93.32,96.79,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Austin,30.2672,-97.7431,91.47,8.53,91.69,89.06,92.25,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Jacksonville,30.3322,-81.6557,88.25,11.75,89.06,86.03,87.86,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Columbus,39.9612,-82.9988,93.59,6.41,94.19,93.98,93.53,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Charlotte,35.2271,-80.8431,91.84,8.16,90.32,92.32,90.86,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Indianapolis,39.7684,-86.1581,92.62,7.38,92.11,90.29,92.84,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Seattle,47.6062,-122.3321,94.43,5.57,95.79,91.99,97.01,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Denver,39.7392,-104.9903,92.19,7.81,92.42,92.52,92.68,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Nashville,36.1627,-86.7816,90.81,9.19,89.02,87.97,90.45,Loose,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Oklahoma City,35.4676,-97.5164,92.26,7.74,90.88,90.91,94.16,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
El Paso,31.7619,-106.485,93.03,6.97,91.5,93.53,92.73,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
DC Metro,38.9072,-77.0369,95.36,4.64,95.86,93.5,95.44,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Boston,42.3601,-71.0589,97.26,2.74,97.73,95.02,96.66,Very Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Las Vegas,36.1699,-115.1398,92.57,7.43,92.57,91.8,94.76,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Memphis,35.1495,-90.049,93.13,6.87,94.12,93.76,92.87,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Louisville,38.2527,-85.7585,94.36,5.64,95.52,93.18,96.29,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
Portland,45.5051,-122.675,92.42,7.58,93.72,92.03,92.71,Balanced,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
