city,lat,lng,concession_rate_pct,avg_free_rent_weeks,pct_units_offering_concessions,net_effective_discount_pct,concession_trend,data_source,as_of_date,source_url
New York,40.7128,-74.006,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Los Angeles,34.0522,-118.2437,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Chicago,41.8781,-87.6298,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Houston,29.7604,-95.3698,0.9,0.7,7.2,0.5,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Phoenix,33.4484,-112.074,1.2,1.0,9.6,0.7,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Philadelphia,39.9526,-75.1652,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
San Antonio,29.4241,-98.4936,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
San Diego,32.7157,-117.1611,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
DFW,32.7767,-96.797,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bay Area,37.7749,-122.4194,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Austin,30.2672,-97.7431,1.9,1.5,15.2,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Jacksonville,30.3322,-81.6557,2.1,1.7,16.8,1.3,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Columbus,39.9612,-82.9988,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Charlotte,35.2271,-80.8431,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Indianapolis,39.7684,-86.1581,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Seattle,47.6062,-122.3321,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Denver,39.7392,-104.9903,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Nashville,36.1627,-86.7816,1.1,0.9,8.8,0.7,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Oklahoma City,35.4676,-97.5164,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
El Paso,31.7619,-106.485,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
DC Metro,38.9072,-77.0369,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Boston,42.3601,-71.0589,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Las Vegas,36.1699,-115.1398,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Memphis,35.1495,-90.049,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Louisville,38.2527,-85.7585,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Portland,45.5051,-122.675,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Baltimore,39.2904,-76.6122,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Milwaukee,43.0389,-87.9065,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Albuquerque,35.0844,-106.6504,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tucson,32.2226,-110.9747,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Central Valley,36.7783,-119.4179,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sacramento,38.5816,-121.4944,1.0,0.8,8.0,0.6,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kansas City,39.0997,-94.5786,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Atlanta,33.749,-84.388,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Omaha,41.2565,-95.9345,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Colorado Springs,38.8339,-104.8214,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Raleigh-Durham,35.7796,-78.6382,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hampton Roads,36.8529,-75.978,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Minneapolis,44.9778,-93.265,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tampa Bay,27.9506,-82.4572,1.8,1.4,14.4,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
New Orleans,29.9511,-90.0715,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Richmond,37.5407,-77.436,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Spokane,47.6588,-117.426,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Des Moines,41.5868,-93.625,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Montgomery,32.3668,-86.3,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Inland Empire,33.9806,-117.3755,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Ventura,34.2805,-119.2945,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tallahassee,30.4518,-84.2807,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Huntsville,34.7304,-86.5861,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Knoxville,35.9606,-83.9207,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Chattanooga,35.0456,-85.3097,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fort Collins,40.5853,-105.0844,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Eugene,44.0521,-123.0868,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Boise,43.615,-116.2023,1.4,1.1,11.2,0.8,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sarasota,27.3364,-82.5307,2.6,2.1,20.8,1.6,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Savannah,32.0835,-81.0998,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Charleston,32.7765,-79.9311,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Salt Lake City,40.7608,-111.891,1.9,1.5,15.2,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Greenville,34.8526,-82.394,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Asheville,35.5951,-82.5515,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Wilmington,34.2257,-77.9447,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fayetteville,35.0527,-78.8784,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fayetteville AR,36.0626,-94.1574,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Reno,39.5296,-119.8138,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Baton Rouge,30.4515,-91.1871,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lafayette,30.2241,-92.0198,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lake Charles,30.2266,-93.2174,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
