city,lat,lng,units_under_construction,units_delivering_12mo,units_delivering_24mo,pct_of_existing_stock,avg_project_size_units,pct_affordable,data_source,as_of_date,source_url
New York,40.7128,-74.006,43657,27189,39186,84.61,218,13.73,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Los Angeles,34.0522,-118.2437,33110,22385,30479,66.21,236,13.8,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Chicago,41.8781,-87.6298,12977,8983,13731,26.21,226,12.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Houston,29.7604,-95.3698,23902,16500,21817,51.64,239,10.94,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Phoenix,33.4484,-112.074,35628,25803,32240,77.94,246,12.77,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Philadelphia,39.9526,-75.1652,7721,5139,7948,15.92,215,10.67,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
San Antonio,29.4241,-98.4936,10604,7066,10731,21.02,253,11.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
San Diego,32.7157,-117.1611,9008,5397,8657,17.93,256,9.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
DFW,32.7767,-96.797,30057,19818,29370,66.29,238,9.75,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bay Area,37.7749,-122.4194,9250,5480,9609,16.91,257,12.95,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Austin,30.2672,-97.7431,17971,11377,15373,34.5,222,13.81,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Jacksonville,30.3322,-81.6557,5922,4277,5829,12.09,247,14.25,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Columbus,39.9612,-82.9988,7898,5478,7843,15.69,243,14.87,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Charlotte,35.2271,-80.8431,14562,9410,12583,29.33,216,11.84,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Indianapolis,39.7684,-86.1581,5064,3360,4550,10.77,252,14.57,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Seattle,47.6062,-122.3321,13431,9753,12291,28.44,231,14.05,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Denver,39.7392,-104.9903,9089,6182,8096,17.74,216,14.42,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Nashville,36.1627,-86.7816,14235,8873,12064,25.74,231,12.74,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Oklahoma City,35.4676,-97.5164,3782,2623,3833,7.15,230,10.27,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
El Paso,31.7619,-106.485,2325,1594,2060,4.4,262,9.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
DC Metro,38.9072,-77.0369,11396,6659,12006,22.9,266,10.66,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Boston,42.3601,-71.0589,8974,6194,9172,18.75,253,10.25,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Las Vegas,36.1699,-115.1398,8695,6284,7372,17.6,250,15.98,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Memphis,35.1495,-90.049,2873,1872,2772,6.36,264,12.01,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Louisville,38.2527,-85.7585,2995,1950,3104,6.76,218,9.92,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Portland,45.5051,-122.675,6125,4416,5151,13.06,255,8.87,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Baltimore,39.2904,-76.6122,4899,2865,4575,9.19,268,11.08,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Milwaukee,43.0389,-87.9065,2909,1904,2968,5.26,240,9.01,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Albuquerque,35.0844,-106.6504,2795,1927,2495,6.19,263,16.2,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tucson,32.2226,-110.9747,3014,2075,3026,5.55,253,15.32,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Central Valley,36.7783,-119.4179,2042,1413,1758,3.73,260,10.11,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sacramento,38.5816,-121.4944,5366,3078,5097,9.67,249,9.75,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kansas City,39.0997,-94.5786,5006,3355,4753,10.64,259,10.4,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Atlanta,33.749,-84.388,19309,13353,20302,43.38,216,10.66,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Omaha,41.2565,-95.9345,3683,2585,3456,6.74,221,16.08,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Colorado Springs,38.8339,-104.8214,2846,2030,2526,5.31,245,14.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Raleigh-Durham,35.7796,-78.6382,11785,6761,10602,23.24,232,12.09,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
