city,lat,lng,mf_permits_12mo,mf_permits_prior_12mo,permit_growth_yoy_pct,single_family_permits_12mo,total_permits_12mo,data_source,as_of_date,source_url
New York,40.7128,-74.006,26056,28574,-9.0,21967,47836,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Los Angeles,34.0522,-118.2437,17343,16527,-6.12,16186,31625,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Chicago,41.8781,-87.6298,5934,5710,-7.46,5540,11085,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Houston,29.7604,-95.3698,12379,12393,-7.87,9920,21302,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Phoenix,33.4484,-112.074,19709,23739,-7.96,15214,32843,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Philadelphia,39.9526,-75.1652,4466,4373,-6.62,3523,8866,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
San Antonio,29.4241,-98.4936,4622,5396,-7.46,3823,8912,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
San Diego,32.7157,-117.1611,4467,4457,-8.07,3909,8621,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
DFW,32.7767,-96.797,16732,16774,-4.28,13060,30896,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bay Area,37.7749,-122.4194,4378,5107,-8.39,3958,8608,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Austin,30.2672,-97.7431,9736,10667,-7.42,7396,17238,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Jacksonville,30.3322,-81.6557,3821,3889,-5.66,3450,6231,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Columbus,39.9612,-82.9988,4271,5049,-6.0,3828,7303,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Charlotte,35.2271,-80.8431,8803,8479,-8.63,6701,16327,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Indianapolis,39.7684,-86.1581,3016,3139,-6.21,2345,5246,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Seattle,47.6062,-122.3321,7131,7190,-5.06,6724,13057,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Denver,39.7392,-104.9903,4620,5270,-7.5,4382,8416,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Nashville,36.1627,-86.7816,7346,7443,-4.19,6355,13830,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
