city,lat,lng,units_delivered_12mo,units_delivered_prior_12mo,delivery_growth_yoy_pct,pct_class_a,pct_class_b,pct_class_c,data_source,as_of_date,source_url
New York,40.7128,-74.006,20129,18166,7.3,70.4,29.06,7.91,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Los Angeles,34.0522,-118.2437,15253,15079,6.8,72.49,28.62,10.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Chicago,41.8781,-87.6298,6216,5145,6.26,63.49,29.04,7.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Houston,29.7604,-95.3698,11766,11685,9.28,55.91,31.05,7.71,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Phoenix,33.4484,-112.074,15604,14773,5.36,56.7,32.84,8.01,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Philadelphia,39.9526,-75.1652,3646,3057,5.55,72.48,30.26,9.49,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
San Antonio,29.4241,-98.4936,4754,3996,8.26,58.58,26.05,10.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
San Diego,32.7157,-117.1611,3764,3533,6.88,54.04,23.16,8.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
DFW,32.7767,-96.797,13716,13703,11.5,65.55,26.33,7.62,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bay Area,37.7749,-122.4194,4073,3706,5.22,58.78,26.01,10.07,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Austin,30.2672,-97.7431,8712,7997,10.86,58.83,22.99,10.57,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Jacksonville,30.3322,-81.6557,2782,2625,5.55,70.52,33.96,10.54,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Columbus,39.9612,-82.9988,3532,3127,9.26,59.34,26.33,10.56,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
