city,lat,lng,units_delivered_12mo,net_absorption_12mo,supply_demand_ratio,surplus_deficit_units,market_balance,data_source,as_of_date,source_url
New York,40.7128,-74.006,21873,21987,0.99,-114,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Los Angeles,34.0522,-118.2437,13919,15689,0.89,-1770,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Chicago,41.8781,-87.6298,5806,6220,0.93,-414,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Houston,29.7604,-95.3698,11521,10505,1.1,1016,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Phoenix,33.4484,-112.074,15754,14779,1.07,975,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Philadelphia,39.9526,-75.1652,3866,4005,0.97,-139,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
San Antonio,29.4241,-98.4936,4297,4228,1.02,69,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
San Diego,32.7157,-117.1611,3929,3572,1.1,357,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
DFW,32.7767,-96.797,15190,16024,0.95,-834,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Bay Area,37.7749,-122.4194,3890,4158,0.94,-268,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Austin,30.2672,-97.7431,9338,8140,1.15,1198,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Jacksonville,30.3322,-81.6557,2887,2453,1.18,434,Oversupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Columbus,39.9612,-82.9988,3481,3487,1.0,-6,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Charlotte,35.2271,-80.8431,7135,6565,1.09,570,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Indianapolis,39.7684,-86.1581,2385,2066,1.15,319,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Seattle,47.6062,-122.3321,5187,5618,0.92,-431,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Denver,39.7392,-104.9903,5026,5200,0.97,-174,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Nashville,36.1627,-86.7816,5779,5752,1.0,27,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Oklahoma City,35.4676,-97.5164,1567,1490,1.05,77,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
El Paso,31.7619,-106.485,1060,1085,0.98,-25,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
DC Metro,38.9072,-77.0369,6125,6100,1.0,25,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Boston,42.3601,-71.0589,3845,4210,0.91,-365,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Las Vegas,36.1699,-115.1398,3609,3855,0.94,-246,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
Memphis,35.1495,-90.049,1555,1404,1.11,151,Balanced,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
