city,lat,lng,population_growth_yoy_pct,population_growth_5yr_pct,net_migration_annual,domestic_migration_annual,international_migration_annual,population_2024_est,data_source,as_of_date,source_url
New York,40.7128,-74.006,0.31,1.3,718,526,186,856405,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Los Angeles,34.0522,-118.2437,0.35,2.17,960,732,252,813300,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Chicago,41.8781,-87.6298,0.1,0.51,274,196,65,828172,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Houston,29.7604,-95.3698,1.35,7.14,3724,3155,1082,835250,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Phoenix,33.4484,-112.074,1.55,7.43,4339,2855,1327,821644,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Philadelphia,39.9526,-75.1652,0.19,1.06,553,390,137,763075,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
San Antonio,29.4241,-98.4936,1.76,7.88,4187,2399,1003,941881,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
San Diego,32.7157,-117.1611,0.45,2.42,1303,1000,308,797816,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
DFW,32.7767,-96.797,2.29,8.82,5715,3714,1424,920278,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bay Area,37.7749,-122.4194,0.31,1.63,810,593,185,879110,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Austin,30.2672,-97.7431,2.73,14.98,7288,5604,1980,946471,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Jacksonville,30.3322,-81.6557,1.42,8.71,3792,2969,1242,807017,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Columbus,39.9612,-82.9988,1.64,6.32,3588,2772,954,835026,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Charlotte,35.2271,-80.8431,1.85,12.66,5637,3816,1782,800876,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Indianapolis,39.7684,-86.1581,0.94,4.17,2131,1486,496,779252,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Seattle,47.6062,-122.3321,1.0,5.42,3242,2105,789,890963,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Denver,39.7392,-104.9903,1.62,7.9,3720,2994,1143,831578,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Nashville,36.1627,-86.7816,2.02,8.59,4450,3221,1243,858262,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Oklahoma City,35.4676,-97.5164,0.94,4.96,2123,1530,578,813463,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
El Paso,31.7619,-106.485,0.48,2.23,1150,861,357,775356,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
DC Metro,38.9072,-77.0369,0.86,3.8,2221,1274,565,881069,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Boston,42.3601,-71.0589,0.49,2.27,1197,831,386,906079,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Las Vegas,36.1699,-115.1398,1.98,8.83,4411,2958,1144,822970,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Memphis,35.1495,-90.049,0.24,1.09,491,317,153,841187,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Louisville,38.2527,-85.7585,0.65,3.17,1605,1328,435,793634,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Portland,45.5051,-122.675,0.73,3.95,1957,1484,613,867605,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Baltimore,39.2904,-76.6122,0.09,0.43,238,163,65,748612,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Milwaukee,43.0389,-87.9065,0.09,0.55,268,159,71,940616,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Albuquerque,35.0844,-106.6504,0.42,2.6,1142,800,325,782108,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tucson,32.2226,-110.9747,0.93,3.35,1929,1460,611,909180,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Central Valley,36.7783,-119.4179,0.76,4.12,2133,1521,506,783740,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sacramento,38.5816,-121.4944,1.04,4.61,2445,1562,596,948858,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kansas City,39.0997,-94.5786,1.07,4.92,2195,1513,677,834475,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Atlanta,33.749,-84.388,1.54,9.57,4758,3418,1134,949388,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Omaha,41.2565,-95.9345,0.84,4.2,2052,1423,599,914443,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
