city,lat,lng,renter_occupied_pct,owner_occupied_pct,household_formation_annual,avg_household_size,median_age_renters,renter_household_income,data_source,as_of_date,source_url
New York,40.7128,-74.006,65.45,32.1,971,2.65,37.2,55976.53,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Los Angeles,34.0522,-118.2437,59.94,39.0,1132,2.34,34.3,55127.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chicago,41.8781,-87.6298,56.26,43.4,312,2.52,36.51,50763.29,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Houston,29.7604,-95.3698,57.44,46.5,4865,2.39,36.15,50089.7,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Phoenix,33.4484,-112.074,43.49,56.3,6006,2.46,35.03,47325.89,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Philadelphia,39.9526,-75.1652,51.02,47.1,696,2.71,36.93,47508.36,US Census ACS 5-Year Estimates,2023,https://data.census.gov
San Antonio,29.4241,-98.4936,46.51,50.6,4875,2.33,35.21,42617.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
San Diego,32.7157,-117.1611,51.28,49.4,1530,2.4,31.93,62723.15,US Census ACS 5-Year Estimates,2023,https://data.census.gov
DFW,32.7767,-96.797,49.09,50.8,7139,2.68,35.9,50286.56,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bay Area,37.7749,-122.4194,65.07,37.9,1059,2.54,37.11,95946.94,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Austin,30.2672,-97.7431,54.98,47.9,8657,2.53,32.01,61891.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Jacksonville,30.3322,-81.6557,43.47,56.1,5589,2.49,35.41,43714.8,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Columbus,39.9612,-82.9988,52.26,45.9,4478,2.49,34.77,45516.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Charlotte,35.2271,-80.8431,49.75,51.3,7328,2.63,34.06,55327.39,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Indianapolis,39.7684,-86.1581,44.24,53.7,2778,2.59,33.52,42511.55,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Seattle,47.6062,-122.3321,55.77,43.8,3723,2.48,31.81,64311.32,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Denver,39.7392,-104.9903,47.2,53.0,4929,2.55,37.12,54884.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Nashville,36.1627,-86.7816,55.0,45.3,6588,2.47,34.15,48500.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Oklahoma City,35.4676,-97.5164,48.19,52.0,2705,2.63,33.83,38221.92,US Census ACS 5-Year Estimates,2023,https://data.census.gov
El Paso,31.7619,-106.485,48.57,52.4,1530,2.65,34.69,33729.93,US Census ACS 5-Year Estimates,2023,https://data.census.gov
DC Metro,38.9072,-77.0369,59.14,43.5,2758,2.38,36.16,76821.7,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boston,42.3601,-71.0589,62.63,36.2,1673,2.66,32.0,73465.98,US Census ACS 5-Year Estimates,2023,https://data.census.gov
