city,lat,lng,median_household_income,median_wage_growth_yoy_pct,rent_to_income_ratio_pct,per_capita_income,pct_cost_burdened_renters,pct_severely_cost_burdened,data_source,as_of_date,source_url
New York,40.7128,-74.006,83277.56,2.77,47.0,42178.64,39.64,18.01,US Census ACS / BLS,2023,https://data.census.gov
Los Angeles,34.0522,-118.2437,78370.5,4.53,42.8,38344.8,38.32,14.98,US Census ACS / BLS,2023,https://data.census.gov
Chicago,41.8781,-87.6298,66595.8,4.17,32.1,34190.64,34.34,16.44,US Census ACS / BLS,2023,https://data.census.gov
Houston,29.7604,-95.3698,66774.5,2.71,26.2,34307.36,43.2,17.33,US Census ACS / BLS,2023,https://data.census.gov
Phoenix,33.4484,-112.074,67499.9,3.95,28.0,37171.96,32.72,15.07,US Census ACS / BLS,2023,https://data.census.gov
Philadelphia,39.9526,-75.1652,61828.0,3.52,33.2,32906.33,34.4,22.12,US Census ACS / BLS,2023,https://data.census.gov
San Antonio,29.4241,-98.4936,60666.25,3.62,26.9,30556.89,42.17,21.63,US Census ACS / BLS,2023,https://data.census.gov
San Diego,32.7157,-117.1611,78105.82,3.99,41.8,44097.86,36.0,15.22,US Census ACS / BLS,2023,https://data.census.gov
DFW,32.7767,-96.797,74174.75,4.42,27.0,36878.52,37.55,21.85,US Census ACS / BLS,2023,https://data.census.gov
Bay Area,37.7749,-122.4194,127899.91,4.64,30.4,64756.6,31.44,16.16,US Census ACS / BLS,2023,https://data.census.gov
Austin,30.2672,-97.7431,81927.84,2.68,24.9,41629.01,33.28,18.89,US Census ACS / BLS,2023,https://data.census.gov
Jacksonville,30.3322,-81.6557,62153.12,3.27,29.2,32682.65,44.45,18.52,US Census ACS / BLS,2023,https://data.census.gov
Columbus,39.9612,-82.9988,63517.18,3.52,24.7,33881.91,33.88,17.1,US Census ACS / BLS,2023,https://data.census.gov
Charlotte,35.2271,-80.8431,72393.31,4.16,26.8,35822.57,43.59,15.94,US Census ACS / BLS,2023,https://data.census.gov
Indianapolis,39.7684,-86.1581,56464.2,3.88,24.9,31257.16,36.4,21.82,US Census ACS / BLS,2023,https://data.census.gov
Seattle,47.6062,-122.3321,91223.75,4.51,32.2,47838.96,43.32,15.24,US Census ACS / BLS,2023,https://data.census.gov
Denver,39.7392,-104.9903,76528.87,3.45,27.7,40890.62,42.98,14.95,US Census ACS / BLS,2023,https://data.census.gov
Nashville,36.1627,-86.7816,72031.65,4.39,28.3,37943.92,33.35,20.36,US Census ACS / BLS,2023,https://data.census.gov
Oklahoma City,35.4676,-97.5164,54548.45,3.84,23.0,28501.62,42.51,19.37,US Census ACS / BLS,2023,https://data.census.gov
El Paso,31.7619,-106.485,49829.38,4.52,24.1,26031.08,41.45,21.31,US Census ACS / BLS,2023,https://data.census.gov
DC Metro,38.9072,-77.0369,101885.7,2.79,27.3,54816.76,44.5,18.94,US Census ACS / BLS,2023,https://data.census.gov
Boston,42.3601,-71.0589,91272.2,2.79,40.1,51663.01,45.48,19.47,US Census ACS / BLS,2023,https://data.census.gov
Las Vegas,36.1699,-115.1398,65407.5,3.76,29.8,32035.58,34.34,19.2,US Census ACS / BLS,2023,https://data.census.gov
Memphis,35.1495,-90.049,49567.44,3.65,24.2,25768.31,31.34,14.96,US Census ACS / BLS,2023,https://data.census.gov
Louisville,38.2527,-85.7585,61384.63,3.58,23.2,29366.56,38.26,15.4,US Census ACS / BLS,2023,https://data.census.gov
Portland,45.5051,-122.675,76706.25,4.57,29.9,38869.74,33.72,20.52,US Census ACS / BLS,2023,https://data.census.gov
Baltimore,39.2904,-76.6122,71651.52,3.22,27.2,38109.05,32.16,17.35,US Census ACS / BLS,2023,https://data.census.gov
Milwaukee,43.0389,-87.9065,57461.8,4.8,24.9,29454.0,36.49,16.7,US Census ACS / BLS,2023,https://data.census.gov
Albuquerque,35.0844,-106.6504,50791.52,3.66,27.0,28026.69,38.43,17.37,US Census ACS / BLS,2023,https://data.census.gov
Tucson,32.2226,-110.9747,51084.8,3.0,27.1,28206.51,39.74,19.39,US Census ACS / BLS,2023,https://data.census.gov
Central Valley,36.7783,-119.4179,54115.42,3.6,30.8,26563.45,37.84,14.84,US Census ACS / BLS,2023,https://data.census.gov
Sacramento,38.5816,-121.4944,74287.03,4.76,27.8,41180.65,32.7,15.36,US Census ACS / BLS,2023,https://data.census.gov
Kansas City,39.0997,-94.5786,65826.33,4.55,23.3,31079.37,41.08,19.16,US Census ACS / BLS,2023,https://data.census.gov
Atlanta,33.749,-84.388,65795.95,4.19,27.5,33726.26,44.64,18.39,US Census ACS / BLS,2023,https://data.census.gov
Omaha,41.2565,-95.9345,63349.74,4.05,22.2,31415.62,33.26,18.63,US Census ACS / BLS,2023,https://data.census.gov
Colorado Springs,38.8339,-104.8214,75649.4,2.88,22.2,37247.98,41.04,14.87,US Census ACS / BLS,2023,https://data.census.gov
Raleigh-Durham,35.7796,-78.6382,78586.35,4.33,25.8,40008.09,32.56,19.08,US Census ACS / BLS,2023,https://data.census.gov
Hampton Roads,36.8529,-75.978,67798.25,4.41,24.6,32502.76,31.26,18.46,US Census ACS / BLS,2023,https://data.census.gov
Minneapolis,44.9778,-93.265,77709.0,4.42,23.9,38628.33,44.74,16.18,US Census ACS / BLS,2023,https://data.census.gov
Tampa Bay,27.9506,-82.4572,67712.81,3.38,31.3,34390.5,46.13,21.99,US Census ACS / BLS,2023,https://data.census.gov
