city,lat,lng,job_growth_yoy_pct,jobs_added_12mo,unemployment_rate_pct,labor_force_participation_pct,top_growth_sector,major_employers,data_source,as_of_date,source_url
New York,40.7128,-74.006,1.12,19694,4.36,63.66,Government/Education,"JPMorgan Chase, Goldman Sachs, NYC Health, Amazon",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Los Angeles,34.0522,-118.2437,1.49,18539,5.22,62.29,Government/Education,"Kaiser Permanente, UCLA Health, Amazon, Disney",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Chicago,41.8781,-87.6298,1.71,27915,4.82,60.66,Logistics,"Amazon, United Airlines, Advocate Health, Northwestern",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Houston,29.7604,-95.3698,2.3,32318,4.81,60.49,Healthcare,"ExxonMobil, Houston Methodist, Amazon, Shell",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Phoenix,33.4484,-112.074,2.39,43380,3.95,66.57,Healthcare,"Banner Health, Amazon, Intel, Wells Fargo",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Philadelphia,39.9526,-75.1652,1.65,20996,5.26,60.51,Government/Education,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
San Antonio,29.4241,-98.4936,2.37,29331,3.74,62.5,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
San Diego,32.7157,-117.1611,1.85,30223,3.59,61.27,Logistics,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
DFW,32.7767,-96.797,3.13,39748,3.97,61.22,Healthcare,"Amazon, American Airlines, AT&T, Texas Health",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Bay Area,37.7749,-122.4194,1.08,16200,3.8,63.86,Government/Education,"Apple, Google, Meta, Stanford Health",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Austin,30.2672,-97.7431,4.02,54692,3.41,63.24,Technology,"Dell, Apple, Tesla, UT Austin",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Jacksonville,30.3322,-81.6557,2.35,41456,4.1,61.63,Healthcare,Diversified local employers,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
Columbus,39.9612,-82.9988,2.58,39789,3.52,62.82,Healthcare,"Nationwide, OhioHealth, Amazon, JPMorgan",BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
