city,lat,lng,pct_age_25_34,pct_age_18_34,pct_age_35_54,pct_age_55_plus,millennial_renter_index,college_educated_pct,data_source,as_of_date,source_url
New York,40.7128,-74.006,13.24,22.92,25.11,29.87,105.82,35.79,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Los Angeles,34.0522,-118.2437,15.87,20.85,28.71,29.34,94.65,42.08,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chicago,41.8781,-87.6298,12.66,25.0,25.37,27.54,117.21,38.08,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Houston,29.7604,-95.3698,15.81,24.55,28.44,27.44,100.71,32.92,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Phoenix,33.4484,-112.074,12.26,20.05,28.36,26.88,107.97,40.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Philadelphia,39.9526,-75.1652,14.72,22.84,26.75,27.17,102.48,36.93,US Census ACS 5-Year Estimates,2023,https://data.census.gov
San Antonio,29.4241,-98.4936,16.3,23.58,27.06,26.25,101.87,40.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
San Diego,32.7157,-117.1611,12.45,21.58,26.84,28.24,108.12,33.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
DFW,32.7767,-96.797,15.47,25.2,28.0,27.02,107.92,34.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bay Area,37.7749,-122.4194,15.95,22.4,26.89,29.11,92.45,38.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Austin,30.2672,-97.7431,14.18,24.78,25.3,27.84,109.72,34.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Jacksonville,30.3322,-81.6557,16.25,23.89,25.47,30.21,110.59,41.54,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Columbus,39.9612,-82.9988,16.12,23.24,28.72,28.48,115.33,42.36,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Charlotte,35.2271,-80.8431,16.19,19.91,28.11,29.76,97.01,32.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Indianapolis,39.7684,-86.1581,14.02,20.18,24.94,28.46,98.37,35.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Seattle,47.6062,-122.3321,15.41,21.6,26.7,30.38,100.52,33.81,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Denver,39.7392,-104.9903,13.66,24.92,25.95,29.71,107.22,39.82,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Nashville,36.1627,-86.7816,14.74,20.1,26.79,30.48,97.52,37.48,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Oklahoma City,35.4676,-97.5164,13.94,24.35,25.66,27.33,109.65,38.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
El Paso,31.7619,-106.485,15.92,24.67,28.62,27.14,110.32,32.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
DC Metro,38.9072,-77.0369,13.44,23.04,28.14,26.78,103.17,39.94,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boston,42.3601,-71.0589,12.66,22.39,26.73,27.39,108.64,43.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Las Vegas,36.1699,-115.1398,15.2,24.18,26.3,26.5,100.79,40.39,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Memphis,35.1495,-90.049,12.71,25.13,28.55,29.4,115.03,36.89,US Census ACS 5-Year Estimates,2023,https://data.census.gov
