city,lat,lng,price_per_unit,price_per_unit_class_a,price_per_unit_class_b,price_per_unit_class_c,price_per_unit_yoy_chg_pct,price_per_sf,data_source,as_of_date,source_url
New York,40.7128,-74.006,443957.76,642329.0,423080.0,329497.0,-4.4,530.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Los Angeles,34.0522,-118.2437,381331.52,525878.0,351545.0,258267.0,-4.24,417.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Chicago,41.8781,-87.6298,205124.4,265133.0,194681.0,136209.0,-2.47,214.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Houston,29.7604,-95.3698,159490.32,226831.0,154924.0,99065.0,-6.06,183.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Phoenix,33.4484,-112.074,230208.24,308190.0,202263.0,139817.0,-4.5,247.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Philadelphia,39.9526,-75.1652,209731.2,299385.0,200553.0,128432.0,-2.33,230.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
San Antonio,29.4241,-98.4936,169552.96,215638.0,153515.0,106897.0,-2.87,175.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
San Diego,32.7157,-117.1611,427170.24,601719.0,409342.0,287524.0,-6.74,449.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
DFW,32.7767,-96.797,181590.08,263001.0,186478.0,112011.0,-5.92,215.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Bay Area,37.7749,-122.4194,448573.44,682650.0,452906.0,295162.0,-5.82,549.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Austin,30.2672,-97.7431,207532.8,284145.0,210231.0,143468.0,-5.28,253.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Jacksonville,30.3322,-81.6557,178897.6,228115.0,160103.0,108869.0,-3.5,204.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Columbus,39.9612,-82.9988,166579.12,197368.0,151913.0,104077.0,-5.94,168.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Charlotte,35.2271,-80.8431,211251.68,276644.0,201443.0,124984.0,-4.98,234.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Indianapolis,39.7684,-86.1581,148909.2,186432.0,131363.0,88980.0,-2.98,163.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Seattle,47.6062,-122.3321,379580.48,495845.0,336388.0,241562.0,-3.59,403.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Denver,39.7392,-104.9903,267849.84,358667.0,250151.0,174470.0,-6.49,320.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Nashville,36.1627,-86.7816,222498.0,302083.0,220169.0,145146.0,-5.11,244.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Oklahoma City,35.4676,-97.5164,133486.59,167140.0,127340.0,82158.0,-3.47,144.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
El Paso,31.7619,-106.485,112457.12,164210.0,113034.0,71484.0,-3.61,125.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
DC Metro,38.9072,-77.0369,377805.12,499957.0,340616.0,237970.0,-2.72,418.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Boston,42.3601,-71.0589,485049.6,589285.0,408847.0,270312.0,-4.54,513.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Las Vegas,36.1699,-115.1398,186373.2,266561.0,184242.0,135572.0,-2.93,225.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Memphis,35.1495,-90.049,113412.16,151962.0,118039.0,71294.0,-3.36,131.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Louisville,38.2527,-85.7585,133486.85,178747.0,125747.0,87661.0,-5.84,153.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Portland,45.5051,-122.675,294220.32,411350.0,288901.0,187722.0,-2.98,315.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Baltimore,39.2904,-76.6122,195923.52,274766.0,189696.0,131932.0,-6.16,208.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Milwaukee,43.0389,-87.9065,125353.44,174508.0,137974.0,86291.0,-4.8,156.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Albuquerque,35.0844,-106.6504,143336.74,179388.0,121675.0,87399.0,-3.99,157.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
Tucson,32.2226,-110.9747,136390.48,187027.0,129421.0,101494.0,-5.39,167.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
