city,lat,lng,gross_rent_multiplier,grm_class_a,grm_class_b,grm_class_c,grm_5yr_avg,grm_trend,data_source,as_of_date,source_url
New York,40.7128,-74.006,19.1,22.8,18.5,13.6,20.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Los Angeles,34.0522,-118.2437,15.23,19.8,15.5,12.1,17.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Chicago,41.8781,-87.6298,10.41,12.6,9.7,8.0,12.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Houston,29.7604,-95.3698,9.63,11.8,8.9,6.5,10.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Phoenix,33.4484,-112.074,11.77,14.2,11.3,8.3,13.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Philadelphia,39.9526,-75.1652,11.13,13.7,11.0,8.2,12.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
San Antonio,29.4241,-98.4936,9.55,11.5,9.2,7.1,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
San Diego,32.7157,-117.1611,17.07,20.8,16.1,12.5,17.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
DFW,32.7767,-96.797,10.56,12.9,9.6,7.6,11.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bay Area,37.7749,-122.4194,18.77,22.3,18.1,13.3,19.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Austin,30.2672,-97.7431,13.13,14.1,11.3,8.6,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Jacksonville,30.3322,-81.6557,9.75,11.4,10.1,7.5,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Columbus,39.9612,-82.9988,9.94,11.1,9.5,7.0,10.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Charlotte,35.2271,-80.8431,11.78,13.9,11.1,7.7,11.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Indianapolis,39.7684,-86.1581,8.96,11.2,9.2,6.9,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Seattle,47.6062,-122.3321,15.64,17.8,14.9,10.7,16.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Denver,39.7392,-104.9903,12.96,14.6,12.3,8.7,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Nashville,36.1627,-86.7816,12.74,15.3,11.9,8.8,13.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Oklahoma City,35.4676,-97.5164,8.82,9.4,8.2,6.1,8.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
El Paso,31.7619,-106.485,8.61,9.9,7.8,5.7,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
DC Metro,38.9072,-77.0369,15.48,18.6,14.3,11.0,16.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Boston,42.3601,-71.0589,17.77,21.3,15.7,12.0,19.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Las Vegas,36.1699,-115.1398,11.49,13.4,11.1,8.4,11.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Memphis,35.1495,-90.049,8.66,10.1,8.1,6.2,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Louisville,38.2527,-85.7585,9.24,10.6,8.5,6.1,9.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Portland,45.5051,-122.675,12.55,16.3,12.7,9.9,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Baltimore,39.2904,-76.6122,11.39,14.3,11.0,8.4,11.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Milwaukee,43.0389,-87.9065,8.58,11.2,9.0,6.6,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Albuquerque,35.0844,-106.6504,9.02,10.8,9.0,6.4,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tucson,32.2226,-110.9747,9.72,10.7,9.1,6.9,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Central Valley,36.7783,-119.4179,10.63,12.7,9.3,7.2,10.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sacramento,38.5816,-121.4944,13.46,15.6,12.5,9.3,14.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kansas City,39.0997,-94.5786,9.57,10.6,9.0,6.6,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Atlanta,33.749,-84.388,10.49,12.2,10.4,7.3,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Omaha,41.2565,-95.9345,8.66,10.4,9.1,6.3,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Colorado Springs,38.8339,-104.8214,11.36,12.3,10.3,8.3,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Raleigh-Durham,35.7796,-78.6382,13.24,14.6,12.1,8.9,13.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hampton Roads,36.8529,-75.978,10.48,11.7,10.2,7.4,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Minneapolis,44.9778,-93.265,12.0,13.1,11.1,8.5,12.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tampa Bay,27.9506,-82.4572,13.06,15.6,12.2,8.5,13.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
New Orleans,29.9511,-90.0715,9.85,11.3,9.2,6.8,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Richmond,37.5407,-77.436,10.58,13.0,10.1,7.8,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Spokane,47.6588,-117.426,10.25,11.3,9.4,6.7,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Des Moines,41.5868,-93.625,9.18,10.6,8.4,6.4,9.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Montgomery,32.3668,-86.3,8.03,10.2,8.4,6.2,9.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Inland Empire,33.9806,-117.3755,13.09,15.9,12.6,10.1,14.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Ventura,34.2805,-119.2945,16.25,17.8,15.5,10.8,17.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tallahassee,30.4518,-84.2807,9.41,11.2,8.7,6.9,10.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Huntsville,34.7304,-86.5861,9.92,11.6,9.9,7.1,10.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Knoxville,35.9606,-83.9207,10.3,11.6,9.3,7.1,11.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Chattanooga,35.0456,-85.3097,10.33,11.1,9.5,6.8,10.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fort Collins,40.5853,-105.0844,12.61,14.2,12.0,9.5,13.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Eugene,44.0521,-123.0868,11.25,14.0,11.4,8.0,12.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Boise,43.615,-116.2023,12.68,15.0,11.5,9.4,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sarasota,27.3364,-82.5307,13.48,16.1,13.1,9.7,15.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Savannah,32.0835,-81.0998,11.19,12.4,10.0,7.8,11.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Charleston,32.7765,-79.9311,12.52,13.7,12.0,9.1,13.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Salt Lake City,40.7608,-111.891,12.79,15.0,12.0,8.9,14.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Greenville,34.8526,-82.394,10.61,12.5,9.8,7.0,11.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Asheville,35.5951,-82.5515,13.17,15.6,11.2,8.9,13.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Wilmington,34.2257,-77.9447,11.23,12.9,10.9,8.1,11.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fayetteville,35.0527,-78.8784,8.93,11.0,8.8,6.8,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fayetteville AR,36.0626,-94.1574,10.43,12.6,9.1,7.3,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Reno,39.5296,-119.8138,12.65,14.2,11.9,8.9,13.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Baton Rouge,30.4515,-91.1871,8.71,11.4,9.1,6.9,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lafayette,30.2241,-92.0198,8.85,10.1,8.7,6.8,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lake Charles,30.2266,-93.2174,8.16,9.6,8.2,5.8,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Shreveport,32.5252,-93.7502,8.06,10.4,7.6,5.9,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Corpus Christi,27.8006,-97.3964,9.48,10.3,8.7,6.9,10.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lubbock,33.5779,-101.8552,8.55,9.9,8.3,6.1,9.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Wichita,37.6872,-97.3301,8.86,10.2,8.3,6.1,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tulsa,36.154,-95.9928,8.75,9.7,8.2,6.3,8.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Sioux Falls,43.5446,-96.7311,9.21,11.3,8.3,6.6,9.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
