city,lat,lng,debt_coverage_ratio,dcr_at_65pct_ltv,dcr_at_70pct_ltv,dcr_at_75pct_ltv,assumed_interest_rate_pct,assumed_amort_years,lender_minimum_dcr,pencils_at_current_rates,data_source,as_of_date,source_url
New York,40.7128,-74.006,0.91,0.98,0.87,0.82,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Los Angeles,34.0522,-118.2437,0.95,1.03,0.96,0.85,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Chicago,41.8781,-87.6298,1.17,1.26,1.12,1.03,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Houston,29.7604,-95.3698,1.15,1.25,1.12,1.05,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Phoenix,33.4484,-112.074,1.04,1.14,1.04,0.92,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Philadelphia,39.9526,-75.1652,1.19,1.27,1.16,1.08,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
San Antonio,29.4241,-98.4936,1.14,1.25,1.11,1.0,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
San Diego,32.7157,-117.1611,0.95,1.03,0.95,0.83,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
DFW,32.7767,-96.797,1.23,1.32,1.19,1.1,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Bay Area,37.7749,-122.4194,0.94,1.04,0.95,0.83,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Austin,30.2672,-97.7431,1.0,1.1,0.99,0.91,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Jacksonville,30.3322,-81.6557,1.03,1.11,1.03,0.92,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Columbus,39.9612,-82.9988,1.28,1.39,1.22,1.15,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Charlotte,35.2271,-80.8431,1.14,1.23,1.11,1.02,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Indianapolis,39.7684,-86.1581,1.26,1.38,1.22,1.13,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Seattle,47.6062,-122.3321,1.06,1.13,1.06,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Denver,39.7392,-104.9903,1.07,1.16,1.04,0.97,6.85,30,1.25,No,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Nashville,36.1627,-86.7816,1.1,1.17,1.07,1.01,6.85,30,1.25,Marginal,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
Oklahoma City,35.4676,-97.5164,1.28,1.35,1.26,1.18,6.85,30,1.25,Yes,CBRE/JLL Capital Markets,2025-Q4,https://www.cbre.com/insights/reports
