city,lat,lng,transaction_volume_12mo_usd,transaction_volume_prior_12mo_usd,volume_yoy_chg_pct,transaction_count_12mo,avg_deal_size_usd,pct_institutional_buyers,cap_rate_trailing_pct,data_source,as_of_date,source_url
New York,40.7128,-74.006,30325425000.0,36751012200.0,-28.5,1175,85861608.0,58.27,5.0,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Los Angeles,34.0522,-118.2437,17222945000.0,25560613800.0,-24.04,941,64411672.0,61.32,4.18,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Chicago,41.8781,-87.6298,4677414000.0,5921067600.0,-18.62,441,40791445.5,63.61,5.58,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Houston,29.7604,-95.3698,6299554000.0,7085836800.0,-23.91,689,33740198.25,54.43,5.88,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Phoenix,33.4484,-112.074,8484056000.0,14317506000.0,-18.49,900,35325370.75,52.65,5.75,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Philadelphia,39.9526,-75.1652,3092480000.0,4495944960.0,-21.99,319,43558620.0,69.24,5.12,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
San Antonio,29.4241,-98.4936,2000082000.0,2512150200.0,-20.96,250,26503717.9,67.41,5.37,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
San Diego,32.7157,-117.1611,4287072000.0,7087305600.0,-31.38,221,70814226.0,69.4,3.93,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
DFW,32.7767,-96.797,8194765000.0,12112275600.0,-27.15,922,33262935.25,53.15,5.12,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bay Area,37.7749,-122.4194,2577169500.0,4174845300.0,-19.04,116,98768688.0,54.26,4.34,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Austin,30.2672,-97.7431,3414215000.0,4418820000.0,-21.09,327,39873003.75,67.44,4.82,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Jacksonville,30.3322,-81.6557,1413736500.0,2272941000.0,-23.68,206,29185415.0,67.17,5.61,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Columbus,39.9612,-82.9988,2283015000.0,2686672800.0,-26.01,271,28415204.5,61.27,5.78,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Charlotte,35.2271,-80.8431,3954989500.0,4960992960.0,-26.65,339,35226257.0,51.59,5.17,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Indianapolis,39.7684,-86.1581,1647924500.0,2314203480.0,-25.65,285,26604498.5,68.85,5.36,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
