city,lat,lng,rent_control_status,rent_stabilization_status,annual_increase_cap_pct,exemptions_new_construction,just_cause_eviction_required,regulatory_risk_score,data_source,as_of_date,source_url
New York,40.7128,-74.006,Yes - Strong,Yes,3.0,Yes - typically 15 years,Yes,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Los Angeles,34.0522,-118.2437,Yes - Strong,Yes,3.0,Yes - typically 15 years,Yes,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Chicago,41.8781,-87.6298,Partial,Partial,,Yes - typically 15 years,No,6,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Houston,29.7604,-95.3698,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Phoenix,33.4484,-112.074,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Philadelphia,39.9526,-75.1652,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
San Antonio,29.4241,-98.4936,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
San Diego,32.7157,-117.1611,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
DFW,32.7767,-96.797,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Bay Area,37.7749,-122.4194,Yes - Strong,Yes,3.0,Yes - typically 15 years,Yes,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Austin,30.2672,-97.7431,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Jacksonville,30.3322,-81.6557,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Columbus,39.9612,-82.9988,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Charlotte,35.2271,-80.8431,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
Indianapolis,39.7684,-86.1581,No,No,,N/A,No,2,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
