city,lat,lng,moratorium_history,current_tenant_protections,eviction_filing_rate_per_1000,avg_days_to_eviction,landlord_friendly_score_1_10,data_source,as_of_date,source_url
New York,40.7128,-74.006,"Extended through 2022, partial protections 2023",Enhanced,14.59,79,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Los Angeles,34.0522,-118.2437,"Extended through 2023, rent increase limits 2024",Enhanced,14.76,83,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Chicago,41.8781,-87.6298,"Expired 2022, no extension",Enhanced,13.97,81,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Houston,29.7604,-95.3698,"Expired 2021, no local extension",Standard,18.83,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Phoenix,33.4484,-112.074,"Expired 2021, no local extension",Standard,22.85,77,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Philadelphia,39.9526,-75.1652,"Expired 2021, no local extension",Standard,16.92,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
San Antonio,29.4241,-98.4936,"Expired 2021, no local extension",Standard,22.09,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
San Diego,32.7157,-117.1611,"Expired 2021, no local extension",Standard,21.02,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
DFW,32.7767,-96.797,"Expired 2021, no local extension",Standard,21.63,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Bay Area,37.7749,-122.4194,"Extended through 2022, local extensions 2023",Enhanced,17.41,76,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Austin,30.2672,-97.7431,"Expired 2021, no local extension",Standard,15.82,80,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Jacksonville,30.3322,-81.6557,"Expired 2021, no local extension",Standard,22.76,81,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Columbus,39.9612,-82.9988,"Expired 2021, no local extension",Standard,20.02,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Charlotte,35.2271,-80.8431,"Expired 2021, no local extension",Standard,18.6,94,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Indianapolis,39.7684,-86.1581,"Expired 2021, no local extension",Standard,22.12,94,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Seattle,47.6062,-122.3321,"Expired 2021, no local extension",Standard,18.81,91,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Denver,39.7392,-104.9903,"Expired 2021, no local extension",Standard,18.16,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Nashville,36.1627,-86.7816,"Expired 2021, no local extension",Standard,13.11,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Oklahoma City,35.4676,-97.5164,"Expired 2021, no local extension",Standard,19.29,82,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
El Paso,31.7619,-106.485,"Expired 2021, no local extension",Standard,13.29,93,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
DC Metro,38.9072,-77.0369,"Extended through 2022, local protections ongoing",Enhanced,16.6,83,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Boston,42.3601,-71.0589,"Expired 2021, no extension",Enhanced,17.86,82,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Las Vegas,36.1699,-115.1398,"Expired 2021, no local extension",Standard,22.32,89,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Memphis,35.1495,-90.049,"Expired 2021, no local extension",Standard,20.13,87,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Louisville,38.2527,-85.7585,"Expired 2021, no local extension",Standard,18.19,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Portland,45.5051,-122.675,"Extended through 2022, local protections 2023",Enhanced,22.21,76,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Baltimore,39.2904,-76.6122,"Expired 2021, no local extension",Standard,12.96,78,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Milwaukee,43.0389,-87.9065,"Expired 2021, no local extension",Standard,17.16,86,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Albuquerque,35.0844,-106.6504,"Expired 2021, no local extension",Standard,14.85,79,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Tucson,32.2226,-110.9747,"Expired 2021, no local extension",Standard,22.94,94,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Central Valley,36.7783,-119.4179,"Expired 2021, no local extension",Standard,19.9,81,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Sacramento,38.5816,-121.4944,"Expired mid-2022, no local extension",Enhanced,20.67,91,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Kansas City,39.0997,-94.5786,"Expired 2021, no local extension",Standard,18.9,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Atlanta,33.749,-84.388,"Expired 2021, no local extension",Standard,16.79,76,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Omaha,41.2565,-95.9345,"Expired 2021, no local extension",Standard,19.27,90,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Colorado Springs,38.8339,-104.8214,"Expired 2021, no local extension",Standard,16.23,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Raleigh-Durham,35.7796,-78.6382,"Expired 2021, no local extension",Standard,21.59,88,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Hampton Roads,36.8529,-75.978,"Expired 2021, no local extension",Standard,22.79,85,8,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
Minneapolis,44.9778,-93.265,"Expired 2022, no extension",Enhanced,22.67,85,4,Princeton Eviction Lab / Local Courts,2025,https://evictionlab.org
