city,lat,lng,primary_hazard,hazard_severity,fema_flood_zone,wildfire_risk_score_1_10,earthquake_risk_score_1_10,hurricane_risk_score_1_10,tornado_risk_score_1_10,composite_hazard_score_1_10,data_source,as_of_date,source_url
New York,40.7128,-74.006,Low,No major hazard designation,X,1,1,1,1,3.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Los Angeles,34.0522,-118.2437,Wildfire/Earthquake,High,X,6,9,1,1,2.77,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Chicago,41.8781,-87.6298,Low,No major hazard designation,X,1,1,1,1,2.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Houston,29.7604,-95.3698,Flood,High,AE,1,1,1,1,4.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Phoenix,33.4484,-112.074,Extreme Heat,High,X,1,1,1,1,4.23,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Philadelphia,39.9526,-75.1652,Low,No major hazard designation,X,1,1,1,1,4.29,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
San Antonio,29.4241,-98.4936,Low,No major hazard designation,X,1,1,1,1,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
San Diego,32.7157,-117.1611,Low,No major hazard designation,X,1,1,1,1,3.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
DFW,32.7767,-96.797,Tornado/Hail,Moderate,X,1,1,1,5,4.43,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bay Area,37.7749,-122.4194,Earthquake/Wildfire,High,X,9,9,1,1,3.72,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Austin,30.2672,-97.7431,Low,No major hazard designation,X,1,1,1,1,2.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Jacksonville,30.3322,-81.6557,Flood/Hurricane,Moderate,X500,1,1,4,1,3.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Columbus,39.9612,-82.9988,Low,No major hazard designation,X,1,1,1,1,3.81,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Charlotte,35.2271,-80.8431,Low,No major hazard designation,X,1,1,1,1,3.31,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Indianapolis,39.7684,-86.1581,Low,No major hazard designation,X,1,1,1,1,4.4,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Seattle,47.6062,-122.3321,Low,No major hazard designation,X,1,1,1,1,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Denver,39.7392,-104.9903,Low,No major hazard designation,X,1,1,1,1,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Nashville,36.1627,-86.7816,Low,No major hazard designation,X,1,1,1,1,4.14,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Oklahoma City,35.4676,-97.5164,Tornado,High,X,1,1,1,8,2.81,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
El Paso,31.7619,-106.485,Low,No major hazard designation,X,1,1,1,1,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
DC Metro,38.9072,-77.0369,Low,No major hazard designation,X,1,1,1,1,4.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Boston,42.3601,-71.0589,Low,No major hazard designation,X,1,1,1,1,4.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Las Vegas,36.1699,-115.1398,Extreme Heat,High,X,1,1,1,1,4.2,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Memphis,35.1495,-90.049,Low,No major hazard designation,X,1,1,1,1,3.2,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Louisville,38.2527,-85.7585,Low,No major hazard designation,X,1,1,1,1,2.81,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Portland,45.5051,-122.675,Low,No major hazard designation,X,1,1,1,1,3.54,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Baltimore,39.2904,-76.6122,Low,No major hazard designation,X,1,1,1,1,3.54,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Milwaukee,43.0389,-87.9065,Low,No major hazard designation,X,1,1,1,1,3.64,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Albuquerque,35.0844,-106.6504,Low,No major hazard designation,X,1,1,1,1,3.16,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tucson,32.2226,-110.9747,Low,No major hazard designation,X,1,1,1,1,4.4,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Central Valley,36.7783,-119.4179,Low,No major hazard designation,X,1,1,1,1,2.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sacramento,38.5816,-121.4944,Wildfire,Moderate,X,6,1,1,1,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kansas City,39.0997,-94.5786,Tornado,Moderate,X,1,1,1,5,4.32,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Atlanta,33.749,-84.388,Low,No major hazard designation,X,1,1,1,1,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Omaha,41.2565,-95.9345,Low,No major hazard designation,X,1,1,1,1,4.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Colorado Springs,38.8339,-104.8214,Low,No major hazard designation,X,1,1,1,1,3.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Raleigh-Durham,35.7796,-78.6382,Low,No major hazard designation,X,1,1,1,1,4.21,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hampton Roads,36.8529,-75.978,Low,No major hazard designation,X,1,1,1,1,4.24,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Minneapolis,44.9778,-93.265,Low,No major hazard designation,X,1,1,1,1,3.65,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tampa Bay,27.9506,-82.4572,Flood/Hurricane,High,AE,1,1,7,1,4.44,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
New Orleans,29.9511,-90.0715,Flood/Hurricane,Extreme,AE/VE,1,1,10,1,2.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Richmond,37.5407,-77.436,Low,No major hazard designation,X,1,1,1,1,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Spokane,47.6588,-117.426,Low,No major hazard designation,X,1,1,1,1,2.64,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Des Moines,41.5868,-93.625,Low,No major hazard designation,X,1,1,1,1,2.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Montgomery,32.3668,-86.3,Low,No major hazard designation,X,1,1,1,1,3.81,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Inland Empire,33.9806,-117.3755,Wildfire,Moderate,X,6,1,1,1,4.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Ventura,34.2805,-119.2945,Wildfire,High,X,9,1,1,1,2.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tallahassee,30.4518,-84.2807,Low,No major hazard designation,X,1,1,1,1,3.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Huntsville,34.7304,-86.5861,Low,No major hazard designation,X,1,1,1,1,2.63,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Knoxville,35.9606,-83.9207,Low,No major hazard designation,X,1,1,1,1,3.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Chattanooga,35.0456,-85.3097,Low,No major hazard designation,X,1,1,1,1,3.15,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fort Collins,40.5853,-105.0844,Low,No major hazard designation,X,1,1,1,1,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Eugene,44.0521,-123.0868,Low,No major hazard designation,X,1,1,1,1,3.43,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Boise,43.615,-116.2023,Low,No major hazard designation,X,1,1,1,1,3.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Sarasota,27.3364,-82.5307,Flood/Hurricane,High,AE,1,1,7,1,3.84,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Savannah,32.0835,-81.0998,Low,No major hazard designation,X,1,1,1,1,3.75,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Charleston,32.7765,-79.9311,Low,No major hazard designation,X,1,1,1,1,3.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Salt Lake City,40.7608,-111.891,Low,No major hazard designation,X,1,1,1,1,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Greenville,34.8526,-82.394,Low,No major hazard designation,X,1,1,1,1,3.12,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Asheville,35.5951,-82.5515,Low,No major hazard designation,X,1,1,1,1,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Wilmington,34.2257,-77.9447,Low,No major hazard designation,X,1,1,1,1,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fayetteville,35.0527,-78.8784,Low,No major hazard designation,X,1,1,1,1,2.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fayetteville AR,36.0626,-94.1574,Low,No major hazard designation,X,1,1,1,1,4.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Reno,39.5296,-119.8138,Low,No major hazard designation,X,1,1,1,1,3.36,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Baton Rouge,30.4515,-91.1871,Low,No major hazard designation,X,1,1,1,1,3.64,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lafayette,30.2241,-92.0198,Low,No major hazard designation,X,1,1,1,1,3.28,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lake Charles,30.2266,-93.2174,Flood/Hurricane,High,AE,1,1,7,1,4.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Shreveport,32.5252,-93.7502,Low,No major hazard designation,X,1,1,1,1,3.16,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Corpus Christi,27.8006,-97.3964,Low,No major hazard designation,X,1,1,1,1,3.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lubbock,33.5779,-101.8552,Tornado/Hail,High,X,1,1,1,5,3.65,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Wichita,37.6872,-97.3301,Tornado,High,X,1,1,1,8,3.83,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tulsa,36.154,-95.9928,Tornado,Moderate,X,1,1,1,5,2.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
