city,lat,lng,insurance_cost_pct_of_ebi,avg_annual_premium_per_unit,premium_yoy_chg_pct,premium_3yr_chg_pct,carrier_availability,wind_hail_deductible_pct,data_source,as_of_date,source_url
New York,40.7128,-74.006,0.98,1141.0,20.98,44.9,Moderate,2.86,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Los Angeles,34.0522,-118.2437,0.7,938.0,11.62,53.32,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Chicago,41.8781,-87.6298,0.53,592.0,14.06,41.08,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Houston,29.7604,-95.3698,1.19,1574.0,14.33,68.1,Moderate,2.01,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Phoenix,33.4484,-112.074,0.35,405.0,23.38,54.93,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Philadelphia,39.9526,-75.1652,0.48,601.0,14.58,65.3,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
San Antonio,29.4241,-98.4936,0.58,650.0,18.55,56.89,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
San Diego,32.7157,-117.1611,0.41,518.0,21.89,64.85,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
DFW,32.7767,-96.797,0.59,717.0,23.05,44.59,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bay Area,37.7749,-122.4194,0.77,1024.0,20.48,50.35,Moderate,2.08,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Austin,30.2672,-97.7431,0.5,672.0,22.83,53.92,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Jacksonville,30.3322,-81.6557,1.59,1832.0,16.2,47.3,Moderate,2.77,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Columbus,39.9612,-82.9988,0.38,497.0,13.84,51.56,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
