city,lat,lng,avg_entitlement_months,zoning_friendly_score_1_10,upzoning_activity,inclusionary_zoning_required,affordable_set_aside_pct,impact_fee_per_unit,data_source,as_of_date,source_url
New York,40.7128,-74.006,17,4,Limited,Yes,8.94,8891,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Los Angeles,34.0522,-118.2437,19,4,Limited,Yes,14.86,7582,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Chicago,41.8781,-87.6298,16,4,Limited,Yes,11.15,7629,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Houston,29.7604,-95.3698,16,6,Moderate,No,0,8893,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Phoenix,33.4484,-112.074,17,6,Moderate,No,0,8834,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Philadelphia,39.9526,-75.1652,17,4,Limited,No,0,7744,NMHC/Local Planning Departments,2025,https://www.nmhc.org
San Antonio,29.4241,-98.4936,18,6,Moderate,No,0,8480,NMHC/Local Planning Departments,2025,https://www.nmhc.org
San Diego,32.7157,-117.1611,16,4,Limited,No,0,7932,NMHC/Local Planning Departments,2025,https://www.nmhc.org
DFW,32.7767,-96.797,16,8,Active,No,0,9065,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bay Area,37.7749,-122.4194,17,4,Limited,Yes,11.47,9489,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Austin,30.2672,-97.7431,17,8,Active,No,0,7555,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Jacksonville,30.3322,-81.6557,18,6,Moderate,No,0,7936,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Columbus,39.9612,-82.9988,15,6,Moderate,No,0,8144,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Charlotte,35.2271,-80.8431,18,8,Active,No,0,9501,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Indianapolis,39.7684,-86.1581,17,4,Limited,No,0,9285,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Seattle,47.6062,-122.3321,18,6,Moderate,No,0,8233,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Denver,39.7392,-104.9903,19,6,Moderate,No,0,8563,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Nashville,36.1627,-86.7816,16,6,Moderate,No,0,8619,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Oklahoma City,35.4676,-97.5164,16,4,Limited,No,0,8922,NMHC/Local Planning Departments,2025,https://www.nmhc.org
El Paso,31.7619,-106.485,17,4,Limited,No,0,7708,NMHC/Local Planning Departments,2025,https://www.nmhc.org
DC Metro,38.9072,-77.0369,17,4,Limited,Yes,14.95,8476,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Boston,42.3601,-71.0589,19,4,Limited,Yes,13.81,7522,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Las Vegas,36.1699,-115.1398,18,6,Moderate,No,0,7578,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Memphis,35.1495,-90.049,19,4,Limited,No,0,9024,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Louisville,38.2527,-85.7585,19,4,Limited,No,0,8825,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Portland,45.5051,-122.675,17,4,Limited,Yes,11.78,9090,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Baltimore,39.2904,-76.6122,19,4,Limited,No,0,8503,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Milwaukee,43.0389,-87.9065,15,4,Limited,No,0,9082,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Albuquerque,35.0844,-106.6504,19,4,Limited,No,0,8328,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tucson,32.2226,-110.9747,17,4,Limited,No,0,7659,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Central Valley,36.7783,-119.4179,16,4,Limited,No,0,7806,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sacramento,38.5816,-121.4944,19,4,Limited,Yes,9.11,8192,NMHC/Local Planning Departments,2025,https://www.nmhc.org
