city,lat,lng,hard_cost_per_sf,soft_cost_per_sf,land_cost_per_unit,total_dev_cost_per_unit,construction_cost_yoy_chg_pct,labor_availability,data_source,as_of_date,source_url
New York,40.7128,-74.006,175.89,53.83,75158.5,518474.88,4.76,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Los Angeles,34.0522,-118.2437,183.05,46.31,76474.62,381239.71,4.61,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Chicago,41.8781,-87.6298,149.0,46.69,39850.08,202335.59,2.99,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Houston,29.7604,-95.3698,117.42,35.76,29755.24,168285.35,4.04,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Phoenix,33.4484,-112.074,169.52,41.36,40677.18,237886.32,3.19,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Philadelphia,39.9526,-75.1652,149.57,44.76,42103.53,207266.47,3.57,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
San Antonio,29.4241,-98.4936,129.0,37.32,29096.96,167128.99,4.86,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
San Diego,32.7157,-117.1611,183.83,56.14,69401.56,432546.91,4.42,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
DFW,32.7767,-96.797,164.54,44.79,34909.39,204360.32,4.34,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bay Area,37.7749,-122.4194,195.07,45.65,95713.06,491734.66,4.6,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Austin,30.2672,-97.7431,144.5,45.22,41797.62,236227.32,2.9,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Jacksonville,30.3322,-81.6557,129.12,37.47,30039.97,169940.82,4.07,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Columbus,39.9612,-82.9988,140.28,39.42,31034.56,173582.64,2.79,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Charlotte,35.2271,-80.8431,158.69,44.1,32228.46,227503.75,4.17,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Indianapolis,39.7684,-86.1581,129.92,37.4,28023.05,140956.7,3.3,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
