city,lat,lng,composite_mf_score_100,demand_score_25,rent_growth_score_20,population_score_15,employment_score_15,pricing_score_15,financing_score_10,market_tier,data_source,as_of_date,source_url
New York,40.7128,-74.006,50.5,23.8,6.0,1.5,4.5,13.0,1.7,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Los Angeles,34.0522,-118.2437,54.1,23.9,7.0,2.0,5.2,13.8,2.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Chicago,41.8781,-87.6298,55.8,23.4,9.3,0.5,6.8,11.2,4.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Houston,29.7604,-95.3698,53.1,22.4,-1.0,8.0,8.2,10.5,5.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Phoenix,33.4484,-112.074,53.8,22.5,-3.7,9.0,10.5,11.2,4.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Philadelphia,39.9526,-75.1652,55.1,23.3,8.3,1.0,5.6,12.0,4.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
San Antonio,29.4241,-98.4936,57.0,22.6,2.7,7.5,8.2,10.5,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
San Diego,32.7157,-117.1611,60.5,24.1,9.3,2.5,7.5,14.5,2.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
DFW,32.7767,-96.797,65.6,22.9,5.0,10.5,10.5,11.2,5.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Bay Area,37.7749,-122.4194,51.9,23.7,6.0,1.5,4.5,14.5,1.7,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Austin,30.2672,-97.7431,56.9,22.6,-8.3,14.0,13.1,12.0,3.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Jacksonville,30.3322,-81.6557,44.6,22.2,-9.3,8.5,9.4,10.5,3.4,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
Columbus,39.9612,-82.9988,70.9,23.4,12.7,7.0,10.5,10.5,6.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
