GEO_ID,NAME,DP03_0062E,DP03_0002PE
0500000US01001,"Autauga County, Alabama",69841,59.0
0500000US01003,"Baldwin County, Alabama",75019,58.3
0500000US01005,"Barbour County, Alabama",44290,44.9
0500000US01007,"Bibb County, Alabama",51215,51.6
0500000US01009,"Blount County, Alabama",61096,57.4
0500000US01011,"Bullock County, Alabama",36723,46.6
0500000US01013,"Butler County, Alabama",44881,53.1
0500000US01015,"Calhoun County, Alabama",55826,55.8
0500000US01017,"Chambers County, Alabama",49295,55.2
0500000US01019,"Cherokee County, Alabama",50769,50.8
0500000US01021,"Chilton County, Alabama",61873,56.2
0500000US01023,"Choctaw County, Alabama",44483,46.4
0500000US01025,"Clarke County, Alabama",49167,50.1
0500000US01027,"Clay County, Alabama",51852,49.4
0500000US01029,"Cleburne County, Alabama",53319,49.2
0500000US01031,"Coffee County, Alabama",64672,57.2
0500000US01033,"Colbert County, Alabama",56736,57.6
0500000US01035,"Conecuh County, Alabama",42266,40.7
0500000US01037,"Coosa County, Alabama",57063,47.3
0500000US01039,"Covington County, Alabama",50886,52.5
0500000US01041,"Crenshaw County, Alabama",49040,52.1
0500000US01043,"Cullman County, Alabama",60916,58.1
0500000US01045,"Dale County, Alabama",53955,54.7
0500000US01047,"Dallas County, Alabama",36810,52.5
0500000US01049,"DeKalb County, Alabama",51149,56.7
0500000US01051,"Elmore County, Alabama",75553,58.3
0500000US01053,"Escambia County, Alabama",44447,48.9
0500000US01055,"Etowah County, Alabama",53070,55.4
0500000US01057,"Fayette County, Alabama",50733,51.7
0500000US01059,"Franklin County, Alabama",51493,56.0
0500000US01061,"Geneva County, Alabama",50951,54.6
0500000US01063,"Greene County, Alabama",31495,40.2
0500000US01065,"Hale County, Alabama",41325,50.2
0500000US01067,"Henry County, Alabama",60135,54.0
0500000US01069,"Houston County, Alabama",57531,57.2
0500000US01071,"Jackson County, Alabama",49454,51.5
0500000US01073,"Jefferson County, Alabama",64589,61.2
0500000US01075,"Lamar County, Alabama",47447,50.8
0500000US01077,"Lauderdale County, Alabama",59082,57.8
0500000US01079,"Lawrence County, Alabama",60040,55.3
0500000US01081,"Lee County, Alabama",61123,60.0
0500000US01083,"Limestone County, Alabama",83534,59.7
0500000US01085,"Lowndes County, Alabama",35160,48.7
0500000US01087,"Macon County, Alabama",45951,51.7
0500000US01089,"Madison County, Alabama",83528,64.7
0500000US01091,"Marengo County, Alabama",44205,49.7
0500000US01093,"Marion County, Alabama",50714,50.8
0500000US01095,"Marshall County, Alabama",60946,57.3
0500000US01097,"Mobile County, Alabama",58119,58.1
0500000US01099,"Monroe County, Alabama",40225,45.4
0500000US01101,"Montgomery County, Alabama",58153,59.8
0500000US01103,"Morgan County, Alabama",64858,58.3
0500000US01105,"Perry County, Alabama",34368,38.3
0500000US01107,"Pickens County, Alabama",47014,47.2
0500000US01109,"Pike County, Alabama",47961,55.9
0500000US01111,"Randolph County, Alabama",51551,52.3
0500000US01113,"Russell County, Alabama",50046,55.8
0500000US01115,"St. Clair County, Alabama",78993,59.8
0500000US01117,"Shelby County, Alabama",93543,65.7
0500000US01119,"Sumter County, Alabama",37981,47.1
0500000US01121,"Talladega County, Alabama",56249,53.1
0500000US01123,"Tallapoosa County, Alabama",57185,52.9
0500000US01125,"Tuscaloosa County, Alabama",63947,61.6
0500000US01127,"Walker County, Alabama",54509,52.4
0500000US01129,"Washington County, Alabama",60503,49.6
0500000US01131,"Wilcox County, Alabama",42236,46.5
0500000US01133,"Winston County, Alabama",48032,51.9
0500000US02013,"Aleutians East Borough, Alaska",72692,78.9
0500000US02016,"Aleutians West Census Area, Alaska",107344,84.3
0500000US02020,"Anchorage Municipality, Alaska",98152,69.8
0500000US02050,"Bethel Census Area, Alaska",70616,60.7
0500000US02060,"Bristol Bay Borough, Alaska",100625,65.2
0500000US02063,"Chugach Census Area, Alaska",88565,69.7
0500000US02066,"Copper River Census Area, Alaska",75053,58.0
0500000US02068,"Denali Borough, Alaska",88935,78.2
0500000US02070,"Dillingham Census Area, Alaska",74250,61.1
0500000US02090,"Fairbanks North Star Borough, Alaska",84722,68.7
0500000US02100,"Haines Borough, Alaska",72607,53.1
0500000US02105,"Hoonah-Angoon Census Area, Alaska",62500,63.0
0500000US02110,"Juneau City and Borough, Alaska",100513,66.7
0500000US02122,"Kenai Peninsula Borough, Alaska",77722,56.3
0500000US02130,"Ketchikan Gateway Borough, Alaska",89155,64.9
0500000US02150,"Kodiak Island Borough, Alaska",83716,72.2
0500000US02158,"Kusilvak Census Area, Alaska",48233,57.8
0500000US02164,"Lake and Peninsula Borough, Alaska",64000,74.0
0500000US02170,"Matanuska-Susitna Borough, Alaska",90625,60.4
0500000US02180,"Nome Census Area, Alaska",76643,64.2
0500000US02185,"North Slope Borough, Alaska",86313,77.6
0500000US02188,"Northwest Arctic Borough, Alaska",81298,59.0
0500000US02195,"Petersburg Borough, Alaska",77026,66.6
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",59079,61.6
0500000US02220,"Sitka City and Borough, Alaska",101207,71.3
0500000US02230,"Skagway Municipality, Alaska",78594,77.0
0500000US02240,"Southeast Fairbanks Census Area, Alaska",74223,58.2
0500000US02275,"Wrangell City and Borough, Alaska",64545,51.5
0500000US02282,"Yakutat City and Borough, Alaska",80625,65.8
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",52642,66.4
0500000US04001,"Apache County, Arizona",40338,40.5
0500000US04003,"Cochise County, Arizona",58970,49.4
0500000US04005,"Coconino County, Arizona",69748,61.6
0500000US04007,"Gila County, Arizona",59089,46.6
0500000US04009,"Graham County, Arizona",67326,50.8
0500000US04011,"Greenlee County, Arizona",75239,59.1
0500000US04012,"La Paz County, Arizona",49506,42.9
0500000US04013,"Maricopa County, Arizona",85518,64.9
