GEO_ID,NAME,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0003PE,DP04_0051E,DP04_0052E,DP04_0089E,DP04_0134E
0500000US01001,"Autauga County, Alabama",24731,22523,2208,8.9,1499,4859,197900,1200
0500000US01003,"Baldwin County, Alabama",128518,94642,33876,26.4,10888,24267,287000,1211
0500000US01005,"Barbour County, Alabama",11702,9080,2622,22.4,619,1674,109900,644
0500000US01007,"Bibb County, Alabama",9090,7571,1519,16.7,531,1215,132600,802
0500000US01009,"Blount County, Alabama",24793,21977,2816,11.4,1519,3351,169700,743
0500000US01011,"Bullock County, Alabama",4554,3453,1101,24.2,163,652,79400,635
0500000US01013,"Butler County, Alabama",9841,7262,2579,26.2,309,1324,99700,722
0500000US01015,"Calhoun County, Alabama",53271,45125,8146,15.3,3883,9130,149500,804
0500000US01017,"Chambers County, Alabama",16427,13419,3008,18.3,860,3021,129700,850
0500000US01019,"Cherokee County, Alabama",14663,10477,4186,28.5,587,1935,165900,750
0500000US01021,"Chilton County, Alabama",19702,17554,2148,10.9,1126,3118,142300,855
0500000US01023,"Choctaw County, Alabama",7164,5174,1990,27.8,301,612,111800,653
0500000US01025,"Clarke County, Alabama",11727,8452,3275,27.9,415,1395,126400,785
0500000US01027,"Clay County, Alabama",7072,5765,1307,18.5,310,1216,144700,624
0500000US01029,"Cleburne County, Alabama",6853,5849,1004,14.7,329,854,144200,792
0500000US01031,"Coffee County, Alabama",24399,20860,3539,14.5,2115,5350,180300,970
0500000US01033,"Colbert County, Alabama",27887,24217,3670,13.2,2022,4785,161600,838
0500000US01035,"Conecuh County, Alabama",6444,4528,1916,29.7,316,643,101300,781
0500000US01037,"Coosa County, Alabama",6042,4201,1841,30.5,339,582,111800,682
0500000US01039,"Covington County, Alabama",18676,14495,4181,22.4,799,2181,142500,736
0500000US01041,"Crenshaw County, Alabama",6562,5075,1487,22.7,275,918,108400,664
0500000US01043,"Cullman County, Alabama",39538,34543,4995,12.6,3364,7238,180500,883
0500000US01045,"Dale County, Alabama",22910,19769,3141,13.7,2230,4560,129100,863
0500000US01047,"Dallas County, Alabama",18949,15416,3533,18.6,1350,2017,97400,749
0500000US01049,"DeKalb County, Alabama",30853,25946,4907,15.9,1629,4517,135500,683
0500000US01051,"Elmore County, Alabama",37085,32529,4556,12.3,3316,7185,213600,1014
0500000US01053,"Escambia County, Alabama",16759,12781,3978,23.7,594,2283,122700,709
0500000US01055,"Etowah County, Alabama",47487,39160,8327,17.5,3228,7288,160600,807
0500000US01057,"Fayette County, Alabama",7798,6051,1747,22.4,338,740,121200,622
0500000US01059,"Franklin County, Alabama",13965,11593,2372,17.0,587,1926,128000,667
0500000US01061,"Geneva County, Alabama",12555,10550,2005,16.0,513,1976,120200,757
0500000US01063,"Greene County, Alabama",4258,3037,1221,28.7,162,318,86400,429
0500000US01065,"Hale County, Alabama",7514,5541,1973,26.3,465,883,126300,723
0500000US01067,"Henry County, Alabama",9151,6684,2467,27.0,361,1321,147800,770
0500000US01069,"Houston County, Alabama",49774,42581,7193,14.5,4546,9918,178000,905
0500000US01071,"Jackson County, Alabama",24797,21186,3611,14.6,1463,4071,145800,762
0500000US01073,"Jefferson County, Alabama",309542,268911,40631,13.1,30254,65422,224900,1132
0500000US01075,"Lamar County, Alabama",7107,4987,2120,29.8,214,760,112700,548
0500000US01077,"Lauderdale County, Alabama",44801,38777,6024,13.4,3581,8728,185800,799
0500000US01079,"Lawrence County, Alabama",15317,13145,2172,14.2,559,2204,150700,708
0500000US01081,"Lee County, Alabama",77509,67944,9565,12.3,9545,17698,238700,999
0500000US01083,"Limestone County, Alabama",43487,40021,3466,8.0,4048,8824,255100,908
0500000US01085,"Lowndes County, Alabama",4827,4161,666,13.8,142,470,80600,663
0500000US01087,"Macon County, Alabama",9664,7151,2513,26.0,471,1020,95700,709
0500000US01089,"Madison County, Alabama",174709,162469,12240,7.0,17760,42282,267800,1116
0500000US01091,"Marengo County, Alabama",9837,7615,2222,22.6,611,1245,103400,722
0500000US01093,"Marion County, Alabama",14156,10874,3282,23.2,966,1869,104300,583
0500000US01095,"Marshall County, Alabama",41531,35963,5568,13.4,2886,7464,183400,765
0500000US01097,"Mobile County, Alabama",185413,160507,24906,13.4,15073,35635,176600,1021
0500000US01099,"Monroe County, Alabama",10193,7396,2797,27.4,352,1408,114900,721
0500000US01101,"Montgomery County, Alabama",105799,90785,15014,14.2,9969,23423,160100,1061
0500000US01103,"Morgan County, Alabama",53569,48752,4817,9.0,3643,10627,193000,835
0500000US01105,"Perry County, Alabama",3961,3195,766,19.3,224,602,87700,610
0500000US01107,"Pickens County, Alabama",8726,6946,1780,20.4,367,917,123300,600
0500000US01109,"Pike County, Alabama",16124,12605,3519,21.8,1122,3079,149000,855
0500000US01111,"Randolph County, Alabama",12461,9127,3334,26.8,679,1849,184000,646
0500000US01113,"Russell County, Alabama",27531,23784,3747,13.6,2148,6170,152300,898
0500000US01115,"St. Clair County, Alabama",38667,34477,4190,10.8,3003,7450,218500,1077
0500000US01117,"Shelby County, Alabama",90805,85414,5391,5.9,8365,20311,298700,1348
0500000US01119,"Sumter County, Alabama",6329,4765,1564,24.7,222,735,84100,841
0500000US01121,"Talladega County, Alabama",38285,32889,5396,14.1,2371,5769,137900,772
0500000US01123,"Tallapoosa County, Alabama",22967,16548,6419,27.9,959,3359,144800,734
0500000US01125,"Tuscaloosa County, Alabama",102935,87289,15646,15.2,10164,21421,233700,997
0500000US01127,"Walker County, Alabama",30230,24843,5387,17.8,1614,4516,131100,743
0500000US01129,"Washington County, Alabama",7774,5678,2096,27.0,309,732,152800,628
0500000US01131,"Wilcox County, Alabama",5314,3693,1621,30.5,84,379,84200,699
0500000US01133,"Winston County, Alabama",13111,9328,3783,28.9,676,1916,110500,744
0500000US02013,"Aleutians East Borough, Alaska",1174,998,176,15.0,63,159,144300,1040
0500000US02016,"Aleutians West Census Area, Alaska",1391,977,414,29.8,93,281,419100,1886
0500000US02020,"Anchorage Municipality, Alaska",119717,107868,11849,9.9,13684,28924,375900,1453
0500000US02050,"Bethel Census Area, Alaska",6009,4661,1348,22.4,397,1065,120600,1454
0500000US02060,"Bristol Bay Borough, Alaska",831,283,548,65.9,34,51,269800,1318
0500000US02063,"Chugach Census Area, Alaska",3745,2679,1066,28.5,241,667,330900,1397
0500000US02066,"Copper River Census Area, Alaska",2597,1146,1451,55.9,153,252,246700,973
0500000US02068,"Denali Borough, Alaska",1306,533,773,59.2,83,51,262000,938
