city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url,latitude,longitude
Arlington TX,Balfour Lofts,Downtown Arlington (former Johnny Balfour Electronics site),65,Mixed-Use,Proposed,2025-01-01,2027-12-01,Pershing Capital,https://downtownarlington.org/do-business/emerging-projects,32.779126,-97.109715
Arlington TX,Mercantile Lofts,Arlington Highlands,248,Class A,Under Construction,2025-04-01,2027-06-01,Bridgeview Construction,https://bvcapitaltx.com/investments/current-assets/bvcap-mercantile-investors-arlington/,32.777592,-97.097549
Arlington TX,ZIP 76002 Project,Arlington (ZIP 76002),273,Class A,Under Construction,2025-01-01,2026-01-01,Unknown,https://mmgrea.com/dallas-fort-worth-q2-2025-pipeline-report/,32.780953,-97.104540
Atlanta GA,1081 Juniper St North Tower,1081 Juniper St,320,Luxury,Under Construction,2024-06-01,2025-02-01,Middle Street Partners,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025,33.783669,-84.382014
Atlanta GA,1081 Juniper St South Tower,1081 Juniper St,167,Luxury,Under Construction,2024-06-01,2025-02-01,Middle Street Partners,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025,33.783669,-84.382014
Atlanta GA,Ben Hill,Southwest Atlanta,236,Class A,Under Construction,2025-01-01,2026-08-01,Wood Partners,https://www.woodpartners.com/wood-partners-breaks-ground-on-three-attainable-living-communities-in-georgia-tennessee-and-florida/,33.749197,-84.406842
Atlanta GA,Englewood IIB Multifamily,Englewood Manor area,200,Mixed-Income,Under Construction,2024-08-01,2025-12-01,Atlanta Housing,https://www.atlantahousing.org/real-estate/development/,33.764971,-84.392344
Atlanta GA,Herndon Square Phase II,Herndon Square,170,Affordable,Under Construction,2024-01-01,2026-03-01,Atlanta Housing,https://www.atlantahousing.org/real-estate/development/,33.761819,-84.383291
Atlanta GA,Modera Parkside,Midtown (near Piedmont Park),361,Luxury,Under Construction,2024-08-01,2025-09-01,Mill Creek Residential,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025,33.746594,-84.381028
Boise ID,Ashcreek Multi-Family,Unknown,156,Class A,Under Construction,2025-01-01,2026-12-01,Unknown,https://www.djc.com/stories/images/permits/CityofBoise0601-0630.pdf,43.607973,-116.213510
Boise ID,Dorado Station,Unknown,212,Affordable,Under Construction,2025-01-01,2026-06-01,Unknown,https://www.cityofboise.org/media/20448/developmenttrends_august-2025_final.pdf,43.624952,-116.201680
Boise ID,Sycamore Commons,Unknown,18,Unknown,Under Construction,2025-01-01,2025-12-01,Unknown,https://www.cityofboise.org/media/20448/developmenttrends_august-2025_final.pdf,43.618565,-116.205629
Bradenton FL,Alton Palmetto,Northern Manatee County,276,Class A,Under Construction,2025-01-01,2026-10-01,Kolter,https://www.kolter.com/kolter-multifamily-begins-newest-florida-project/,27.475626,-82.575751
Chandler AZ,East Valley Projects (aggregate),Chandler area,250,Class A,Under Construction,2025-01-01,2027-01-01,Various,https://azbigmedia.com/real-estate/phoenix-is-the-no-4-biggest-apartment-builder-of-2025/,33.297424,-111.855964
Charleston SC,Atlantic Nowell Creek,Daniel Island - Nowell Creek Village,320,Class A,Under Construction,2023-06-01,2025-06-01,TRE Investment,https://www.treirealestate.com/en/projects/charleston-atlantic-daniel-island-south-carolina,32.804371,-79.937310
Charleston SC,Society,31 Laurens Street - Downtown,148,Luxury,Completed,2024-06-01,2025-01-01,Southern Land Company,https://southernland.com/new-luxury-multifamily-community-society-148-residences-opens-in-downtown-charleston-south-carolina/,32.806530,-79.955256
Charleston SC,The Grove on Johns Island,Johns Island,90,Garden-Style,Under Construction,2024-08-01,2025-12-01,W.M. Jordan Company,https://wmjordan.com/projects/the-grove-on-johns-island/,32.784418,-79.944104
Charlotte NC,Camden Exchange,Unknown,314,Class A,Under Construction,2024-10-01,2025-12-01,Camden,https://www.catalystcp.com/development-old/,35.228815,-80.844107
Charlotte NC,Camp North End - Kinship East/West,Camp North End,301,Mixed-Use,Completed,2024-01-01,2025-01-01,AT Properties,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown,35.212780,-80.839995
Charlotte NC,Eastland Yards,Eastland area,274,Workforce,Under Construction,2024-08-01,2025-11-01,City of Charlotte / Crosland Southeast,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown,35.238624,-80.858043
Charlotte NC,Linea,Hawkins Street - South End,280,Luxury,Under Construction,2024-06-01,2025-12-01,Unknown,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown,35.208741,-80.863363
Charlotte NC,Queensbridge Collective,South End (former Uptown Cabaret site),409,Luxury,Under Construction,2024-06-01,2025-11-01,Riverside Investment & Development,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown,35.233079,-80.835003
Charlotte NC,The Pass,Raleigh Street (north of NoDa),355,Class A,Under Construction,2024-08-01,2025-06-01,Third & Urban,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown,35.225262,-80.840688
Charlotte NC,The Wayford at Innovation Park,Innovation Park,210,Class A,Under Construction,2024-10-01,2025-12-01,Unknown,https://www.catalystcp.com/development-old/,35.217410,-80.833849
Colorado Springs CO,Affordable Housing Projects (aggregate),Various locations,700,Affordable,Under Construction,2025-01-01,2027-12-01,Various,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/,38.822432,-104.830625
Colorado Springs CO,Bradley Ridge Apartments,West of Bradley Landing Blvd,336,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.coloradopolitics.com/2026/01/05/construction-in-2025-commercial-development-dominates-the-scene-single-family-homes-see-slight-decline/,38.819269,-104.813867
