State,Eviction Score,Deposit Score,Rent Control Score,Termination Score,Overall Score
Alabama,9,9,10,9,9.3
Alaska,8,8,10,8,8.5
Arizona,9,8,10,8,8.8
Arkansas,10,9,10,9,9.5
California,2,3,1,2,2.0
Colorado,4,5,6,4,4.8
Connecticut,3,4,3,3,3.3
Delaware,4,5,6,4,4.8
Florida,9,9,10,9,9.3
Georgia,9,9,10,9,9.3
Hawaii,3,4,4,3,3.5
Idaho,9,9,10,9,9.3
Illinois,3,4,5,3,3.8
Indiana,9,9,10,9,9.3
Iowa,7,7,10,7,7.8
Kansas,8,8,10,8,8.5
Kentucky,8,8,10,8,8.5
Louisiana,9,9,10,9,9.3
Maine,3,4,4,3,3.5
Maryland,4,5,4,4,4.3
Massachusetts,2,3,2,2,2.3
Michigan,5,6,10,5,6.5
Minnesota,4,5,6,4,4.8
Mississippi,10,9,10,9,9.5
Missouri,8,8,10,8,8.5
Montana,5,6,10,5,6.5
Nebraska,7,7,10,7,7.8
Nevada,6,6,10,6,7.0
New Hampshire,9,9,10,9,9.3
New Jersey,2,3,2,2,2.3
New Mexico,4,5,6,4,4.8
New York,1,2,1,1,1.3
North Carolina,9,9,10,9,9.3
North Dakota,8,8,10,8,8.5
Ohio,7,7,10,7,7.8
Oklahoma,9,9,10,9,9.3
Oregon,2,3,1,2,2.0
Pennsylvania,6,6,10,6,7.0
Rhode Island,3,4,4,3,3.5
South Carolina,9,9,10,9,9.3
South Dakota,8,8,10,8,8.5
Tennessee,9,9,10,9,9.3
Texas,10,9,10,9,9.5
Utah,9,9,10,9,9.3
Vermont,2,3,2,2,2.3
Virginia,5,6,10,5,6.5
Washington,2,3,3,2,2.5
West Virginia,8,8,10,8,8.5
Wisconsin,7,7,10,7,7.8
Wyoming,10,9,10,9,9.5
