ZCTA,population,land_sqmi,density_sqmi
48706,38756,66.993,578.51
01096,2566,31.665,81.04
81325,86,570.08,0.15
56257,418,86.045,4.86
27256,74,,
15642,46727,44.262,1055.69
46216,2546,3.509,725.56
50143,621,35.729,17.38
54648,1616,72.174,22.39
38644,103,9.314,11.06
72379,32,86.594,0.37
76040,31172,11.433,2726.49
39352,420,100.407,4.18
62242,1764,55.102,32.01
13154,38,,
94547,26245,5.449,4816.48
07067,18294,4.018,4553.01
78669,11980,140.336,85.37
78641,93399,126.39,738.97
67354,630,56.252,11.2
88081,18334,395.983,46.3
47041,6148,82.747,74.3
85616,4845,134.021,36.15
26366,12,0.399,30.08
41759,815,5.125,159.02
06040,36171,16.969,2131.59
56210,4,0.226,17.7
29129,5329,82.737,64.41
23435,33401,38.811,860.61
50105,1384,7.938,174.35
18508,11347,6.802,1668.19
81073,1880,640.065,2.94
37719,32,0.665,48.12
32836,24648,15.529,1587.22
61473,1269,103.869,12.22
20191,30077,8.23,3654.56
32337,83,,
66044,29052,62.047,468.23
75491,5428,95.776,56.67
49456,19972,24.884,802.6
13315,1239,49.1,25.23
66438,189,18.516,10.21
72444,1670,96.263,17.35
58428,274,144.815,1.89
08321,153,9.325,16.41
48301,14749,7.381,1998.24
39206,21878,8.988,2434.13
83836,1059,93.855,11.28
17202,32772,119.012,275.37
15451,790,10.163,77.73
71009,95,,
18223,51,1.247,40.9
79566,195,158.087,1.23
38920,528,56.482,9.35
12815,999,36.683,27.23
17062,4093,81.307,50.34
34275,21583,26.055,828.36
46065,3488,38.096,91.56
33442,31146,6.68,4662.57
15031,372,0.465,800
05354,2444,19.429,125.79
33161,54128,5.467,9900.86
27511,33279,11.728,2837.57
47923,3550,91.555,38.77
11946,17303,13.376,1293.59
18636,1588,44.629,35.58
01095,14615,22.495,649.7
71261,1429,126.571,11.29
81328,4159,365.248,11.39
43740,264,0.375,704
27259,25,,
16038,3213,47.834,67.17
41092,3250,38.291,84.88
55381,2001,45.609,43.87
97451,461,41.145,11.2
10710,25684,4.59,5595.64
17222,10261,58.841,174.39
78393,1932,165.378,11.68
21913,863,0.463,1863.93
62254,6339,37.864,167.41
40108,12469,71.089,175.4
65270,16762,114.141,146.85
72585,243,22.482,10.81
