zip_code,metro,lat,lng,rent_growth_yoy_pct,rent_growth_3yr_avg_pct,market_trend,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,1.64,1.8,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10002,New York,40.7872,-73.9938,1.7,1.76,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10003,New York,40.8358,-74.1131,1.69,1.88,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10004,New York,40.5966,-73.9574,1.96,1.58,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10005,New York,40.6223,-73.9097,1.62,1.53,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10006,New York,40.7455,-74.1688,1.84,1.48,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10007,New York,40.753,-74.0236,1.58,1.92,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10008,New York,40.8409,-73.8729,1.74,1.85,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10009,New York,40.6863,-73.8916,1.72,1.47,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10010,New York,40.6582,-74.1744,1.67,1.64,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10011,New York,40.6164,-74.0364,1.55,1.57,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10012,New York,40.7651,-74.0813,1.83,1.74,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10013,New York,40.5718,-73.9069,2.08,1.85,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10014,New York,40.8483,-73.9022,1.93,1.89,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10015,New York,40.7876,-73.9791,1.9,1.72,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10016,New York,40.8492,-73.9492,1.76,1.74,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10017,New York,40.7315,-74.0492,1.96,1.65,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10018,New York,40.7465,-74.0062,1.73,1.88,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10019,New York,40.8496,-73.9842,1.54,1.56,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10020,New York,40.7937,-74.0435,2.0,1.94,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10021,New York,40.8501,-73.9875,1.62,1.44,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10022,New York,40.61,-74.0677,1.95,1.57,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10023,New York,40.6564,-74.081,1.84,1.56,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10024,New York,40.8034,-74.1215,1.79,2.0,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10025,New York,40.8144,-73.9565,1.48,1.79,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10026,New York,40.8152,-74.1239,1.7,1.56,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10027,New York,40.7701,-73.9228,1.78,1.62,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10028,New York,40.8363,-73.9296,1.52,1.59,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10029,New York,40.6248,-74.0618,1.64,1.98,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10030,New York,40.8296,-74.1136,2.07,1.74,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10031,New York,40.7547,-73.8801,2.1,1.86,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10032,New York,40.7883,-74.1199,1.68,1.67,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10033,New York,40.6653,-73.844,1.9,1.84,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10034,New York,40.819,-74.1257,1.83,1.5,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10035,New York,40.841,-73.8655,1.77,1.42,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10036,New York,40.8428,-74.1198,1.57,1.75,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10037,New York,40.7695,-73.8682,1.54,1.7,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10038,New York,40.6597,-74.0256,1.94,1.67,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10039,New York,40.8624,-74.1386,1.65,1.7,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10040,New York,40.8485,-74.0837,1.77,1.54,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10041,New York,40.7061,-73.8581,1.63,1.69,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10042,New York,40.592,-74.102,1.59,1.48,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10043,New York,40.854,-74.0088,2.05,1.55,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10044,New York,40.6682,-74.0982,1.89,1.81,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10045,New York,40.8559,-74.1667,1.78,1.89,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10046,New York,40.7917,-73.9853,1.65,1.85,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10047,New York,40.7567,-73.9596,1.53,1.52,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10048,New York,40.7048,-73.9293,1.85,1.84,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10049,New York,40.8035,-74.1252,1.99,1.63,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10050,New York,40.6196,-73.9172,1.91,1.92,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
10051,New York,40.643,-73.924,1.72,1.53,Stable,CoStar/Yardi Matrix,2025-Q4,https://www.costar.com/multifamily
