zip_code,metro,lat,lng,effective_rent_per_unit,effective_rent_per_sf,studio_rent,one_br_rent,two_br_rent,three_br_rent,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,2622.8,3.78,1883.0,2877.0,3940.0,4648.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10002,New York,40.7872,-73.9938,2818.77,4.63,2358.0,3062.0,3946.0,3968.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10003,New York,40.8358,-74.1131,3557.45,3.2,1981.0,2519.0,3560.0,4369.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10004,New York,40.5966,-73.9574,2903.14,2.9,2101.0,3129.0,4025.0,4445.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10005,New York,40.6223,-73.9097,2650.25,4.14,2374.0,2914.0,3477.0,3827.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10006,New York,40.7455,-74.1688,3439.82,4.48,2497.0,2447.0,3126.0,4553.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10007,New York,40.753,-74.0236,2823.57,4.55,2157.0,2767.0,3708.0,4225.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10008,New York,40.8409,-73.8729,3237.6,2.86,2548.0,2383.0,4310.0,4098.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10009,New York,40.6863,-73.8916,3471.52,4.84,2588.0,2577.0,4180.0,4554.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10010,New York,40.6582,-74.1744,3579.66,3.38,1846.0,3044.0,3482.0,4285.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10011,New York,40.6164,-74.0364,3373.09,2.8,2212.0,2369.0,3247.0,5196.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10012,New York,40.7651,-74.0813,3498.41,4.4,2288.0,3111.0,4107.0,4382.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10013,New York,40.5718,-73.9069,3380.56,2.68,2143.0,2876.0,3933.0,4805.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10014,New York,40.8483,-73.9022,3388.04,3.97,2329.0,3338.0,3140.0,4125.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10015,New York,40.7876,-73.9791,2897.11,2.9,1877.0,3027.0,3554.0,3804.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10016,New York,40.8492,-73.9492,2700.47,3.23,2342.0,3281.0,3768.0,3918.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10017,New York,40.7315,-74.0492,2839.53,3.1,2244.0,3222.0,3053.0,4709.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10018,New York,40.7465,-74.0062,3608.45,3.16,2521.0,3023.0,4305.0,3711.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10019,New York,40.8496,-73.9842,3304.67,3.81,2408.0,2994.0,4008.0,4729.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10020,New York,40.7937,-74.0435,2752.14,3.95,2370.0,2621.0,3254.0,4396.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10021,New York,40.8501,-73.9875,3599.63,3.1,2025.0,3260.0,4310.0,3961.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10022,New York,40.61,-74.0677,3191.74,3.61,2294.0,3150.0,3243.0,4475.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10023,New York,40.6564,-74.081,3341.95,3.99,1844.0,2738.0,3637.0,4318.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10024,New York,40.8034,-74.1215,2612.75,4.62,2034.0,2453.0,4202.0,4980.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10025,New York,40.8144,-73.9565,3072.21,3.45,2448.0,3334.0,3405.0,5204.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10026,New York,40.8152,-74.1239,3364.6,2.94,2026.0,2396.0,3149.0,4990.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10027,New York,40.7701,-73.9228,3115.96,3.31,2604.0,2853.0,3868.0,3799.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10028,New York,40.8363,-73.9296,2561.2,3.1,2014.0,2655.0,4215.0,3824.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10029,New York,40.6248,-74.0618,2609.18,2.78,2621.0,2851.0,4114.0,4920.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10030,New York,40.8296,-74.1136,2678.38,2.81,2492.0,3057.0,3492.0,4389.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10031,New York,40.7547,-73.8801,2629.38,3.33,2066.0,2501.0,3731.0,4740.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10032,New York,40.7883,-74.1199,3327.33,3.91,2203.0,2510.0,3273.0,4710.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
10033,New York,40.6653,-73.844,3268.96,3.57,1904.0,3086.0,3295.0,4671.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
