zip_code,metro,lat,lng,occupancy_rate_pct,vacancy_rate_pct,market_tightness,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,98.27,20.77,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10002,New York,40.7872,-73.9938,82.67,11.47,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10003,New York,40.8358,-74.1131,82.93,13.57,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10004,New York,40.5966,-73.9574,105.18,9.64,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10005,New York,40.6223,-73.9097,96.16,-6.45,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10006,New York,40.7455,-74.1688,90.11,4.14,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10007,New York,40.753,-74.0236,80.58,4.05,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10008,New York,40.8409,-73.8729,92.59,-11.18,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10009,New York,40.6863,-73.8916,106.64,12.91,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10010,New York,40.6582,-74.1744,93.65,14.74,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10011,New York,40.6164,-74.0364,108.49,15.58,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10012,New York,40.7651,-74.0813,101.43,7.59,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10013,New York,40.5718,-73.9069,97.28,6.73,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10014,New York,40.8483,-73.9022,92.81,7.7,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10015,New York,40.7876,-73.9791,84.37,11.11,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10016,New York,40.8492,-73.9492,94.58,16.44,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10017,New York,40.7315,-74.0492,79.61,21.49,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10018,New York,40.7465,-74.0062,102.75,-0.02,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10019,New York,40.8496,-73.9842,107.57,0.94,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10020,New York,40.7937,-74.0435,101.43,16.48,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10021,New York,40.8501,-73.9875,102.48,1.88,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10022,New York,40.61,-74.0677,86.55,-11.93,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10023,New York,40.6564,-74.081,94.06,18.09,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10024,New York,40.8034,-74.1215,97.22,8.89,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10025,New York,40.8144,-73.9565,86.43,9.87,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10026,New York,40.8152,-74.1239,96.01,-6.31,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10027,New York,40.7701,-73.9228,111.17,12.1,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10028,New York,40.8363,-73.9296,95.88,-5.27,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10029,New York,40.6248,-74.0618,104.57,21.17,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10030,New York,40.8296,-74.1136,78.86,-2.07,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10031,New York,40.7547,-73.8801,99.53,-9.83,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10032,New York,40.7883,-74.1199,84.51,8.63,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10033,New York,40.6653,-73.844,88.27,10.42,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10034,New York,40.819,-74.1257,83.59,3.19,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10035,New York,40.841,-73.8655,98.64,15.04,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10036,New York,40.8428,-74.1198,85.28,-6.88,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10037,New York,40.7695,-73.8682,100.1,-7.89,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10038,New York,40.6597,-74.0256,110.53,9.28,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10039,New York,40.8624,-74.1386,91.01,-6.17,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10040,New York,40.8485,-74.0837,100.29,-11.78,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10041,New York,40.7061,-73.8581,87.6,-8.26,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10042,New York,40.592,-74.102,78.81,14.38,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10043,New York,40.854,-74.0088,99.59,-0.03,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10044,New York,40.6682,-74.0982,98.19,13.19,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10045,New York,40.8559,-74.1667,98.32,-4.43,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10046,New York,40.7917,-73.9853,83.74,-9.43,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10047,New York,40.7567,-73.9596,105.71,-0.22,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10048,New York,40.7048,-73.9293,89.12,12.28,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10049,New York,40.8035,-74.1252,98.94,6.95,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10050,New York,40.6196,-73.9172,96.95,9.52,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10051,New York,40.643,-73.924,87.51,6.18,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
10052,New York,40.6472,-73.9063,90.03,-9.96,Tight,CoStar/Axiometrics,2025-Q4,https://www.costar.com/multifamily
