zip_code,metro,lat,lng,units_under_construction,units_delivering_12mo,pct_affordable,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,2923,2126,12.46,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10002,New York,40.7872,-73.9938,2932,1783,13.89,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10003,New York,40.8358,-74.1131,3131,1896,13.52,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10004,New York,40.5966,-73.9574,2745,2346,13.58,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10005,New York,40.6223,-73.9097,3262,2390,13.58,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10006,New York,40.7455,-74.1688,2602,2219,11.68,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10007,New York,40.753,-74.0236,2852,1860,12.09,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10008,New York,40.8409,-73.8729,3411,2087,13.15,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10009,New York,40.6863,-73.8916,2488,2017,10.76,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10010,New York,40.6582,-74.1744,3281,2023,14.24,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10011,New York,40.6164,-74.0364,2518,2354,14.47,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10012,New York,40.7651,-74.0813,3427,2101,13.04,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10013,New York,40.5718,-73.9069,3325,2340,12.92,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10014,New York,40.8483,-73.9022,2642,1740,13.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10015,New York,40.7876,-73.9791,3355,2342,13.41,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10016,New York,40.8492,-73.9492,2860,1846,14.34,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10017,New York,40.7315,-74.0492,3178,1771,13.84,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10018,New York,40.7465,-74.0062,3162,2288,11.65,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10019,New York,40.8496,-73.9842,3256,1754,11.01,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10020,New York,40.7937,-74.0435,3396,1987,11.21,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10021,New York,40.8501,-73.9875,3378,2406,13.79,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10022,New York,40.61,-74.0677,2645,1989,10.29,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10023,New York,40.6564,-74.081,3153,1783,11.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10024,New York,40.8034,-74.1215,2753,1863,14.65,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10025,New York,40.8144,-73.9565,3360,2407,14.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
