zip_code,metro,lat,lng,mf_permits_12mo,permit_growth_yoy_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,1544,-6.71,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10002,New York,40.7872,-73.9938,1860,-6.68,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10003,New York,40.8358,-74.1131,1926,-6.73,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10004,New York,40.5966,-73.9574,1638,-6.25,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10005,New York,40.6223,-73.9097,1374,-7.34,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10006,New York,40.7455,-74.1688,1914,-6.52,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10007,New York,40.753,-74.0236,1543,-7.55,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10008,New York,40.8409,-73.8729,1880,-6.19,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10009,New York,40.6863,-73.8916,1755,-6.15,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10010,New York,40.6582,-74.1744,1630,-7.37,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10011,New York,40.6164,-74.0364,1700,-5.38,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10012,New York,40.7651,-74.0813,1865,-6.14,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10013,New York,40.5718,-73.9069,1681,-5.46,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10014,New York,40.8483,-73.9022,1546,-7.34,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10015,New York,40.7876,-73.9791,1747,-6.09,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10016,New York,40.8492,-73.9492,1909,-6.78,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10017,New York,40.7315,-74.0492,1675,-6.96,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10018,New York,40.7465,-74.0062,1357,-5.88,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10019,New York,40.8496,-73.9842,1403,-6.15,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10020,New York,40.7937,-74.0435,1516,-6.47,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10021,New York,40.8501,-73.9875,1935,-5.77,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10022,New York,40.61,-74.0677,1886,-6.22,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10023,New York,40.6564,-74.081,1459,-6.41,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10024,New York,40.8034,-74.1215,1648,-6.71,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10025,New York,40.8144,-73.9565,1754,-5.65,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10026,New York,40.8152,-74.1239,1384,-7.6,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10027,New York,40.7701,-73.9228,1917,-7.32,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
10028,New York,40.8363,-73.9296,1616,-6.65,US Census Bureau,2025-Q4,https://www.census.gov/construction/bps/
