zip_code,metro,lat,lng,units_delivered_12mo,pct_class_a,pct_class_b,pct_class_c,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,1666,60.57,31.1,8.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10002,New York,40.7872,-73.9938,1589,59.29,32.41,10.14,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10003,New York,40.8358,-74.1131,1327,63.91,26.85,8.81,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10004,New York,40.5966,-73.9574,1367,63.19,25.38,7.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10005,New York,40.6223,-73.9097,1637,73.27,23.41,9.65,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10006,New York,40.7455,-74.1688,1221,61.36,26.25,7.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10007,New York,40.753,-74.0236,1226,51.27,31.92,7.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10008,New York,40.8409,-73.8729,1307,54.77,29.95,8.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10009,New York,40.6863,-73.8916,1386,55.64,23.52,10.17,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10010,New York,40.6582,-74.1744,1617,61.2,32.42,9.76,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10011,New York,40.6164,-74.0364,1619,61.66,33.05,9.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10012,New York,40.7651,-74.0813,1589,64.39,24.88,9.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10013,New York,40.5718,-73.9069,1698,61.04,24.7,7.66,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10014,New York,40.8483,-73.9022,1322,68.81,23.58,8.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10015,New York,40.7876,-73.9791,1255,65.7,31.78,10.52,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10016,New York,40.8492,-73.9492,1625,69.92,23.42,10.26,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10017,New York,40.7315,-74.0492,1644,69.66,28.03,9.73,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10018,New York,40.7465,-74.0062,1398,54.01,27.26,9.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10019,New York,40.8496,-73.9842,1429,54.76,31.38,9.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10020,New York,40.7937,-74.0435,1588,51.26,31.3,8.31,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10021,New York,40.8501,-73.9875,1427,68.17,24.83,7.97,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10022,New York,40.61,-74.0677,1185,64.05,32.25,9.49,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10023,New York,40.6564,-74.081,1249,65.98,28.39,7.77,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10024,New York,40.8034,-74.1215,1682,51.86,32.19,9.31,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10025,New York,40.8144,-73.9565,1293,59.02,26.49,7.84,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10026,New York,40.8152,-74.1239,1294,65.32,26.47,8.62,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10027,New York,40.7701,-73.9228,1677,67.38,31.49,9.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10028,New York,40.8363,-73.9296,1634,60.34,33.24,8.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10029,New York,40.6248,-74.0618,1344,67.84,27.61,8.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10030,New York,40.8296,-74.1136,1574,66.23,24.56,10.18,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10031,New York,40.7547,-73.8801,1220,62.04,25.81,7.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10032,New York,40.7883,-74.1199,1292,69.42,28.92,9.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10033,New York,40.6653,-73.844,1558,54.12,28.33,9.82,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10034,New York,40.819,-74.1257,1400,60.49,30.66,8.95,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10035,New York,40.841,-73.8655,1488,72.97,23.98,8.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10036,New York,40.8428,-74.1198,1376,58.16,27.02,8.05,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10037,New York,40.7695,-73.8682,1548,65.27,27.05,8.44,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
