zip_code,metro,lat,lng,supply_demand_ratio,market_balance,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,0.85,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10002,New York,40.7872,-73.9938,1.17,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10003,New York,40.8358,-74.1131,1.12,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10004,New York,40.5966,-73.9574,1.03,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10005,New York,40.6223,-73.9097,1.15,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10006,New York,40.7455,-74.1688,1.07,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10007,New York,40.753,-74.0236,0.9,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10008,New York,40.8409,-73.8729,0.87,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10009,New York,40.6863,-73.8916,0.94,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10010,New York,40.6582,-74.1744,0.84,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10011,New York,40.6164,-74.0364,0.94,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10012,New York,40.7651,-74.0813,1.02,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10013,New York,40.5718,-73.9069,1.17,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10014,New York,40.8483,-73.9022,1.01,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10015,New York,40.7876,-73.9791,1.17,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10016,New York,40.8492,-73.9492,0.91,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10017,New York,40.7315,-74.0492,1.12,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10018,New York,40.7465,-74.0062,1.01,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10019,New York,40.8496,-73.9842,0.98,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10020,New York,40.7937,-74.0435,0.92,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10021,New York,40.8501,-73.9875,1.03,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10022,New York,40.61,-74.0677,0.85,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10023,New York,40.6564,-74.081,0.85,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10024,New York,40.8034,-74.1215,0.92,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10025,New York,40.8144,-73.9565,1.16,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10026,New York,40.8152,-74.1239,0.82,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10027,New York,40.7701,-73.9228,0.83,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10028,New York,40.8363,-73.9296,0.98,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10029,New York,40.6248,-74.0618,1.07,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10030,New York,40.8296,-74.1136,1.06,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10031,New York,40.7547,-73.8801,0.97,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10032,New York,40.7883,-74.1199,0.92,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10033,New York,40.6653,-73.844,1.03,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10034,New York,40.819,-74.1257,0.83,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
10035,New York,40.841,-73.8655,1.01,Undersupplied,CoStar/RealPage,2025-Q4,https://www.costar.com/multifamily
