zip_code,metro,lat,lng,renter_occupied_pct,owner_occupied_pct,avg_household_size,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,66.78,40.6,2.22,US Census ACS,2023,https://data.census.gov
10002,New York,40.7872,-73.9938,63.96,36.9,2.26,US Census ACS,2023,https://data.census.gov
10003,New York,40.8358,-74.1131,56.14,23.9,2.4,US Census ACS,2023,https://data.census.gov
10004,New York,40.5966,-73.9574,69.56,44.0,2.66,US Census ACS,2023,https://data.census.gov
10005,New York,40.6223,-73.9097,75.42,30.5,2.51,US Census ACS,2023,https://data.census.gov
10006,New York,40.7455,-74.1688,63.26,42.7,2.44,US Census ACS,2023,https://data.census.gov
10007,New York,40.753,-74.0236,76.39,34.8,2.71,US Census ACS,2023,https://data.census.gov
10008,New York,40.8409,-73.8729,63.21,41.3,2.69,US Census ACS,2023,https://data.census.gov
10009,New York,40.6863,-73.8916,53.49,34.9,2.49,US Census ACS,2023,https://data.census.gov
10010,New York,40.6582,-74.1744,67.83,28.7,2.87,US Census ACS,2023,https://data.census.gov
10011,New York,40.6164,-74.0364,63.18,33.6,2.49,US Census ACS,2023,https://data.census.gov
10012,New York,40.7651,-74.0813,58.7,34.5,2.62,US Census ACS,2023,https://data.census.gov
10013,New York,40.5718,-73.9069,54.16,41.6,2.46,US Census ACS,2023,https://data.census.gov
10014,New York,40.8483,-73.9022,71.53,29.3,2.76,US Census ACS,2023,https://data.census.gov
10015,New York,40.7876,-73.9791,75.48,26.1,2.37,US Census ACS,2023,https://data.census.gov
10016,New York,40.8492,-73.9492,57.35,39.0,2.49,US Census ACS,2023,https://data.census.gov
10017,New York,40.7315,-74.0492,64.81,24.3,2.59,US Census ACS,2023,https://data.census.gov
10018,New York,40.7465,-74.0062,56.03,41.6,2.74,US Census ACS,2023,https://data.census.gov
10019,New York,40.8496,-73.9842,71.67,28.3,2.96,US Census ACS,2023,https://data.census.gov
10020,New York,40.7937,-74.0435,68.19,32.0,2.22,US Census ACS,2023,https://data.census.gov
10021,New York,40.8501,-73.9875,70.19,39.2,2.54,US Census ACS,2023,https://data.census.gov
10022,New York,40.61,-74.0677,57.42,28.3,2.9,US Census ACS,2023,https://data.census.gov
10023,New York,40.6564,-74.081,58.49,25.0,2.24,US Census ACS,2023,https://data.census.gov
10024,New York,40.8034,-74.1215,71.55,23.9,2.07,US Census ACS,2023,https://data.census.gov
10025,New York,40.8144,-73.9565,66.51,29.2,2.68,US Census ACS,2023,https://data.census.gov
10026,New York,40.8152,-74.1239,54.99,24.7,2.61,US Census ACS,2023,https://data.census.gov
10027,New York,40.7701,-73.9228,58.99,43.5,2.79,US Census ACS,2023,https://data.census.gov
10028,New York,40.8363,-73.9296,74.77,34.9,2.74,US Census ACS,2023,https://data.census.gov
10029,New York,40.6248,-74.0618,57.29,38.5,2.66,US Census ACS,2023,https://data.census.gov
10030,New York,40.8296,-74.1136,56.73,25.3,2.41,US Census ACS,2023,https://data.census.gov
10031,New York,40.7547,-73.8801,65.36,28.7,2.27,US Census ACS,2023,https://data.census.gov
10032,New York,40.7883,-74.1199,66.47,32.5,2.47,US Census ACS,2023,https://data.census.gov
10033,New York,40.6653,-73.844,63.57,29.4,2.78,US Census ACS,2023,https://data.census.gov
10034,New York,40.819,-74.1257,57.63,35.1,2.58,US Census ACS,2023,https://data.census.gov
10035,New York,40.841,-73.8655,68.19,42.6,2.14,US Census ACS,2023,https://data.census.gov
10036,New York,40.8428,-74.1198,70.41,25.2,2.6,US Census ACS,2023,https://data.census.gov
10037,New York,40.7695,-73.8682,64.26,34.5,2.3,US Census ACS,2023,https://data.census.gov
10038,New York,40.6597,-74.0256,60.27,26.1,2.6,US Census ACS,2023,https://data.census.gov
10039,New York,40.8624,-74.1386,57.31,36.1,2.88,US Census ACS,2023,https://data.census.gov
10040,New York,40.8485,-74.0837,72.61,35.8,2.45,US Census ACS,2023,https://data.census.gov
10041,New York,40.7061,-73.8581,75.44,33.3,2.29,US Census ACS,2023,https://data.census.gov
10042,New York,40.592,-74.102,74.62,40.0,2.26,US Census ACS,2023,https://data.census.gov
