zip_code,metro,lat,lng,median_household_income,median_wage_growth_yoy_pct,rent_to_income_ratio_pct,pct_cost_burdened_renters,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,95018.32,4.28,62.0,44.79,US Census ACS / BLS,2023,https://data.census.gov
10002,New York,40.7872,-73.9938,95788.79,4.45,47.2,44.75,US Census ACS / BLS,2023,https://data.census.gov
10003,New York,40.8358,-74.1131,91960.05,4.06,37.1,38.88,US Census ACS / BLS,2023,https://data.census.gov
10004,New York,40.5966,-73.9574,70528.53,4.0,43.6,42.51,US Census ACS / BLS,2023,https://data.census.gov
10005,New York,40.6223,-73.9097,75998.58,4.1,49.4,45.13,US Census ACS / BLS,2023,https://data.census.gov
10006,New York,40.7455,-74.1688,82929.88,3.36,51.6,35.28,US Census ACS / BLS,2023,https://data.census.gov
10007,New York,40.753,-74.0236,74900.44,3.15,47.2,41.86,US Census ACS / BLS,2023,https://data.census.gov
10008,New York,40.8409,-73.8729,84674.51,3.17,42.4,39.5,US Census ACS / BLS,2023,https://data.census.gov
10009,New York,40.6863,-73.8916,81200.01,3.15,49.1,32.88,US Census ACS / BLS,2023,https://data.census.gov
10010,New York,40.6582,-74.1744,75791.94,4.01,36.9,36.18,US Census ACS / BLS,2023,https://data.census.gov
10011,New York,40.6164,-74.0364,91779.98,4.01,52.0,41.9,US Census ACS / BLS,2023,https://data.census.gov
10012,New York,40.7651,-74.0813,72745.48,4.16,40.8,38.05,US Census ACS / BLS,2023,https://data.census.gov
10013,New York,40.5718,-73.9069,87295.89,4.32,42.1,44.88,US Census ACS / BLS,2023,https://data.census.gov
10014,New York,40.8483,-73.9022,85108.46,4.34,45.1,40.28,US Census ACS / BLS,2023,https://data.census.gov
10015,New York,40.7876,-73.9791,83499.62,3.64,42.6,43.68,US Census ACS / BLS,2023,https://data.census.gov
10016,New York,40.8492,-73.9492,96331.96,4.22,55.6,42.99,US Census ACS / BLS,2023,https://data.census.gov
10017,New York,40.7315,-74.0492,72364.67,3.64,52.2,44.6,US Census ACS / BLS,2023,https://data.census.gov
10018,New York,40.7465,-74.0062,87042.02,3.87,48.9,32.47,US Census ACS / BLS,2023,https://data.census.gov
10019,New York,40.8496,-73.9842,71420.03,3.51,42.7,34.69,US Census ACS / BLS,2023,https://data.census.gov
10020,New York,40.7937,-74.0435,78188.97,4.44,50.8,39.63,US Census ACS / BLS,2023,https://data.census.gov
10021,New York,40.8501,-73.9875,76893.04,3.29,47.4,37.2,US Census ACS / BLS,2023,https://data.census.gov
10022,New York,40.61,-74.0677,89114.32,3.34,47.9,33.74,US Census ACS / BLS,2023,https://data.census.gov
10023,New York,40.6564,-74.081,70965.42,3.84,45.4,38.58,US Census ACS / BLS,2023,https://data.census.gov
10024,New York,40.8034,-74.1215,84822.11,3.53,40.3,34.92,US Census ACS / BLS,2023,https://data.census.gov
10025,New York,40.8144,-73.9565,73696.02,4.21,42.6,34.16,US Census ACS / BLS,2023,https://data.census.gov
10026,New York,40.8152,-74.1239,90732.02,4.31,46.4,32.0,US Census ACS / BLS,2023,https://data.census.gov
10027,New York,40.7701,-73.9228,78974.2,3.31,43.8,44.28,US Census ACS / BLS,2023,https://data.census.gov
10028,New York,40.8363,-73.9296,70437.02,3.75,48.3,33.79,US Census ACS / BLS,2023,https://data.census.gov
10029,New York,40.6248,-74.0618,76001.54,3.2,55.3,40.42,US Census ACS / BLS,2023,https://data.census.gov
10030,New York,40.8296,-74.1136,70806.02,4.16,42.2,38.33,US Census ACS / BLS,2023,https://data.census.gov
10031,New York,40.7547,-73.8801,75222.21,4.21,47.9,35.75,US Census ACS / BLS,2023,https://data.census.gov
10032,New York,40.7883,-74.1199,72816.33,4.43,45.6,31.64,US Census ACS / BLS,2023,https://data.census.gov
10033,New York,40.6653,-73.844,91679.61,4.45,38.4,35.16,US Census ACS / BLS,2023,https://data.census.gov
10034,New York,40.819,-74.1257,70307.13,3.33,39.8,38.42,US Census ACS / BLS,2023,https://data.census.gov
10035,New York,40.841,-73.8655,75856.89,4.08,43.8,43.68,US Census ACS / BLS,2023,https://data.census.gov
10036,New York,40.8428,-74.1198,79313.68,4.4,46.0,39.77,US Census ACS / BLS,2023,https://data.census.gov
10037,New York,40.7695,-73.8682,95413.89,4.2,39.2,36.27,US Census ACS / BLS,2023,https://data.census.gov
10038,New York,40.6597,-74.0256,71080.55,3.54,40.2,44.01,US Census ACS / BLS,2023,https://data.census.gov
10039,New York,40.8624,-74.1386,80910.71,4.48,35.8,36.4,US Census ACS / BLS,2023,https://data.census.gov
10040,New York,40.8485,-74.0837,95673.66,3.73,50.1,32.14,US Census ACS / BLS,2023,https://data.census.gov
10041,New York,40.7061,-73.8581,90218.37,3.17,47.3,43.14,US Census ACS / BLS,2023,https://data.census.gov
10042,New York,40.592,-74.102,70622.99,3.64,41.3,40.18,US Census ACS / BLS,2023,https://data.census.gov
10043,New York,40.854,-74.0088,73138.1,4.34,47.7,33.89,US Census ACS / BLS,2023,https://data.census.gov
10044,New York,40.6682,-74.0982,96408.71,4.35,46.9,37.21,US Census ACS / BLS,2023,https://data.census.gov
10045,New York,40.8559,-74.1667,92275.91,3.92,41.3,31.95,US Census ACS / BLS,2023,https://data.census.gov
10046,New York,40.7917,-73.9853,71310.81,4.36,45.0,40.32,US Census ACS / BLS,2023,https://data.census.gov
10047,New York,40.7567,-73.9596,75030.33,3.47,45.0,42.34,US Census ACS / BLS,2023,https://data.census.gov
10048,New York,40.7048,-73.9293,81191.15,3.78,47.7,36.08,US Census ACS / BLS,2023,https://data.census.gov
10049,New York,40.8035,-74.1252,87850.86,3.68,38.4,40.29,US Census ACS / BLS,2023,https://data.census.gov
10050,New York,40.6196,-73.9172,90091.43,3.65,45.1,33.28,US Census ACS / BLS,2023,https://data.census.gov
10051,New York,40.643,-73.924,89167.46,4.22,48.0,35.87,US Census ACS / BLS,2023,https://data.census.gov
10052,New York,40.6472,-73.9063,83062.72,3.23,48.1,38.3,US Census ACS / BLS,2023,https://data.census.gov
10053,New York,40.851,-74.0213,92884.02,3.41,44.0,33.0,US Census ACS / BLS,2023,https://data.census.gov
10054,New York,40.6703,-74.059,75753.57,3.35,44.0,36.29,US Census ACS / BLS,2023,https://data.census.gov
10055,New York,40.7919,-73.9193,76338.06,3.5,34.7,32.48,US Census ACS / BLS,2023,https://data.census.gov
10056,New York,40.7687,-74.0027,93418.34,4.04,55.4,41.25,US Census ACS / BLS,2023,https://data.census.gov
10057,New York,40.7865,-73.9435,68411.94,3.62,45.5,39.6,US Census ACS / BLS,2023,https://data.census.gov
10058,New York,40.762,-74.0912,70174.29,3.71,42.5,40.79,US Census ACS / BLS,2023,https://data.census.gov
10059,New York,40.8554,-73.9114,85235.39,3.56,51.2,42.68,US Census ACS / BLS,2023,https://data.census.gov
10060,New York,40.7568,-73.9228,88547.54,3.99,47.9,36.58,US Census ACS / BLS,2023,https://data.census.gov
10061,New York,40.6937,-74.1749,94988.8,4.28,38.6,43.01,US Census ACS / BLS,2023,https://data.census.gov
10062,New York,40.6367,-73.8556,87425.78,3.16,42.8,37.03,US Census ACS / BLS,2023,https://data.census.gov
10063,New York,40.7167,-73.9992,75555.78,4.14,40.0,33.52,US Census ACS / BLS,2023,https://data.census.gov
10064,New York,40.6219,-74.1213,89571.88,4.2,45.8,36.8,US Census ACS / BLS,2023,https://data.census.gov
10065,New York,40.6587,-73.9155,83313.64,3.62,57.2,37.9,US Census ACS / BLS,2023,https://data.census.gov
