zip_code,metro,lat,lng,job_growth_yoy_pct,unemployment_rate_pct,top_growth_sector,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,1.27,4.53,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10002,New York,40.7872,-73.9938,1.38,4.46,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10003,New York,40.8358,-74.1131,1.21,5.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10004,New York,40.5966,-73.9574,1.06,3.96,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10005,New York,40.6223,-73.9097,1.36,4.07,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10006,New York,40.7455,-74.1688,1.38,4.39,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10007,New York,40.753,-74.0236,1.39,4.38,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10008,New York,40.8409,-73.8729,1.39,3.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10009,New York,40.6863,-73.8916,1.01,4.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10010,New York,40.6582,-74.1744,1.33,4.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10011,New York,40.6164,-74.0364,1.05,4.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10012,New York,40.7651,-74.0813,1.24,4.9,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10013,New York,40.5718,-73.9069,1.0,5.15,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10014,New York,40.8483,-73.9022,1.0,3.72,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10015,New York,40.7876,-73.9791,1.41,4.55,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10016,New York,40.8492,-73.9492,1.36,5.3,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10017,New York,40.7315,-74.0492,1.28,4.54,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10018,New York,40.7465,-74.0062,1.16,4.67,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10019,New York,40.8496,-73.9842,1.23,3.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10020,New York,40.7937,-74.0435,1.22,4.03,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10021,New York,40.8501,-73.9875,1.21,4.7,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10022,New York,40.61,-74.0677,1.03,4.54,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10023,New York,40.6564,-74.081,1.16,3.92,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10024,New York,40.8034,-74.1215,1.26,4.62,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10025,New York,40.8144,-73.9565,1.16,4.01,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10026,New York,40.8152,-74.1239,1.37,4.97,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10027,New York,40.7701,-73.9228,1.15,4.54,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10028,New York,40.8363,-73.9296,1.35,3.94,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10029,New York,40.6248,-74.0618,1.27,4.2,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10030,New York,40.8296,-74.1136,1.39,3.86,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10031,New York,40.7547,-73.8801,1.17,4.57,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10032,New York,40.7883,-74.1199,0.99,4.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10033,New York,40.6653,-73.844,1.29,4.4,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10034,New York,40.819,-74.1257,1.12,4.43,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10035,New York,40.841,-73.8655,1.16,4.85,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10036,New York,40.8428,-74.1198,1.13,3.93,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10037,New York,40.7695,-73.8682,0.99,4.78,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10038,New York,40.6597,-74.0256,1.18,5.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10039,New York,40.8624,-74.1386,1.19,5.01,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10040,New York,40.8485,-74.0837,1.16,3.99,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10041,New York,40.7061,-73.8581,1.3,5.31,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10042,New York,40.592,-74.102,1.35,4.7,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10043,New York,40.854,-74.0088,1.34,4.11,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10044,New York,40.6682,-74.0982,1.17,4.55,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10045,New York,40.8559,-74.1667,1.01,3.73,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10046,New York,40.7917,-73.9853,1.17,4.91,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10047,New York,40.7567,-73.9596,1.4,4.04,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10048,New York,40.7048,-73.9293,1.16,4.99,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10049,New York,40.8035,-74.1252,1.4,5.11,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10050,New York,40.6196,-73.9172,1.15,4.34,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10051,New York,40.643,-73.924,1.19,5.25,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10052,New York,40.6472,-73.9063,1.08,3.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10053,New York,40.851,-74.0213,1.12,4.71,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10054,New York,40.6703,-74.059,1.03,4.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10055,New York,40.7919,-73.9193,1.21,4.37,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10056,New York,40.7687,-74.0027,1.25,4.2,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10057,New York,40.7865,-73.9435,1.26,4.78,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10058,New York,40.762,-74.0912,1.18,4.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10059,New York,40.8554,-73.9114,1.13,4.95,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10060,New York,40.7568,-73.9228,1.19,3.93,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10061,New York,40.6937,-74.1749,0.99,4.75,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10062,New York,40.6367,-73.8556,1.06,4.78,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10063,New York,40.7167,-73.9992,1.26,4.52,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10064,New York,40.6219,-74.1213,1.26,3.9,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10065,New York,40.6587,-73.9155,1.2,4.4,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10066,New York,40.8151,-73.837,1.12,4.6,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10067,New York,40.8289,-73.9201,0.99,4.34,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10068,New York,40.6768,-73.9826,1.14,5.17,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10069,New York,40.5917,-73.9744,1.11,3.73,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10070,New York,40.5835,-73.9129,1.01,4.72,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10071,New York,40.5696,-73.881,1.16,4.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10072,New York,40.6973,-73.8572,1.41,4.24,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10073,New York,40.6683,-73.8412,1.13,3.87,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10074,New York,40.6544,-73.9861,1.15,4.83,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10075,New York,40.8282,-73.9756,1.12,4.67,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10076,New York,40.5789,-73.8746,1.26,4.46,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10077,New York,40.8013,-73.9942,1.37,3.82,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
