zip_code,metro,lat,lng,pct_age_25_34,pct_age_18_34,college_educated_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,12.8,21.2,33.27,US Census ACS,2023,https://data.census.gov
10002,New York,40.7872,-73.9938,14.65,24.36,33.22,US Census ACS,2023,https://data.census.gov
10003,New York,40.8358,-74.1131,11.79,22.63,40.68,US Census ACS,2023,https://data.census.gov
10004,New York,40.5966,-73.9574,12.99,20.96,42.64,US Census ACS,2023,https://data.census.gov
10005,New York,40.6223,-73.9097,13.42,21.79,32.0,US Census ACS,2023,https://data.census.gov
10006,New York,40.7455,-74.1688,14.42,18.85,40.52,US Census ACS,2023,https://data.census.gov
10007,New York,40.753,-74.0236,16.43,21.64,44.42,US Census ACS,2023,https://data.census.gov
10008,New York,40.8409,-73.8729,16.67,18.76,36.85,US Census ACS,2023,https://data.census.gov
10009,New York,40.6863,-73.8916,16.19,18.49,37.79,US Census ACS,2023,https://data.census.gov
10010,New York,40.6582,-74.1744,12.79,24.61,31.75,US Census ACS,2023,https://data.census.gov
10011,New York,40.6164,-74.0364,11.71,20.94,38.5,US Census ACS,2023,https://data.census.gov
10012,New York,40.7651,-74.0813,14.81,24.51,40.86,US Census ACS,2023,https://data.census.gov
10013,New York,40.5718,-73.9069,13.88,24.33,37.98,US Census ACS,2023,https://data.census.gov
10014,New York,40.8483,-73.9022,13.87,20.99,34.27,US Census ACS,2023,https://data.census.gov
10015,New York,40.7876,-73.9791,16.4,22.79,42.73,US Census ACS,2023,https://data.census.gov
10016,New York,40.8492,-73.9492,12.57,23.38,35.88,US Census ACS,2023,https://data.census.gov
10017,New York,40.7315,-74.0492,14.9,20.57,32.69,US Census ACS,2023,https://data.census.gov
10018,New York,40.7465,-74.0062,15.07,25.98,38.26,US Census ACS,2023,https://data.census.gov
10019,New York,40.8496,-73.9842,12.95,26.34,38.64,US Census ACS,2023,https://data.census.gov
10020,New York,40.7937,-74.0435,12.34,20.67,44.42,US Census ACS,2023,https://data.census.gov
10021,New York,40.8501,-73.9875,14.57,25.05,37.61,US Census ACS,2023,https://data.census.gov
10022,New York,40.61,-74.0677,14.92,19.58,42.48,US Census ACS,2023,https://data.census.gov
10023,New York,40.6564,-74.081,16.13,22.7,35.95,US Census ACS,2023,https://data.census.gov
10024,New York,40.8034,-74.1215,12.58,18.93,40.04,US Census ACS,2023,https://data.census.gov
10025,New York,40.8144,-73.9565,15.48,25.71,34.16,US Census ACS,2023,https://data.census.gov
10026,New York,40.8152,-74.1239,11.98,25.82,37.24,US Census ACS,2023,https://data.census.gov
10027,New York,40.7701,-73.9228,12.16,22.78,43.72,US Census ACS,2023,https://data.census.gov
10028,New York,40.8363,-73.9296,13.45,20.63,32.32,US Census ACS,2023,https://data.census.gov
10029,New York,40.6248,-74.0618,12.83,21.69,39.05,US Census ACS,2023,https://data.census.gov
10030,New York,40.8296,-74.1136,11.83,21.5,34.64,US Census ACS,2023,https://data.census.gov
10031,New York,40.7547,-73.8801,14.26,20.96,40.89,US Census ACS,2023,https://data.census.gov
10032,New York,40.7883,-74.1199,15.95,21.17,40.45,US Census ACS,2023,https://data.census.gov
10033,New York,40.6653,-73.844,16.49,21.21,35.82,US Census ACS,2023,https://data.census.gov
10034,New York,40.819,-74.1257,14.55,25.13,36.12,US Census ACS,2023,https://data.census.gov
10035,New York,40.841,-73.8655,16.34,24.42,36.52,US Census ACS,2023,https://data.census.gov
10036,New York,40.8428,-74.1198,12.06,24.58,32.22,US Census ACS,2023,https://data.census.gov
10037,New York,40.7695,-73.8682,14.59,22.48,37.09,US Census ACS,2023,https://data.census.gov
10038,New York,40.6597,-74.0256,12.41,21.13,40.2,US Census ACS,2023,https://data.census.gov
10039,New York,40.8624,-74.1386,12.4,19.51,36.21,US Census ACS,2023,https://data.census.gov
10040,New York,40.8485,-74.0837,14.8,25.96,37.39,US Census ACS,2023,https://data.census.gov
10041,New York,40.7061,-73.8581,12.78,21.75,39.45,US Census ACS,2023,https://data.census.gov
10042,New York,40.592,-74.102,13.68,22.54,45.12,US Census ACS,2023,https://data.census.gov
10043,New York,40.854,-74.0088,15.15,26.32,41.12,US Census ACS,2023,https://data.census.gov
10044,New York,40.6682,-74.0982,13.61,21.57,36.23,US Census ACS,2023,https://data.census.gov
10045,New York,40.8559,-74.1667,15.38,22.38,41.89,US Census ACS,2023,https://data.census.gov
10046,New York,40.7917,-73.9853,15.86,21.97,44.39,US Census ACS,2023,https://data.census.gov
10047,New York,40.7567,-73.9596,15.84,21.15,41.93,US Census ACS,2023,https://data.census.gov
10048,New York,40.7048,-73.9293,12.95,25.46,31.76,US Census ACS,2023,https://data.census.gov
10049,New York,40.8035,-74.1252,16.16,19.91,32.17,US Census ACS,2023,https://data.census.gov
10050,New York,40.6196,-73.9172,13.84,18.89,34.95,US Census ACS,2023,https://data.census.gov
10051,New York,40.643,-73.924,14.68,23.14,45.13,US Census ACS,2023,https://data.census.gov
10052,New York,40.6472,-73.9063,15.67,25.08,39.14,US Census ACS,2023,https://data.census.gov
10053,New York,40.851,-74.0213,12.6,23.19,32.02,US Census ACS,2023,https://data.census.gov
10054,New York,40.6703,-74.059,14.33,24.64,37.17,US Census ACS,2023,https://data.census.gov
10055,New York,40.7919,-73.9193,14.51,24.51,38.33,US Census ACS,2023,https://data.census.gov
10056,New York,40.7687,-74.0027,15.99,25.11,37.23,US Census ACS,2023,https://data.census.gov
10057,New York,40.7865,-73.9435,14.3,18.63,35.39,US Census ACS,2023,https://data.census.gov
10058,New York,40.762,-74.0912,14.04,21.71,38.0,US Census ACS,2023,https://data.census.gov
10059,New York,40.8554,-73.9114,13.46,24.87,31.98,US Census ACS,2023,https://data.census.gov
10060,New York,40.7568,-73.9228,15.37,25.28,32.23,US Census ACS,2023,https://data.census.gov
10061,New York,40.6937,-74.1749,15.1,20.43,33.19,US Census ACS,2023,https://data.census.gov
10062,New York,40.6367,-73.8556,14.52,23.71,45.13,US Census ACS,2023,https://data.census.gov
10063,New York,40.7167,-73.9992,15.96,24.87,37.95,US Census ACS,2023,https://data.census.gov
10064,New York,40.6219,-74.1213,15.14,23.67,40.48,US Census ACS,2023,https://data.census.gov
10065,New York,40.6587,-73.9155,16.12,21.13,45.13,US Census ACS,2023,https://data.census.gov
10066,New York,40.8151,-73.837,13.17,26.54,44.67,US Census ACS,2023,https://data.census.gov
10067,New York,40.8289,-73.9201,14.2,22.49,31.81,US Census ACS,2023,https://data.census.gov
10068,New York,40.6768,-73.9826,16.62,19.84,41.94,US Census ACS,2023,https://data.census.gov
10069,New York,40.5917,-73.9744,15.56,24.42,35.28,US Census ACS,2023,https://data.census.gov
10070,New York,40.5835,-73.9129,16.54,21.88,33.6,US Census ACS,2023,https://data.census.gov
10071,New York,40.5696,-73.881,16.11,19.11,33.84,US Census ACS,2023,https://data.census.gov
10072,New York,40.6973,-73.8572,12.19,21.22,39.79,US Census ACS,2023,https://data.census.gov
10073,New York,40.6683,-73.8412,15.09,21.24,42.98,US Census ACS,2023,https://data.census.gov
10074,New York,40.6544,-73.9861,15.81,18.82,37.58,US Census ACS,2023,https://data.census.gov
10075,New York,40.8282,-73.9756,13.55,22.88,32.95,US Census ACS,2023,https://data.census.gov
10076,New York,40.5789,-73.8746,14.13,24.62,44.05,US Census ACS,2023,https://data.census.gov
10077,New York,40.8013,-73.9942,13.25,22.38,36.98,US Census ACS,2023,https://data.census.gov
10078,New York,40.7908,-74.0033,15.2,23.49,35.12,US Census ACS,2023,https://data.census.gov
10079,New York,40.5863,-74.0558,15.06,23.06,39.3,US Census ACS,2023,https://data.census.gov
10080,New York,40.6942,-74.0887,11.78,19.83,43.46,US Census ACS,2023,https://data.census.gov
90001,Los Angeles,34.1214,-118.2314,13.47,20.94,37.65,US Census ACS,2023,https://data.census.gov
90002,Los Angeles,34.0392,-118.3354,15.39,22.36,38.26,US Census ACS,2023,https://data.census.gov
