zip_code,metro,lat,lng,price_per_unit,price_per_unit_class_a,price_per_unit_class_b,price_per_unit_yoy_chg_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,541447.68,629151.0,470955.0,-4.93,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10002,New York,40.7872,-73.9938,529939.2,635520.0,436547.0,-4.39,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10003,New York,40.8358,-74.1131,566140.8,619167.0,400268.0,-4.45,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10004,New York,40.5966,-73.9574,394412.16,685768.0,485352.0,-4.5,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10005,New York,40.6223,-73.9097,516529.92,635310.0,508383.0,-4.68,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10006,New York,40.7455,-74.1688,455272.32,547573.0,434659.0,-4.61,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10007,New York,40.753,-74.0236,490005.12,631227.0,429373.0,-4.64,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10008,New York,40.8409,-73.8729,400978.56,741265.0,490720.0,-4.01,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10009,New York,40.6863,-73.8916,431633.28,579462.0,410462.0,-4.4,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10010,New York,40.6582,-74.1744,500511.36,656958.0,420673.0,-4.45,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10011,New York,40.6164,-74.0364,431857.92,730021.0,380634.0,-3.96,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10012,New York,40.7651,-74.0813,432410.88,733987.0,461696.0,-4.25,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10013,New York,40.5718,-73.9069,550571.52,622479.0,378533.0,-4.59,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10014,New York,40.8483,-73.9022,410154.24,573840.0,445051.0,-4.73,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
