zip_code,metro,lat,lng,gross_rent_multiplier,grm_class_a,grm_class_b,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,16.54,23.5,18.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10002,New York,40.7872,-73.9938,16.44,22.0,14.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10003,New York,40.8358,-74.1131,16.82,18.6,20.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10004,New York,40.5966,-73.9574,19.88,25.6,15.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10005,New York,40.6223,-73.9097,16.24,24.1,20.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10006,New York,40.7455,-74.1688,17.63,19.3,18.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10007,New York,40.753,-74.0236,16.17,23.4,20.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10008,New York,40.8409,-73.8729,15.45,22.1,19.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10009,New York,40.6863,-73.8916,19.02,24.7,17.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10010,New York,40.6582,-74.1744,16.44,21.1,16.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10011,New York,40.6164,-74.0364,15.35,22.4,15.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10012,New York,40.7651,-74.0813,18.4,18.7,14.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10013,New York,40.5718,-73.9069,20.62,22.3,15.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10014,New York,40.8483,-73.9022,18.01,25.7,14.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10015,New York,40.7876,-73.9791,19.23,24.3,18.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10016,New York,40.8492,-73.9492,19.92,22.5,17.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10017,New York,40.7315,-74.0492,21.09,20.0,15.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10018,New York,40.7465,-74.0062,20.49,25.4,16.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10019,New York,40.8496,-73.9842,18.03,24.6,15.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10020,New York,40.7937,-74.0435,20.05,21.3,17.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10021,New York,40.8501,-73.9875,17.3,25.6,18.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
