zip_code,metro,lat,lng,transaction_volume_12mo_usd,volume_yoy_chg_pct,cap_rate_trailing_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,702778650.0,-28.81,4.16,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10002,New York,40.7872,-73.9938,720810600.0,-27.35,4.01,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10003,New York,40.8358,-74.1131,607411950.0,-26.99,4.88,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10004,New York,40.5966,-73.9574,750359400.0,-25.45,4.67,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10005,New York,40.6223,-73.9097,795169950.0,-24.15,4.21,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10006,New York,40.7455,-74.1688,735790200.0,-22.66,4.72,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10007,New York,40.753,-74.0236,692518650.0,-27.9,4.57,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10008,New York,40.8409,-73.8729,748127850.0,-27.72,4.22,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10009,New York,40.6863,-73.8916,826745100.0,-24.42,4.44,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10010,New York,40.6582,-74.1744,773572650.0,-22.31,5.15,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10011,New York,40.6164,-74.0364,755438100.0,-22.63,4.22,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10012,New York,40.7651,-74.0813,749743800.0,-28.88,5.24,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10013,New York,40.5718,-73.9069,725478900.0,-22.16,4.76,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10014,New York,40.8483,-73.9022,591355050.0,-25.9,4.06,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10015,New York,40.7876,-73.9791,682951200.0,-26.15,4.51,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10016,New York,40.8492,-73.9492,726479250.0,-21.17,5.08,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10017,New York,40.7315,-74.0492,806430300.0,-22.58,4.39,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10018,New York,40.7465,-74.0062,675358800.0,-29.17,5.07,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10019,New York,40.8496,-73.9842,724145100.0,-21.92,4.15,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10020,New York,40.7937,-74.0435,632728500.0,-24.57,4.37,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10021,New York,40.8501,-73.9875,690133200.0,-23.6,4.52,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10022,New York,40.61,-74.0677,695699250.0,-29.4,4.19,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10023,New York,40.6564,-74.081,683130750.0,-23.17,4.94,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10024,New York,40.8034,-74.1215,677769900.0,-22.41,4.65,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10025,New York,40.8144,-73.9565,638884500.0,-29.71,4.85,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10026,New York,40.8152,-74.1239,763800000.0,-26.98,5.5,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10027,New York,40.7701,-73.9228,809559600.0,-30.43,4.52,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10028,New York,40.8363,-73.9296,736046700.0,-26.12,5.49,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10029,New York,40.6248,-74.0618,629907000.0,-25.5,3.94,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10030,New York,40.8296,-74.1136,670716150.0,-30.22,4.27,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10031,New York,40.7547,-73.8801,624340950.0,-27.67,5.56,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10032,New York,40.7883,-74.1199,646323000.0,-30.13,5.47,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
10033,New York,40.6653,-73.844,704676750.0,-26.24,4.86,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
