zip_code,metro,lat,lng,rent_control_status,regulatory_risk_score,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10002,New York,40.7872,-73.9938,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10003,New York,40.8358,-74.1131,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10004,New York,40.5966,-73.9574,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10005,New York,40.6223,-73.9097,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10006,New York,40.7455,-74.1688,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10007,New York,40.753,-74.0236,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10008,New York,40.8409,-73.8729,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10009,New York,40.6863,-73.8916,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10010,New York,40.6582,-74.1744,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10011,New York,40.6164,-74.0364,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10012,New York,40.7651,-74.0813,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10013,New York,40.5718,-73.9069,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10014,New York,40.8483,-73.9022,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10015,New York,40.7876,-73.9791,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10016,New York,40.8492,-73.9492,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10017,New York,40.7315,-74.0492,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10018,New York,40.7465,-74.0062,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10019,New York,40.8496,-73.9842,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10020,New York,40.7937,-74.0435,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10021,New York,40.8501,-73.9875,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10022,New York,40.61,-74.0677,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10023,New York,40.6564,-74.081,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10024,New York,40.8034,-74.1215,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10025,New York,40.8144,-73.9565,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10026,New York,40.8152,-74.1239,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10027,New York,40.7701,-73.9228,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10028,New York,40.8363,-73.9296,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10029,New York,40.6248,-74.0618,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10030,New York,40.8296,-74.1136,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10031,New York,40.7547,-73.8801,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10032,New York,40.7883,-74.1199,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10033,New York,40.6653,-73.844,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10034,New York,40.819,-74.1257,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10035,New York,40.841,-73.8655,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10036,New York,40.8428,-74.1198,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10037,New York,40.7695,-73.8682,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10038,New York,40.6597,-74.0256,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10039,New York,40.8624,-74.1386,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10040,New York,40.8485,-74.0837,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10041,New York,40.7061,-73.8581,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10042,New York,40.592,-74.102,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10043,New York,40.854,-74.0088,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10044,New York,40.6682,-74.0982,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10045,New York,40.8559,-74.1667,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10046,New York,40.7917,-73.9853,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10047,New York,40.7567,-73.9596,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10048,New York,40.7048,-73.9293,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10049,New York,40.8035,-74.1252,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10050,New York,40.6196,-73.9172,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10051,New York,40.643,-73.924,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10052,New York,40.6472,-73.9063,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10053,New York,40.851,-74.0213,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10054,New York,40.6703,-74.059,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10055,New York,40.7919,-73.9193,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10056,New York,40.7687,-74.0027,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10057,New York,40.7865,-73.9435,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10058,New York,40.762,-74.0912,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10059,New York,40.8554,-73.9114,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10060,New York,40.7568,-73.9228,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10061,New York,40.6937,-74.1749,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10062,New York,40.6367,-73.8556,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10063,New York,40.7167,-73.9992,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10064,New York,40.6219,-74.1213,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10065,New York,40.6587,-73.9155,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10066,New York,40.8151,-73.837,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10067,New York,40.8289,-73.9201,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10068,New York,40.6768,-73.9826,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
10069,New York,40.5917,-73.9744,Yes - Strong,9,NMHC/Local Jurisdiction,2025,https://www.nmhc.org/research-insight/rent-control-tracker/
