zip_code,metro,lat,lng,eviction_filing_rate_per_1000,avg_days_to_eviction,landlord_friendly_score_1_10,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,17.6,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10002,New York,40.7872,-73.9938,17.66,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10003,New York,40.8358,-74.1131,17.35,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
10004,New York,40.5966,-73.9574,18.56,88,4,Princeton Eviction Lab,2025,https://evictionlab.org
10005,New York,40.6223,-73.9097,20.03,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10006,New York,40.7455,-74.1688,16.45,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
10007,New York,40.753,-74.0236,19.35,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
10008,New York,40.8409,-73.8729,15.97,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
10009,New York,40.6863,-73.8916,21.73,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
10010,New York,40.6582,-74.1744,16.89,75,4,Princeton Eviction Lab,2025,https://evictionlab.org
10011,New York,40.6164,-74.0364,21.53,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
10012,New York,40.7651,-74.0813,19.66,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
10013,New York,40.5718,-73.9069,16.21,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
10014,New York,40.8483,-73.9022,19.41,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
10015,New York,40.7876,-73.9791,20.69,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
10016,New York,40.8492,-73.9492,15.62,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
10017,New York,40.7315,-74.0492,16.52,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
10018,New York,40.7465,-74.0062,19.16,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
10019,New York,40.8496,-73.9842,18.44,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
10020,New York,40.7937,-74.0435,18.05,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
10021,New York,40.8501,-73.9875,19.63,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
10022,New York,40.61,-74.0677,15.32,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
10023,New York,40.6564,-74.081,17.79,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
10024,New York,40.8034,-74.1215,20.14,75,4,Princeton Eviction Lab,2025,https://evictionlab.org
10025,New York,40.8144,-73.9565,18.36,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
10026,New York,40.8152,-74.1239,20.06,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
10027,New York,40.7701,-73.9228,21.4,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
10028,New York,40.8363,-73.9296,18.29,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
10029,New York,40.6248,-74.0618,16.05,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10030,New York,40.8296,-74.1136,16.21,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
10031,New York,40.7547,-73.8801,19.41,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10032,New York,40.7883,-74.1199,17.53,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
10033,New York,40.6653,-73.844,15.83,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
10034,New York,40.819,-74.1257,18.69,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
10035,New York,40.841,-73.8655,17.83,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
10036,New York,40.8428,-74.1198,17.33,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10037,New York,40.7695,-73.8682,18.17,86,4,Princeton Eviction Lab,2025,https://evictionlab.org
10038,New York,40.6597,-74.0256,20.89,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
10039,New York,40.8624,-74.1386,20.66,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
10040,New York,40.8485,-74.0837,15.32,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
10041,New York,40.7061,-73.8581,18.34,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
10042,New York,40.592,-74.102,19.46,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
10043,New York,40.854,-74.0088,17.99,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
10044,New York,40.6682,-74.0982,17.0,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
10045,New York,40.8559,-74.1667,16.7,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
10046,New York,40.7917,-73.9853,17.07,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
10047,New York,40.7567,-73.9596,20.95,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
10048,New York,40.7048,-73.9293,19.52,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
10049,New York,40.8035,-74.1252,20.29,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
10050,New York,40.6196,-73.9172,20.79,74,4,Princeton Eviction Lab,2025,https://evictionlab.org
10051,New York,40.643,-73.924,20.21,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
10052,New York,40.6472,-73.9063,21.63,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
10053,New York,40.851,-74.0213,21.48,100,4,Princeton Eviction Lab,2025,https://evictionlab.org
10054,New York,40.6703,-74.059,20.7,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
10055,New York,40.7919,-73.9193,19.18,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
10056,New York,40.7687,-74.0027,18.51,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
10057,New York,40.7865,-73.9435,18.79,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
10058,New York,40.762,-74.0912,19.77,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
10059,New York,40.8554,-73.9114,19.47,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
10060,New York,40.7568,-73.9228,18.62,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
10061,New York,40.6937,-74.1749,17.11,88,4,Princeton Eviction Lab,2025,https://evictionlab.org
10062,New York,40.6367,-73.8556,15.41,78,4,Princeton Eviction Lab,2025,https://evictionlab.org
10063,New York,40.7167,-73.9992,19.06,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
10064,New York,40.6219,-74.1213,15.29,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
10065,New York,40.6587,-73.9155,21.81,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
10066,New York,40.8151,-73.837,21.25,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
10067,New York,40.8289,-73.9201,19.18,88,4,Princeton Eviction Lab,2025,https://evictionlab.org
10068,New York,40.6768,-73.9826,19.96,74,4,Princeton Eviction Lab,2025,https://evictionlab.org
10069,New York,40.5917,-73.9744,21.18,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
10070,New York,40.5835,-73.9129,15.86,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
10071,New York,40.5696,-73.881,17.51,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
10072,New York,40.6973,-73.8572,18.08,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
10073,New York,40.6683,-73.8412,16.33,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
10074,New York,40.6544,-73.9861,15.76,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
10075,New York,40.8282,-73.9756,17.66,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
10076,New York,40.5789,-73.8746,19.37,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
10077,New York,40.8013,-73.9942,19.2,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
10078,New York,40.7908,-74.0033,18.19,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
10079,New York,40.5863,-74.0558,18.49,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
10080,New York,40.6942,-74.0887,16.04,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
90001,Los Angeles,34.1214,-118.2314,16.56,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
90002,Los Angeles,34.0392,-118.3354,21.82,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
90003,Los Angeles,33.9029,-118.243,16.23,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
90004,Los Angeles,34.1509,-118.1387,20.66,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
90005,Los Angeles,33.9751,-118.415,20.81,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
90006,Los Angeles,33.999,-118.3099,20.07,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
90007,Los Angeles,34.0868,-118.1844,20.18,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
90008,Los Angeles,34.0856,-118.2297,20.89,94,4,Princeton Eviction Lab,2025,https://evictionlab.org
90009,Los Angeles,34.1576,-118.2875,19.43,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90010,Los Angeles,33.948,-118.2617,16.89,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
90011,Los Angeles,34.161,-118.072,15.72,94,4,Princeton Eviction Lab,2025,https://evictionlab.org
90012,Los Angeles,34.0257,-118.3151,19.87,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
90013,Los Angeles,34.0993,-118.269,15.59,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
90014,Los Angeles,33.9242,-118.2933,20.17,100,4,Princeton Eviction Lab,2025,https://evictionlab.org
90015,Los Angeles,34.1921,-118.1397,19.54,89,4,Princeton Eviction Lab,2025,https://evictionlab.org
90016,Los Angeles,34.1713,-118.2349,17.27,73,4,Princeton Eviction Lab,2025,https://evictionlab.org
90017,Los Angeles,34.1716,-118.1116,20.97,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
90018,Los Angeles,33.9229,-118.1455,15.65,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
90019,Los Angeles,33.9689,-118.1972,17.93,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
90020,Los Angeles,33.9238,-118.0834,19.47,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90021,Los Angeles,34.1068,-118.1598,18.38,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
90022,Los Angeles,34.0847,-118.1458,19.93,75,4,Princeton Eviction Lab,2025,https://evictionlab.org
90023,Los Angeles,34.1212,-118.3214,19.15,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
90024,Los Angeles,33.9381,-118.3817,17.38,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
90025,Los Angeles,34.1683,-118.421,16.91,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
90026,Los Angeles,34.018,-118.0865,18.55,73,4,Princeton Eviction Lab,2025,https://evictionlab.org
90027,Los Angeles,34.0829,-118.2324,15.19,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
90028,Los Angeles,34.0628,-118.3854,16.61,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
90029,Los Angeles,33.9948,-118.3634,21.43,75,4,Princeton Eviction Lab,2025,https://evictionlab.org
90030,Los Angeles,33.9549,-118.1002,20.45,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
90031,Los Angeles,34.0853,-118.1248,15.38,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
90032,Los Angeles,34.0964,-118.3443,17.9,92,4,Princeton Eviction Lab,2025,https://evictionlab.org
90033,Los Angeles,34.0182,-118.3844,21.19,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
90034,Los Angeles,33.9229,-118.1975,16.81,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90035,Los Angeles,34.1844,-118.1729,17.26,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
90036,Los Angeles,34.0083,-118.1578,16.49,73,4,Princeton Eviction Lab,2025,https://evictionlab.org
90037,Los Angeles,33.9468,-118.3693,18.3,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
90038,Los Angeles,34.0832,-118.4076,21.3,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90039,Los Angeles,33.9634,-118.0968,21.38,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
90040,Los Angeles,34.1224,-118.2212,17.04,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
90041,Los Angeles,34.1348,-118.2771,15.39,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
90042,Los Angeles,34.0297,-118.2394,15.54,89,4,Princeton Eviction Lab,2025,https://evictionlab.org
90043,Los Angeles,34.1872,-118.1309,17.0,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
90044,Los Angeles,34.0132,-118.1634,21.41,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
90045,Los Angeles,34.1026,-118.1199,19.51,100,4,Princeton Eviction Lab,2025,https://evictionlab.org
90046,Los Angeles,33.9073,-118.1468,21.07,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
90047,Los Angeles,34.1758,-118.0821,19.33,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
90048,Los Angeles,34.1469,-118.2681,19.95,89,4,Princeton Eviction Lab,2025,https://evictionlab.org
90049,Los Angeles,34.0295,-118.4192,16.95,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
90050,Los Angeles,34.0881,-118.0957,19.3,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
90051,Los Angeles,34.0655,-118.4031,21.7,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
90052,Los Angeles,34.0743,-118.1046,21.64,85,4,Princeton Eviction Lab,2025,https://evictionlab.org
90053,Los Angeles,33.9527,-118.2702,20.99,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
90054,Los Angeles,34.0598,-118.2157,16.83,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
