zip_code,metro,lat,lng,primary_hazard,hazard_severity,composite_hazard_score_1_10,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,Low,Low,3.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10002,New York,40.7872,-73.9938,Low,Low,3.5,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10003,New York,40.8358,-74.1131,Low,Low,3.4,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10004,New York,40.5966,-73.9574,Low,Low,3.18,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10005,New York,40.6223,-73.9097,Low,Low,3.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10006,New York,40.7455,-74.1688,Low,Low,3.77,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10007,New York,40.753,-74.0236,Low,Low,3.83,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10008,New York,40.8409,-73.8729,Low,Low,4.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10009,New York,40.6863,-73.8916,Low,Low,3.75,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10010,New York,40.6582,-74.1744,Low,Low,3.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10011,New York,40.6164,-74.0364,Low,Low,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10012,New York,40.7651,-74.0813,Low,Low,3.75,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10013,New York,40.5718,-73.9069,Low,Low,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10014,New York,40.8483,-73.9022,Low,Low,3.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10015,New York,40.7876,-73.9791,Low,Low,4.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10016,New York,40.8492,-73.9492,Low,Low,3.2,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10017,New York,40.7315,-74.0492,Low,Low,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10018,New York,40.7465,-74.0062,Low,Low,3.95,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10019,New York,40.8496,-73.9842,Low,Low,2.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10020,New York,40.7937,-74.0435,Low,Low,3.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10021,New York,40.8501,-73.9875,Low,Low,3.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10022,New York,40.61,-74.0677,Low,Low,3.19,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10023,New York,40.6564,-74.081,Low,Low,3.28,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10024,New York,40.8034,-74.1215,Low,Low,3.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10025,New York,40.8144,-73.9565,Low,Low,3.12,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10026,New York,40.8152,-74.1239,Low,Low,3.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10027,New York,40.7701,-73.9228,Low,Low,2.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10028,New York,40.8363,-73.9296,Low,Low,3.09,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10029,New York,40.6248,-74.0618,Low,Low,2.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10030,New York,40.8296,-74.1136,Low,Low,4.01,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10031,New York,40.7547,-73.8801,Low,Low,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10032,New York,40.7883,-74.1199,Low,Low,3.44,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10033,New York,40.6653,-73.844,Low,Low,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10034,New York,40.819,-74.1257,Low,Low,3.82,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10035,New York,40.841,-73.8655,Low,Low,4.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10036,New York,40.8428,-74.1198,Low,Low,3.88,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10037,New York,40.7695,-73.8682,Low,Low,4.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10038,New York,40.6597,-74.0256,Low,Low,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10039,New York,40.8624,-74.1386,Low,Low,3.64,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10040,New York,40.8485,-74.0837,Low,Low,3.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10041,New York,40.7061,-73.8581,Low,Low,3.13,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10042,New York,40.592,-74.102,Low,Low,3.86,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10043,New York,40.854,-74.0088,Low,Low,2.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10044,New York,40.6682,-74.0982,Low,Low,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10045,New York,40.8559,-74.1667,Low,Low,2.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10046,New York,40.7917,-73.9853,Low,Low,3.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10047,New York,40.7567,-73.9596,Low,Low,3.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10048,New York,40.7048,-73.9293,Low,Low,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10049,New York,40.8035,-74.1252,Low,Low,3.57,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
