zip_code,metro,lat,lng,insurance_cost_pct_of_ebi,avg_annual_premium_per_unit,premium_yoy_chg_pct,carrier_availability,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,1.05,1224.0,16.95,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10002,New York,40.7872,-73.9938,0.94,1230.0,20.06,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10003,New York,40.8358,-74.1131,0.85,1342.0,20.54,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10004,New York,40.5966,-73.9574,0.86,1130.0,20.63,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10005,New York,40.6223,-73.9097,0.87,1000.0,16.61,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10006,New York,40.7455,-74.1688,0.85,1316.0,15.84,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10007,New York,40.753,-74.0236,1.02,1151.0,21.52,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10008,New York,40.8409,-73.8729,0.96,1264.0,15.99,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10009,New York,40.6863,-73.8916,0.87,1216.0,15.35,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10010,New York,40.6582,-74.1744,1.06,947.0,16.08,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10011,New York,40.6164,-74.0364,0.86,1061.0,18.03,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10012,New York,40.7651,-74.0813,0.93,1055.0,16.66,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10013,New York,40.5718,-73.9069,1.07,966.0,17.65,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10014,New York,40.8483,-73.9022,1.04,1274.0,19.02,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10015,New York,40.7876,-73.9791,1.1,1179.0,21.22,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10016,New York,40.8492,-73.9492,0.88,982.0,19.45,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10017,New York,40.7315,-74.0492,1.03,1254.0,21.07,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10018,New York,40.7465,-74.0062,0.95,1002.0,16.73,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10019,New York,40.8496,-73.9842,0.93,1014.0,19.86,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
