zip_code,metro,lat,lng,cap_rate_pct,cap_rate_class_a_pct,cap_rate_class_b_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,4.83,3.76,4.55,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10002,New York,40.7872,-73.9938,5.08,5.15,4.45,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10003,New York,40.8358,-74.1131,4.38,5.02,5.21,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10004,New York,40.5966,-73.9574,5.36,3.87,5.01,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10005,New York,40.6223,-73.9097,4.15,4.94,5.7,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10006,New York,40.7455,-74.1688,5.63,4.1,4.22,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10007,New York,40.753,-74.0236,5.54,4.64,5.88,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10008,New York,40.8409,-73.8729,3.95,4.01,4.38,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10009,New York,40.6863,-73.8916,4.44,3.99,4.97,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10010,New York,40.6582,-74.1744,4.51,3.75,5.79,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10011,New York,40.6164,-74.0364,4.06,5.03,5.82,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10012,New York,40.7651,-74.0813,4.72,4.74,4.2,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10013,New York,40.5718,-73.9069,5.18,4.57,4.77,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10014,New York,40.8483,-73.9022,4.71,4.42,5.38,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10015,New York,40.7876,-73.9791,5.63,4.96,5.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10016,New York,40.8492,-73.9492,4.03,5.09,5.84,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10017,New York,40.7315,-74.0492,4.15,4.78,4.66,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
