zip_code,metro,lat,lng,avg_entitlement_months,zoning_friendly_score_1_10,impact_fee_per_unit,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,20,4,8183,NMHC/Local Planning,2025,https://www.nmhc.org
10002,New York,40.7872,-73.9938,19,4,8387,NMHC/Local Planning,2025,https://www.nmhc.org
10003,New York,40.8358,-74.1131,20,4,8397,NMHC/Local Planning,2025,https://www.nmhc.org
10004,New York,40.5966,-73.9574,18,4,8673,NMHC/Local Planning,2025,https://www.nmhc.org
10005,New York,40.6223,-73.9097,21,4,7791,NMHC/Local Planning,2025,https://www.nmhc.org
10006,New York,40.7455,-74.1688,14,4,8598,NMHC/Local Planning,2025,https://www.nmhc.org
10007,New York,40.753,-74.0236,15,4,8390,NMHC/Local Planning,2025,https://www.nmhc.org
10008,New York,40.8409,-73.8729,20,4,8613,NMHC/Local Planning,2025,https://www.nmhc.org
10009,New York,40.6863,-73.8916,16,4,9668,NMHC/Local Planning,2025,https://www.nmhc.org
10010,New York,40.6582,-74.1744,18,4,9964,NMHC/Local Planning,2025,https://www.nmhc.org
10011,New York,40.6164,-74.0364,14,4,7087,NMHC/Local Planning,2025,https://www.nmhc.org
10012,New York,40.7651,-74.0813,15,4,9454,NMHC/Local Planning,2025,https://www.nmhc.org
10013,New York,40.5718,-73.9069,20,4,8061,NMHC/Local Planning,2025,https://www.nmhc.org
10014,New York,40.8483,-73.9022,20,4,7060,NMHC/Local Planning,2025,https://www.nmhc.org
10015,New York,40.7876,-73.9791,16,4,9458,NMHC/Local Planning,2025,https://www.nmhc.org
10016,New York,40.8492,-73.9492,16,4,8400,NMHC/Local Planning,2025,https://www.nmhc.org
10017,New York,40.7315,-74.0492,15,4,8381,NMHC/Local Planning,2025,https://www.nmhc.org
10018,New York,40.7465,-74.0062,19,4,7629,NMHC/Local Planning,2025,https://www.nmhc.org
10019,New York,40.8496,-73.9842,19,4,9467,NMHC/Local Planning,2025,https://www.nmhc.org
10020,New York,40.7937,-74.0435,15,4,8886,NMHC/Local Planning,2025,https://www.nmhc.org
10021,New York,40.8501,-73.9875,17,4,9319,NMHC/Local Planning,2025,https://www.nmhc.org
10022,New York,40.61,-74.0677,20,4,6989,NMHC/Local Planning,2025,https://www.nmhc.org
10023,New York,40.6564,-74.081,16,4,9249,NMHC/Local Planning,2025,https://www.nmhc.org
10024,New York,40.8034,-74.1215,14,4,8347,NMHC/Local Planning,2025,https://www.nmhc.org
10025,New York,40.8144,-73.9565,14,4,9671,NMHC/Local Planning,2025,https://www.nmhc.org
10026,New York,40.8152,-74.1239,17,4,7845,NMHC/Local Planning,2025,https://www.nmhc.org
10027,New York,40.7701,-73.9228,19,4,8398,NMHC/Local Planning,2025,https://www.nmhc.org
10028,New York,40.8363,-73.9296,14,4,7495,NMHC/Local Planning,2025,https://www.nmhc.org
10029,New York,40.6248,-74.0618,15,4,9105,NMHC/Local Planning,2025,https://www.nmhc.org
