zip_code,metro,lat,lng,hard_cost_per_sf,total_dev_cost_per_unit,construction_cost_yoy_chg_pct,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,194.97,516319.78,3.24,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10002,New York,40.7872,-73.9938,166.74,478326.24,3.68,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10003,New York,40.8358,-74.1131,203.82,514015.49,3.32,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10004,New York,40.5966,-73.9574,152.59,496905.7,2.93,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10005,New York,40.6223,-73.9097,173.9,471631.1,3.58,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10006,New York,40.7455,-74.1688,210.65,518478.91,3.27,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10007,New York,40.753,-74.0236,170.61,465280.7,3.23,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10008,New York,40.8409,-73.8729,211.49,527423.9,3.3,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10009,New York,40.6863,-73.8916,163.86,558468.29,2.9,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10010,New York,40.6582,-74.1744,204.32,569590.56,3.34,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10011,New York,40.6164,-74.0364,175.56,544805.86,3.73,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10012,New York,40.7651,-74.0813,163.41,529419.74,3.98,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10013,New York,40.5718,-73.9069,163.7,450910.66,3.19,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10014,New York,40.8483,-73.9022,164.21,536350.75,4.13,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10015,New York,40.7876,-73.9791,181.6,507574.37,3.18,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10016,New York,40.8492,-73.9492,160.68,535752.0,3.48,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10017,New York,40.7315,-74.0492,206.23,491480.64,3.84,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10018,New York,40.7465,-74.0062,174.13,437719.97,4.0,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10019,New York,40.8496,-73.9842,185.09,504943.49,3.26,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10020,New York,40.7937,-74.0435,206.51,513144.58,3.96,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10021,New York,40.8501,-73.9875,201.76,459801.22,2.96,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10022,New York,40.61,-74.0677,170.45,540959.33,3.61,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10023,New York,40.6564,-74.081,217.4,445249.73,3.57,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10024,New York,40.8034,-74.1215,211.73,580476.96,4.06,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10025,New York,40.8144,-73.9565,167.73,443834.5,3.83,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10026,New York,40.8152,-74.1239,180.66,515866.18,3.96,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10027,New York,40.7701,-73.9228,173.89,413280.0,3.68,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10028,New York,40.8363,-73.9296,212.24,536187.46,3.68,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10029,New York,40.6248,-74.0618,180.11,580440.67,3.61,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10030,New York,40.8296,-74.1136,189.32,560191.97,3.67,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10031,New York,40.7547,-73.8801,165.8,581402.3,2.97,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10032,New York,40.7883,-74.1199,200.36,434145.6,4.07,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10033,New York,40.6653,-73.844,204.27,437284.51,2.93,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10034,New York,40.819,-74.1257,205.37,525881.66,3.02,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10035,New York,40.841,-73.8655,187.45,558141.7,3.16,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10036,New York,40.8428,-74.1198,171.95,471485.95,2.97,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10037,New York,40.7695,-73.8682,164.05,570679.2,3.62,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10038,New York,40.6597,-74.0256,178.8,498901.54,3.2,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10039,New York,40.8624,-74.1386,197.59,566723.81,4.04,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10040,New York,40.8485,-74.0837,161.1,551809.44,3.91,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10041,New York,40.7061,-73.8581,191.13,414604.51,4.09,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10042,New York,40.592,-74.102,208.52,437357.09,3.56,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10043,New York,40.854,-74.0088,191.67,548144.35,3.78,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10044,New York,40.6682,-74.0982,161.78,572021.86,3.33,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10045,New York,40.8559,-74.1667,170.95,524248.7,3.92,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10046,New York,40.7917,-73.9853,192.27,556708.32,3.38,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
