zip_code,metro,lat,lng,composite_mf_score_100,market_tier,data_source,as_of_date,source_url
10001,New York,40.564,-74.0031,49.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10002,New York,40.7872,-73.9938,55.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10003,New York,40.8358,-74.1131,46.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10004,New York,40.5966,-73.9574,48.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10005,New York,40.6223,-73.9097,45.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10006,New York,40.7455,-74.1688,52.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10007,New York,40.753,-74.0236,54.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10008,New York,40.8409,-73.8729,48.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10009,New York,40.6863,-73.8916,47.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10010,New York,40.6582,-74.1744,53.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10011,New York,40.6164,-74.0364,47.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10012,New York,40.7651,-74.0813,51.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10013,New York,40.5718,-73.9069,48.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10014,New York,40.8483,-73.9022,47.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10015,New York,40.7876,-73.9791,49.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10016,New York,40.8492,-73.9492,51.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10017,New York,40.7315,-74.0492,50.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10018,New York,40.7465,-74.0062,48.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10019,New York,40.8496,-73.9842,51.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10020,New York,40.7937,-74.0435,52.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10021,New York,40.8501,-73.9875,48.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10022,New York,40.61,-74.0677,53.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10023,New York,40.6564,-74.081,51.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10024,New York,40.8034,-74.1215,51.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10025,New York,40.8144,-73.9565,53.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10026,New York,40.8152,-74.1239,53.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10027,New York,40.7701,-73.9228,53.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10028,New York,40.8363,-73.9296,47.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10029,New York,40.6248,-74.0618,52.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10030,New York,40.8296,-74.1136,47.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10031,New York,40.7547,-73.8801,52.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10032,New York,40.7883,-74.1199,45.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
